757993485,column,column,column,column,1716836,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,__xilence_xpf120rpwm_xf042__blackred,column,239,1,httpscomfyuakorpusnyjventiljatorxilenceventiljatorxilencexpf120rpwmxf042120h120h25mm4pinblackredhtml,column,05112025_1921,column,__42,Фастів,0
758118179,,,,,1724809,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Точка доступу TP-Link EAP230-Wall,,2499,1,https://comfy.ua/tochka-dostupa-tp-link-eap230-wall.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
758118274,,,,,1718962,Смартфоны и телефоны >> Аксессуары для смартфонов,griffin,Автомобільний зарядний пристрій Griffin PowerJolt 18W USB-C PD + USB-C to Lightning Cable (GP-083-BLK),,599,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-griffin-powerjolt-18w-usb-c-pd-usb-c-to-lightning-cable-gp-083-blk.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
758157787,,,,,1723503,Техника для кухни >> Мир кофе,gorenje,Кавоварка ріжкова Gorenje ESCM15DBK,,3899,1,https://comfy.ua/catalog/product/view/id/1806033/s/kofemashina-gorenje-escm15dbk,5999,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
758161379,,,,,1691061,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xoko,Перехідник XOKO USB Type-C to Micro USB Black (XK-AC010-BK),,69,1,https://comfy.ua/perehodnik-xoko-usb-type-c-to-micro-usb-black-xk-ac010-bk.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
758161444,,,,,.1704756,Смарт-часы и гаджеты >> Аксессуары,xoko,Ремінець для фітнес-браслету XOKO Xiaomi for Mi Band 3/4 Flowers White (XK-XM-SL-WT),,69,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-xoko-xiaomi-for-mi-band-3-4-flowers-white-xk-xm-sl-wt.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
758161871,,,,,1724566,Бытовая химия >> Средства для чистки техники >> Средства для чистки кофемашин >> Средства для чистки кофемашин Delonghi,delonghi,Засіб для чищення кавомашини Delonghi DLSC 550,,249,1,https://comfy.ua/chistjaschee-sredstvo-dlja-kofemashiny-delonghi-dlsc-550.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
758161967,,,,,1714321,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов BeCover,becover,Ремінець для фітнес-браслету BeCover Nylon Style for Xiaomi Mi Smart Band 5 Mint (705426),,179,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-becover-nylon-style-for-xiaomi-mi-smart-band-5-mint-705426.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
758161970,,,,,1714324,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов BeCover,becover,Ремінець для фітнес-браслету BeCover Nylon Style for Xiaomi Mi Smart Band 5 Purple (705429),,119,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-becover-nylon-style-for-xiaomi-mi-smart-band-5-purple-705429.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
758162594,6569503,СТАЛЬ,Правило-уровень СТАЛЬ 26030 2000 мм (58229),749,1720840,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Сталь,stal,Рівень Сталь 2000 мм (26030),,749,1,https://comfy.ua/uroven-stal-2000-mm-26030.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
758162648,6579979,СТАЛЬ,Угловая шлифмашина СТАЛЬ КШМ 15-181 (96122),2058,1720784,Инструменты и автотовары >> Электроинструменты >> Болгарки и штроборезы >> Болгарки и штроборезы Сталь,stal,Болгарка Сталь КШМ 15-181,,2209,1,https://comfy.ua/bolgarka-stal-kshm-15-181.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
