937507274,column,column,column,column,1803732,Бытовая химия >> Средства для чистки техники,electrolux,___electrolux_edc02,column,439,1,httpscomfyuakartridzhprotivnakipielectroluxedc02html,column,05112025_1916,column,__42,Фастів,0
937507274,,,,,1803732,Бытовая химия >> Средства для чистки техники,electrolux,Картридж проти накипу Electrolux EDC02,,439,1,https://comfy.ua/kartridzh-protiv-nakipi-electrolux-edc02.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
937507304,7024657,GRAND ШАРМ,Жидкое мыло GRAND ШАРМ Клубника 500мл (4820195504246),57,1753019,Красота и здоровье >> Косметика для тела,grand-sharm,Рідке мило для рук Grand Шарм Maxi Полуниця 500 мл (4820195504246),,60,1,https://comfy.ua/zhidkoe-mylo-dlja-ruk-grand-sharm-maxi-klubnika-500-ml-4820195504246.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
937507305,7024651,GRAND ШАРМ,Жидкое мыло GRAND ШАРМ Миндаль 500мл (4820195504307),48,1752918,Красота и здоровье >> Косметика для тела >> Мыло >> Мыло Grand Шарм,grand-sharm,Рідке мило для рук Grand Sharm Молочный протеин и Миндаль 500 мл (4820195504307),,60,1,https://comfy.ua/zhidkoe-mylo-dlja-ruk-grand-sharm-molochnyj-protein-i-mindal-500-ml-4820195504307.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
937507308,7024659,GRAND ШАРМ,Жидкое мыло GRAND ШАРМ Тропик 500мл (4820195504253),48,1752782,Красота и здоровье >> Косметика для тела,grand-sharm,Рідке мило для рук Grand Шарм Тропік 500 мл (4820195504253),,60,1,https://comfy.ua/zhidkoe-mylo-dlja-ruk-grand-sharm-tropik-500-ml-4820195504253.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
937507309,7024641,GRAND ШАРМ,Жидкое мыло GRAND ШАРМ Гранат 500мл (4820195504277),48,1752781,Красота и здоровье >> Косметика для тела >> Мыло >> Мыло Grand Шарм,grand-sharm,Тверде мило Grand Шарм Maxi Гранат и оливки 500 мл (4820195504277),,60,1,https://comfy.ua/tverdoe-mylo-grand-sharm-maxi-granat-i-olivky-500-ml-4820195504277.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
937507311,7024637,GRAND ШАРМ,Жидкое мыло GRAND ШАРМ ANTIBACTERIAL 500мл (4820195506103),48,1808500,Красота и здоровье >> Косметика для тела >> Мыло >> Мыло Grand Шарм,grand-sharm,Рідке мило для рук Grand Шарм Antibacterial 500 мл (4820195506103),,60,1,https://comfy.ua/zhidkoe-mylo-dlja-ruk-grand-sharm-antibacterial-500-ml-4820195506103.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
937507316,,,,,.1803349,Бытовая химия >> Средства для стирки,sonett,Ополіскувач для білизни Sonett 1 л (GB3060),,410,1,https://comfy.ua/opolaskivatel-dlja-bel-ja-sonett-1-l-gb3060.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
937507364,6874039,MILAM,Пятновыводитель MILAM 1000 ml (4820077610027),113,1749789,Бытовая химия >> Средства для стирки >> Средства для отбеливания и удаления пятен >> Средства для отбеливания и удаления пятен Милам,milam,Засіб для видалення плям Милам 1 л (4820077610027),,80,1,https://comfy.ua/sredstvo-dlja-udalenija-pjaten-milam-1-l-4820077610027.html,112,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
937507370,,,,,1684330,Посуда >> Для сервировки,wmf,Молочник WMF 794769990 14 см,,1399,1,https://comfy.ua/molochnik-wmf-794769990-14-sm.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
937507388,,,,,1822418,Бытовая химия >> Все для уборки >> Швабры и насадки >> Швабры и насадки Werk,werk,Швабра Werk 27 см (WD04),,399,1,https://comfy.ua/shvabra-werk-27-sm-wd04.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
