986966643,column,column,column,column,1774207,Техника для кухни >> Мелкая техника,smeg,__smeg_klf03chmeu,column,9549,1,httpscomfyuajelektricheskijchajniksmegklf03chmeuhtml,column,05112025_1808,column,__42,Фастів,0
987047711,,,,,1842438,"Детские товары >> Уход, купание и гигиена >> Ванночки и подставки для купания >> Ванночки и подставки для купания Beaba",beaba,Дитяча ванночка Beaba Camele'o Pink (920354),,2119,1,https://comfy.ua/detskaja-vannochka-beaba-camele-o-pink-920354.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
987066967,6738219,TEFAL,Тостер TEFAL TT533811,2199,1837688,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Tefal,tefal,Тостер Tefal TT533811,,2199,1,https://comfy.ua/toster-tefal-tt533811.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
987110311,6722844,PHILCO,Измельчитель PHILCO PHHB 6911,1899,1841740,Техника для кухни >> Мелкая техника >> Измельчители >> Измельчители Philco,philco,Подрібнювач Philco PHHB 6911,,1899,1,https://comfy.ua/izmel-chitel-philco-phhb-6911.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
987110312,6722843,PHILCO,Измельчитель PHILCO PHHB 6910,1899,1841739,Техника для кухни >> Мелкая техника >> Измельчители >> Измельчители Philco,philco,Подрібнювач Philco PHHB 6910,,1899,1,https://comfy.ua/izmel-chitel-philco-phhb-6910.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
987188712,6755828,ARTLINE,Компьютер ARTLINE Overlord DRAGON (DRAGONv35CB),47669,1823441,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Системний блок Artline Overlord DRAGON (DRAGONv35CB),,46495,1,https://comfy.ua/sistemnyj-blok-artline-overlord-dragon-dragonv35cb.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
987188714,6755829,ARTLINE,Компьютер ARTLINE Overlord DRAGON (DRAGONv35CH),47669,1823442,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Системний блок Artline Overlord DRAGON (DRAGONv35CH),,46495,1,https://comfy.ua/sistemnyj-blok-artline-overlord-dragon-dragonv35ch.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
987188715,6755830,ARTLINE,Компьютер ARTLINE Overlord DRAGON (DRAGONv35DH),47669,1823443,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Системний блок Artline Overlord DRAGON (DRAGONv35DH),,46495,1,https://comfy.ua/sistemnyj-blok-artline-overlord-dragon-dragonv35dh.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
987188716,6755831,ARTLINE,Компьютер ARTLINE Overlord DRAGON (DRAGONv35DR),47669,1823444,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Системний блок Artline Overlord DRAGON (DRAGONv35DR),,46495,1,https://comfy.ua/sistemnyj-blok-artline-overlord-dragon-dragonv35dr.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
987221885,,,,,1842644,"Детские товары >> Уход, купание и гигиена",beaba,Ножиці манікюрні дитячі Beaba Pink (920361),,419,1,https://comfy.ua/catalog/product/view/id/2796043,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
987223385,7005956,INTERLUX,Холодильник INTERLUX ILR-0093W,5799,1842292,Техника для кухни >> Крупная техника,interlux,Холодильник INTERLUX ILR-0093W,,4999,1,https://comfy.ua/holodil-nik-interlux-ilr-0093w.html,6399,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,1
987223410,6733618,TEFAL,Электрочайник TEFAL BI520D10,1599,1843579,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Tefal,tefal,Електричний чайник Tefal BI520D10,,1599,1,https://comfy.ua/jelektricheskij-chajnik-tefal-bi520d10.html,2699,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
987331548,,,,,1841601,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Tescoma",tescoma,Ручний подрібнювач tescoma Handy (643610),,1299,1,https://comfy.ua/ruchnoj-izmel-chitel-tescoma-handy-643610.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
987333627,6729793,VENTOLUX,Вытяжка VENTOLUX PUNTO 52 BG (800) KN,6059,1821812,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Ventolux,ventolux,Витяжка вбудована Ventolux PUNTO 52 BG (800) KN,,6059,1,https://comfy.ua/vytjazhka-vstraivaemaja-ventolux-punto-52-bg-800-kn.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
987340912,6816373,INTERLUX,Конвектор INTERLUX INCP-1015PR,1699,1841612,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели INTERLUX,interlux,Конвектор INTERLUX INCP-1015PR,,1699,1,https://comfy.ua/konvektor-interlux-incp-1015pr.html,1899,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
987341623,,,,,.1842991,"Аудио, фото и видео >> Аксессуары для фото, видео",nitecore,З/пристрій для акумуляторів AA/AAA Nitecore UM4 Digicharger (11434),,1349,1,https://comfy.ua/z-ustrojstvo-dlja-akkumuljatorov-aa-aaa-nitecore-um4-digicharger-11434.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
987342325,7063525,INTERLUX,Морозильная камера INTERLUX ILF-0060SF,2999,1842293,Техника для кухни >> Крупная техника,interlux,Морозильна камера INTERLUX ILF-0060SF,,5333,1,https://comfy.ua/morozil-naja-kamera-interlux-ilf-0060sf.html,6999,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,1
987342490,,,,,.1843346,"Аудио, фото и видео >> Наушники",sades,Навушники повнорозмірні дротові Sades SA-721 Spirits Rasta (sa721rsj),,769,1,https://comfy.ua/naushniki-polnorazmernye-provodnye-sades-sa-721-spirits-rasta-sa721rsj.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
987342491,7005506,SADES,Гарнитура SADES SA-721 Spirits Red (sa721rdj),841,1843345,"Аудио, фото и видео >> Наушники",sades,Навушники повнорозмірні дротові Sades SA-721 Spirits Red (sa721rdj),,769,1,https://comfy.ua/naushniki-polnorazmernye-provodnye-sades-sa-721-spirits-red-sa721rdj.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
987354209,,,,,.1842948,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gemix,Веб-камера для комп'ютера Gemix T20 Black,,795,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-gemix-t20-black.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
987355782,6814658,TEKHMANN,Дрель-шуруповерт TEKHMANN TCD-60/i20 kit (848394),3990,1842856,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Tekhmann,tekhmann,Шуруповерт Tekhmann TCD-60/i20 kit (848394),,3989,1,https://comfy.ua/shurupovert-tekhmann-tcd-60-i20-kit-848394.html,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
987385603,,,,,1844207,Детские товары >> Детский транспорт >> Велосипеды >> Велосипеды Miqilong,miqilong,Двоколісний велосипед Miqilong ST Black 12'' (ATW-ST12-BLACK),,4399,1,https://comfy.ua/dvuhkoljosnyj-velosiped-miqilong-st-black-12-atw-st12-black.html,5499,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
987385609,6819767,MIQILONG,"""Велосипед MIQILONG RM 16"""" Olive (ATW-RM16-OLIVE)""",5499,1844206,Детские товары >> Детский транспорт >> Велосипеды >> Велосипеды Miqilong,miqilong,Двоколісний велосипед Miqilong RM Olive 16'' (ATW-RM16-OLIVE),,5499,1,https://comfy.ua/dvuhkoljosnyj-velosiped-miqilong-rm-olive-16-atw-rm16-olive.html,6799,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
987385618,6819772,MIQILONG,"""Велосипед MIQILONG RM 12"""" Pink (ATW-RM12-PINK)""",4799,1844205,Детские товары >> Детский транспорт >> Велосипеды >> Велосипеды Miqilong,miqilong,Двоколісний велосипед Miqilong RM Pink 12'' (ATW-RM12-PINK),,4799,1,https://comfy.ua/dvuhkoljosnyj-velosiped-miqilong-rm-pink-12-atw-rm12-pink.html,5999,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
987385634,6792767,VIMAR,Пылесос VIMAR VVC-221 B,3329,1844609,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Vimar,vimar,Пилосос для сухого прибирання без мішка Vimar VVC-221 B,,3329,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-vimar-vvc-221-b.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
987385832,,,,,1844209,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Miqilong,miqilong,Біговел Miqilong SC Black 12'' (BTС-SC12-BLACK),,999,1,https://comfy.ua/begovel-miqilong-sc-black-12-bts-sc12-black.html,1179,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
987385840,,,,,1844210,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Miqilong,miqilong,Біговел Miqilong SC Pink 12'' (BTС-SC12-PINK),,999,1,https://comfy.ua/begovel-miqilong-sc-pink-12-bts-sc12-pink.html,1179,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,1
987437222,,,,,.1844511,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",becover,Чохол для планшета BeCover Smart for Huawei MatePad 10.4 2021 Grey (706483),,399,1,https://comfy.ua/chehol-dlja-plansheta-becover-smart-for-huawei-matepad-10-4-2021-grey-706483.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
987437617,,,,,1842702,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart ICON Case for Samsung A52 (A525) Black (ARM58240),,179,1,https://comfy.ua/catalog/product/view/id/2813713,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
987439680,,,,,1842616,Детские товары >> Детская комната и безопасность,beaba,Нічник Beaba Torch Rose (930299),,2339,1,https://comfy.ua/catalog/product/view/id/2824713,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
987444211,,,,,1842617,Детские товары >> Детская комната и безопасность,beaba,Нічник Beaba Torch Blue (930300),,2339,1,https://comfy.ua/catalog/product/view/id/2824983,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
987449373,,,,,1843559,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Точка доступу TP-Link CPE610,,2999,1,https://comfy.ua/tochka-dostupa-tp-link-cpe610.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
987451538,,,,,1832496,Техника для кухни >> Крупная техника,bosch,Мікрохвильова піч (НВЧ) Bosch FEL023MS1,,6799,1,https://comfy.ua/catalog/product/view/id/2825763,7649,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
987455383,,,,,1844679,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Kela,kela,"Форма для приготування Kela 37,5х22х7 см (11936)",,2149,1,https://comfy.ua/forma-dlja-prigotovlenija-kela-37-5h22h7-sm-11936.html,2529,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
987486624,6767826,MIDEA,Бойлер MIDEA D15-20VI(U),5099,1835523,Техника для дома >> Крупная техника,midea,Водонагрівач Midea D15-20VI(U),,5099,1,https://comfy.ua/vodonagrevatel-midea-d15-20vi-u.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
987486632,6767825,MIDEA,Бойлер MIDEA D10-20VI(U),4499,1835524,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Midea,midea,Водонагрівач Midea D10-20VI(U),,4499,1,https://comfy.ua/vodonagrevatel-midea-d10-20vi-u.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
987486633,,,,,1844964,Детские товары >> Детская комната и безопасность >> Мебель и хранение для детской комнаты >> Мебель и хранение для детской комнаты Handy Home,handy-home,Коробка для зберігання дитяча Handy Home Мавпа 33x33x33 см (CH11),,339,1,https://comfy.ua/korobka-dlja-hranenija-detskaja-handy-home-obez-jana-33x33x33-sm-ch11.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
987486651,6767824,MIDEA,Бойлер MIDEA D06-15A(U),3939,1835521,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Midea,midea,Водонагрівач Midea D06-15A(U),,3739,1,https://comfy.ua/vodonagrevatel-midea-d06-15a-u.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
987486657,,,,,1844211,Детские товары >> Детский транспорт >> Беговелы >> Беговелы Miqilong,miqilong,Біговел Miqilong SC Red 12'' (BTС-SC12-RED),,999,1,https://comfy.ua/begovel-miqilong-sc-red-12-bts-sc12-red.html,1179,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
987486660,6732991,PHILIPS,Пылесос PHILIPS FC9550/09,7999,1841801,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Philips,philips,Пилосос для сухого прибирання без мішка Philips FC9550/09,,7999,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-philips-fc9550-09.html,9999,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
