749831926,column,column,column,column,1703213,Техника для дома >> Мелкая техника,electrolux,___electrolux_e6st18eg,column,7699,1,httpscomfyuacatalogproductviewid1565493,column,05112025_1851,column,__42,Фастів,0
749831926,,,,,1703213,Техника для дома >> Мелкая техника,electrolux,Праска з парогенератором Electrolux E6ST1-8EG,,7699,1,https://comfy.ua/catalog/product/view/id/1565493,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
749832761,6660407,BABYLISS,Фен BABYLISS 6715DE,3599,1701939,Красота и здоровье >> Уход за волосами,babyliss,Фен Babyliss 6715DE,,3599,1,https://comfy.ua/catalog/product/view/id/1562033/s/fen-babyliss-6715de,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
749832763,,,,,1703353,Техника для кухни >> Крупная техника,hansa,Варильна поверхня газова Hansa BHGI 630542,,7799,1,https://comfy.ua/catalog/product/view/id/1560873/s/varochnaja-panel-gazovaja-hansa-bhgi-630542,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
749832775,6635515,ELEYUS,Вытяжка ELEYUS Bora 1200 LED SMD 90 BL,7899,1693991,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка декоративна ELEYUS Bora 1200 LED SMD 90 BL,,7899,1,https://comfy.ua/vytjazhka-dekorativnaja-eleyus-bora-1200-led-smd-90-bl.html,9219,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
749863533,6636665,GORENJE,Варочная поверхность GORENJE GW642SYB,11799,1701965,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня газова Gorenje GW642SYB,,11799,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gw642syb.html,11999,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
749863536,6721939,HANSA,Варочная поверхность HANSA BHGI 630542,7799,1703353,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Hansa,hansa,Варильна поверхня газова Hansa BHGI 630542,,7799,1,https://comfy.ua/varochnaja-panel-gazovaja-hansa-bhgi-630542.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
749863537,6636641,GORENJE,Варочная поверхность GORENJE GW 642 AXW,11799,1695980,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня газова Gorenje GW642AXW,,11799,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gw642axw.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
749863538,6624102,GORENJE,Варочная поверхность GORENJE GTW642SYW (BG6BB-G0B),14999,1695979,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня газова Gorenje GTW642SYW,,14999,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gtw642syw.html,16499,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
749864180,,,,,1679996,Техника для кухни >> Мир кофе,wmf,Кавомолка WMF 417070011 STELIO Coffee Grinder Edition,,3399,1,https://comfy.ua/kofemolka-wmf-417070011-stelio-coffee-grinder-edition.html,4799,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
749877444,,,,,.1697329,Бытовая химия >> Для кухни и мытья посуды,lion,Засіб для ручного миття посуду Lion 5 злаков 300 мл,,99,1,https://comfy.ua/chistjaschee-sredstvo-dlja-myt-ja-posudy-lion-5-zlakov-300-ml.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
749897928,,,,,.1697318,Бытовая химия >> Для кухни и мытья посуды,lion,Засіб для ручного миття посуду Lion CHG Plant 750 г,,329,1,https://comfy.ua/chistjaschee-sredstvo-dlja-myt-ja-posudy-lion-chg-plant-750-g.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
749897931,,,,,.1697319,Бытовая химия >> Для кухни и мытья посуды,lion,Засіб для ручного миття посуду Lion CHG Grain запаска 1.2 л,,299,1,https://comfy.ua/chistjaschee-sredstvo-dlja-myt-ja-posudy-lion-chg-grain-zapaska-1-2-l.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
749897934,,,,,1690795,Бытовая химия >> Все для уборки,tescoma,Скребок для чищення склокераміки tescoma 420940 Presto,,399,1,https://comfy.ua/skrebok-dlja-chistki-steklokeramiki-tescoma-420940-presto.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
750352628,,,,,1703213,Техника для дома >> Мелкая техника,electrolux,Праска з парогенератором Electrolux E6ST1-8EG,,7699,1,https://comfy.ua/catalog/product/view/id/1565493/s/utjug-s-parogeneratorom-electrolux-e6st1-8eg,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
750392497,6638094,ELECTROLUX,Паровая система ELECTROLUX E6ST1-8EG,7699,1703213,Техника для дома >> Мелкая техника >> Утюги >> Утюги Electrolux,electrolux,Праска з парогенератором Electrolux E6ST1-8EG,,7699,1,https://comfy.ua/utjug-s-parogeneratorom-electrolux-e6st1-8eg.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
750392500,6656864,WHIRLPOOL,Встраиваемая микроволновая печь WHIRLPOOL W9MD260IXL,31799,1701973,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Whirlpool,whirlpool,Мікрохвильова піч (НВЧ) вбудовувана Whirlpool W9 MD260 IXL,,31799,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-whirlpool-w9-md260-ixl.html,34399,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
750457649,6660407,BABYLISS,Фен BABYLISS 6715DE,3599,1701939,Красота и здоровье >> Уход за волосами >> Фены >> Фены Babyliss,babyliss,Фен Babyliss 6715DE,,3599,1,https://comfy.ua/fen-babyliss-6715de.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
750459739,6660104,GUSTO,Кастрюля GUSTO Premium Лунное сияние 2.1 л Black (GT-T-216-М),906,1685405,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Gusto,gusto,Каструля Gusto GT-T-216-М Місячне сяйво Premium 16 см 2.1 л,,906,1,https://comfy.ua/kastrjulja-gusto-gt-t-216-m-lunnoe-sijanie-premium-16-sm-2-1-l.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
750460014,,,,,.1681966,Посуда >> Для приготовления,wmf,Ківш WMF 1791166041 Premium Cool 16 см,,4799,1,https://comfy.ua/kovsh-wmf-1791166041-premium-cool-16-sm.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
750460016,,,,,1681970,Посуда >> Для приготовления,wmf,Ківш WMF 726166030 GOURMET PLUS 16 см,,5799,1,https://comfy.ua/kovsh-wmf-726166030-gourmet-plus-16-sm.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
750460017,,,,,1681968,Посуда >> Для приготовления,wmf,Ківш WMF 763166380 Function 4 16 см,,6399,1,https://comfy.ua/kovsh-wmf-763166380-function-4-16-sm.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
750460021,6660108,GUSTO,Кастрюля GUSTO Premium Лунное сияние 4 л Black (GT-T-220-М),1155,1685407,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Gusto,gusto,Каструля Gusto GT-T-220-М Місячне сяйво Premium 20 см 4.0 л,,1155,1,https://comfy.ua/kastrjulja-gusto-gt-t-220-m-lunnoe-sijanie-premium-20-sm-4-0-l.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
750460096,,,,,1682576,Посуда >> Для приготовления,wmf,Кришка для посуду WMF 728399902 28 см,,1899,1,https://comfy.ua/kryshka-dlja-posudy-wmf-728399902-28-sm.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
750460107,,,,,1673590,Техника для кухни >> Мелкая техника,wmf,"Електричний чайник WMF BUENO 1,7 л (4211129050401)",,2499,1,https://comfy.ua/jelektricheskij-chajnik-wmf-bueno-1-7-l-4211129050401.html,3499,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
750460108,,,,,1673583,Техника для кухни >> Мелкая техника,wmf,Електричний чайник WMF 413020012 STELIO,,2799,1,https://comfy.ua/jelektricheskij-chajnik-wmf-stelio-1-7-l-4211129057905.html,3999,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
750460114,6660112,GUSTO,Кастрюля GUSTO Premium Лунное сияние 5.7 л Black (GT-T-224-М),1355,1685409,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Gusto,gusto,Каструля Gusto GT-T-224-М Місячне сяйво Premium 24 см 5.7 л,,1355,1,https://comfy.ua/kastrjulja-gusto-gt-t-224-m-lunnoe-sijanie-premium-24-sm-5-7-l.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
750460206,,,,,1673603,Техника для кухни >> Мелкая техника,wmf,Електричний чайник WMF LONO (4211129128292),,6999,1,https://comfy.ua/jelektricheskij-chajnik-wmf-lono-4211129128292.html,9499,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
750460220,,,,,1687674,Красота и здоровье >> Косметика для тела,wmf,Мило для видалення запаху WMF 605796030 GOURMET,,611,1,https://comfy.ua/mylo-dlja-udalenija-zapaha-wmf-605796030-gourmet.html,699,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
750466125,6678035,MINOLA,Вытяжка MINOLA HBI 6673 BL GLASS 1000 LED Line,7199,1695747,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBI 6673 BL GLASS 1000 LED Line,,7999,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-6673-bl-glass-1000-led-line.html,9999,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
750685891,6634969,COOLINAR,Шумовка COOLINAR (94128),75,1690524,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Coolinar,coolinar,Шумовка Coolinar 94128,,75,1,https://comfy.ua/shumovka-coolinar-94128.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
750810418,6606059,CAMRY,Электрочайник CAMRY CR 1290,969,1695778,Техника для кухни >> Мелкая техника,camry,Електричний чайник Camry CR 1290,,1239,1,https://comfy.ua/jelektricheskij-chajnik-camry-cr-1290.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
