752438701,column,column,column,column,1697427,Детские товары >> Игрушки,tigres,__tigres___55__0212,column,1569,1,httpscomfyuamjagkajaigrushkazhivotnoetigresmishkamariush55smve0212html,column,06112025_140,column,__42,Фастів,0
752438711,,,,,1697259,Comfy KIDS >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Базовий ігровий транспорт для малюка Tigres Будівельник """"Kid cars"""" 3 шт. (39270)""",,135,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-tigres-stroitel-kid-cars-3-sht-39270.html,,06.11.2025 0:32,,"вул. Соборна, 42",Фастів,0
752438713,,,,,1697420,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Автотранспорт Tigres """"Mercedes-Benz Sprinter"""" вантажний Синій (39653)""",,319,1,https://comfy.ua/avtotransport-tigres-mercedes-benz-sprinter-gruzovoj-sinij-39653.html,,06.11.2025 0:24,,"вул. Соборна, 42",Фастів,0
752438714,,,,,1697256,Comfy KIDS >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Базовий ігровий транспорт для малюка Tigres Паровозик """"Kid cars"""" 3 шт. (39260)""",,139,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-tigres-parovozik-kid-cars-3-sht-39260.html,,06.11.2025 0:32,,"вул. Соборна, 42",Фастів,0
752438715,,,,,1696766,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Canpol babies,canpol-babies,Брязкальце Canpol babies Штанга з рухомими елементами Бірюзова (56/153_tur),,165,1,https://comfy.ua/pogremushka-canpol-babies-shtanga-s-podvizhnymi-jelementami-birjuzovaja-56-153-tur.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
752438717,,,,,1697253,Детские товары >> Игрушки,tigres,"""Базовий ігровий транспорт для малюка Tigres Авто """"Kid Cars"""" (39244)""",,39,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-tigres-avto-kid-cars-39244.html,,05.11.2025 23:53,,"вул. Соборна, 42",Фастів,0
752438720,,,,,1697251,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,"""Базовий ігровий транспорт для малюка Tigres Авто """"Kid Cars"""" в коробці 12 шт. (39243)""",,439,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-tigres-avto-kid-cars-v-korobke-12-sht-39243.html,,05.11.2025 23:37,,"вул. Соборна, 42",Фастів,0
752438721,,,,,1696756,Comfy KIDS >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Canpol babies,canpol-babies,Брязкальце Canpol babies Різнокольорові кульки (2/450),,249,1,https://comfy.ua/pogremushka-canpol-babies-raznocvetnye-shariki-2-450.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
752438722,,,,,1696755,Comfy KIDS >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Canpol babies,canpol-babies,Брязкальце Canpol babies Сова Рожева (2/187_pin),,135,1,https://comfy.ua/pogremushka-canpol-babies-sova-rozovaja-2-187-pin.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
752438723,,,,,1696754,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Canpol babies,canpol-babies,Брязкальце Canpol babies Сова Зелена (2/187_gre),,139,1,https://comfy.ua/pogremushka-canpol-babies-sova-zelenaja-2-187-gre.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
752438724,,,,,1696821,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Tigres,tigres,Пірамідка Tigres Люкс (39372),,175,1,https://comfy.ua/piramidka-tigres-ljuks-39372.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
752438725,,,,,1696753,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Canpol babies,canpol-babies,Брязкальце Canpol babies Сова Синя (2/187_blu),,149,1,https://comfy.ua/pogremushka-canpol-babies-sova-sinjaja-2-187-blu.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
752438727,,,,,1696823,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Tigres,tigres,Пірамідка Tigres 39103,,109,1,https://comfy.ua/piramidka-tigres-39103.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
752438728,,,,,1696734,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Canpol babies,canpol-babies,Брязкальце Canpol babies Червоний Котик (79/101_red),,389,1,https://comfy.ua/pogremushka-canpol-babies-krasnyj-kotik-79-101-red.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
752438731,,,,,1696731,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Canpol babies,canpol-babies,Брязкальце Canpol babies Зелений Мишка (79/101_gre),,389,1,https://comfy.ua/pogremushka-canpol-babies-zelenyj-mishka-79-101-gre.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
752438732,,,,,1696721,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Canpol babies,canpol-babies,Прорізувач з охолодженням Canpol babies Звездочка- бірюзове (56/161_tur),,179,1,https://comfy.ua/pogremushka-canpol-babies-shtanga-s-podvizhnymi-jelementami-birjuzovaja-56-161-tur.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
752438735,7111479,TIGRES,"""acc/child TIGRES Іграшка  розвиваюча """"Равлик"""" 8 ел.""",86,1696828,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Tigres,tigres,Пірамідка Tigres Улітку 8 ел. (39770),,84,1,https://comfy.ua/piramidka-tigres-ulitka-8-jel-39770.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
752438738,,,,,1696832,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Tigres,tigres,Ігровий набір для малюка Tigres Funny Train 23 ел. (39771),,335,1,https://comfy.ua/piramidka-tigres-funny-train-23-jel-39771.html,,06.11.2025 1:13,,"вул. Соборна, 42",Фастів,0
