937518763,column,column,column,column,1821608,__________haisser,haisser,_haisser_50__22025,column,815,1,httpscomfyuaruletkahaisser50m22025html,column,05112025_2151,column,__42,Фастів,0
937577579,,,,,1380830,OUTLET,atlantic,Уцінка - Конвектор Atlantic CMG BL-Meca/M (2000W)+Комплект підставок #,,2558,1,https://comfy.ua/konvektor-atlantic-cmg-bl-meca-m-2000w-komplekt-pidstavok-ucenka-1-1.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
937578145,,,,,1826540,OUTLET,vestfrost,Уцінка - Вентилятор підлоговий Vestfrost VFS1640 RBR ##,,1445,1,https://comfy.ua/ventiljator-napol-nyj-vestfrost-vfs1640-rbr-ucenka-2-1.html,1661,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
937578400,,,,,1648258,OUTLET,gogps,Уцінка - Дитячий годинник GOGPS ME K13 Blue (K13BL) #,,1503,1,https://comfy.ua/detskie-chasy-gogps-me-k13-blue-k13bl-ucenka-1-1.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
937578423,,,,,1826093,OUTLET,gorenje,Уцінка - Холодильник Gorenje NRK 620 EABXL4 (HZF3568SED) #,,21674,1,https://comfy.ua/holodil-nik-gorenje-nrk-620-eabxl4-hzf3568sed-ucenka-1-1.html,24479,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
937775409,6736910,BOSCH,Набор фильтров к пылесосам BOSCH BBZ152EF,769,1826007,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Bosch,bosch,Набір фільтрів для пилососа Bosch BBZ152EF,,769,1,https://comfy.ua/nabor-fil-trov-dlja-pylesosa-bosch-bbz152ef.html,809,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,1
937775410,,,,,1817510,Техника для дома >> Климатическая техника,hoover,Фільтр до очищувача повітря Hoover U97,,2399,1,https://comfy.ua/catalog/product/view/id/2663733,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
937812999,,,,,1830396,Детские товары >> Детская комната и безопасность >> Мебель и хранение для детской комнаты >> Мебель и хранение для детской комнаты Handy Home,handy-home,Кошик для іграшок Handy Home Бджілка 40х40х42 см (CEW-06),,629,1,https://comfy.ua/korobka-dlja-hranenija-detskaja-handy-home-pchelka-40h40h42-sm-cew-06.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
937906990,,,,,1679365,Техника для дома >> Мелкая техника,braun,Праска Braun SI 5078 GY,,3099,1,https://comfy.ua/catalog/product/view/id/2673183,3199,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
939086786,,,,,1771836,Телевизоры и мультимедиа >> Аксессуары для ТВ >> Крепления для телевизоров >> Крепления для телевизоров ITECHmount,itechmount,Кріплення для телевізора ITECHmount KF-1,,1590,1,https://comfy.ua/kreplenie-dlja-televizora-itechmount-kf-1.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
939097829,,,,,1830183,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",avermedia,Веб-камера для комп'ютера Avermedia Live Streamer CAM PW310P Full HD Black,,3799,1,https://comfy.ua/catalog/product/view/id/2670693,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
