1089396958,7170461,PERFELLI,Вытяжка PERFELLI TS 6635 I/BL 1000 LED,7999,1911825,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli TS 6635 I/BL 1000 LED,,7999,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-ts-6635-i-bl-1000-led.html,11399,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1089396959,7170357,PERFELLI,Вытяжка PERFELLI TS 6635 I/WH 1000 LED,7999,1911826,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli TS 6635 I/WH 1000 LED,,7999,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-ts-6635-i-wh-1000-led.html,11399,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1089418599,,,,,1901821,Техника для дома >> Аксессуары к крупной технике,candy,Комплект кріплень для установки в колону Candy WSK1102/2 SLM FM STCK KIT,,2149,1,https://comfy.ua/komplekt-kreplenij-dlja-ustanovki-v-kolonnu-candy-wsk1102-2-slm-fm-stck-kit.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1089418630,7041753,TOLSEN,Молоток слесарный TOLSEN 200 г (25121),124,1884234,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Tolsen",tolsen,Молоток Tolsen 200 г (25121),,125,1,https://comfy.ua/molotok-tolsen-200-g-25121.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
1089419378,6785754,HP,Принтер лазерный HP LaserJet M111w Wi-Fi (7MD68A),6999,1910862,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ HP",hp,Принтер для ч/б друку HP LaserJet M111w Wi-Fi (7MD68A),,6999,1,https://comfy.ua/printer-dlja-ch-b-pechati-hp-laserjet-m111w-wi-fi-7md68a.html,7999,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1089422482,,,,,1900642,Техника для кухни >> Мир кофе,delonghi,Кава в зернах Delonghi DLSC617 Selezione 1 кг,,1499,1,https://comfy.ua/kofe-v-zernah-delonghi-dlsc617-selezione-1-kg.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,2
1089422685,7041636,TOLSEN,Линейка TOLSEN 300 мм (35026),65,1885027,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Tolsen,tolsen,Лінійка Tolsen 300 мм (35026),,65,1,https://comfy.ua/linejka-tolsen-300-mm-35026.html,,05.11.2025 22:13,,"вул. Соборна, 42",Фастів,0
1089422719,6306375,STANLEY,Угольник столярный STANLEY 1-45-685,465,1898285,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Stanley,stanley,Косинець Stanley 140х250мм (1-45-685),,569,1,https://comfy.ua/ugol-nik-stanley-140h250mm-1-45-685.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
1089422720,7041611,TOLSEN,Угольник TOLSEN 400х600 мм (35043),202,1884961,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Tolsen,tolsen,Косинець Tolsen 400х600 мм (35043),,275,1,https://comfy.ua/ugol-nik-tolsen-400h600-mm-35043.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
1089423500,,,,,1632272,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Haisser,haisser,Набір свердел Haisser 1.0х12х34 мм ц/х ср. с.(DIN 338) уп. 2 шт. блистер,,58,1,https://comfy.ua/nabor-sverl-haisser-1-0h12h34-mm-c-h-sr-s-din-338-up-2-sht-blister.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
