786628508,column,column,column,column,1739602,Посуда >> Нарезка и измельчение,wuesthof,__wuesthof_17_____1040231317,column,5595,1,httpscomfyuacatalogproductviewid1900233,column,05112025_1955,column,__42,Фастів,0
786580129,6571888,NUVITA,Пустышка NUVITA Air55 Cool NV7085 6m+ GOOD NIGHT (NV7085GM),77,1735547,Детские товары >> Кормление,nuvita,"""Симетрична пустушка Nuvita Air55 Cool 6m + """"Good Night"""" Марсала (NV7085GM)""",,99,1,https://comfy.ua/catalog/product/view/id/1885013,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
786580131,6571895,NUVITA,Пустышка NUVITA NV7085 Air55 Cool (NV7085GDB),99,1735545,Детские товары >> Кормление,nuvita,"""Симетрична пустушка Nuvita Air55 Cool 6m + """"уси"""" Блакитна (NV7085GDB)""",,99,1,https://comfy.ua/catalog/product/view/id/1884923,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
786580134,6571832,NUVITA,"Набор пустышек NUVITA NV7086 Air55 Explorer 6m+ (мишка, жираф) 2 шт (NV7086N)",154,1735558,Детские товары >> Кормление,nuvita,"Ортодонтична пустушка Nuvita Air55 Explorer 6m + (ведмідь, жираф) 2 шт. (NV7086N)",,199,1,https://comfy.ua/catalog/product/view/id/1884743,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
786580137,6571834,NUVITA,"Набор пустышек NUVITA NV7086 Air55 Explorer 6m+ (собачка, лиса) 2шт (NV7086GM)",154,1735556,Детские товары >> Кормление,nuvita,"Ортодонтична пустушка Nuvita Air55 Explorer 6m + (собачка, лисиць) 2 шт. (NV7086GM)",,199,1,https://comfy.ua/catalog/product/view/id/1884633,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
786580139,6571831,NUVITA,"Набор пустышек NUVITA Air55 Explorer 6m+ Кот, Панда 2 шт (NV7086F)",154,1735553,Детские товары >> Кормление,nuvita,"Ортодонтична пустушка Nuvita Air55 Explorer 6m + (кіт, панда) 2 шт. (NV7086F)",,199,1,https://comfy.ua/catalog/product/view/id/1884483,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
786580141,6571860,NUVITA,Пустышка NUVITA NV7084 Air55 Cool 6m+ LOVE желто-серая (NV7084SC),77,1735541,Детские товары >> Кормление,nuvita,"""Ортодонтична пустушка Nuvita Air55 Cool 6m + """"Love"""" Жовто-сіра (NV7084SC)""",,99,1,https://comfy.ua/catalog/product/view/id/1884103,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
786580145,6571858,NUVITA,Пустышка NUVITA NV7084 Air55 Cool 6m+ LITTLE MAN темно-синяя (NV7084NB),77,1735538,Детские товары >> Кормление,nuvita,"""Ортодонтична пустушка Nuvita Air55 Cool 6m + """"Little Man"""" Темно-синя (NV7084NB)""",,99,1,https://comfy.ua/catalog/product/view/id/1882853,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
786582007,,,,,1742977,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Перехідник Mini Display Port-VGA Cablexpert A-mDPM-DPF4K-01 0.15m Black (A-mDPM-DPF4K-01),,259,1,https://comfy.ua/perehodnik-mini-display-port-vga-cablexpert-a-mdpm-dpf4k-01-0-15m-black-a-mdpm-dpf4k-01.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
786628461,,,,,1739600,Посуда >> Нарезка и измельчение,wuesthof,Ніж кухонний Wuesthof 14 см 1040101614,,4215,1,https://comfy.ua/catalog/product/view/id/1900383,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
786628508,,,,,1739602,Посуда >> Нарезка и измельчение,wuesthof,Ніж сантоку Wuesthof 17 см в картонной упаковке 1040231317,,5595,1,https://comfy.ua/catalog/product/view/id/1900233,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
787069368,,,,,.1727073,"Аудио, фото и видео >> Аксессуары для фото, видео",sony,Карта пам'яті Sony SDXC 128GB C10 UHS-II U3 V90 (SFG1TG),,14999,1,https://comfy.ua/karta-pamjati-sony-sdxc-128gb-c10-uhs-ii-u3-v90-sfg1tg.html,16399,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
787069411,6654851,AOC,"""Монитор AOC 31.5"""" U32E2N""",15803,1743134,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",aoc,Монітор AOC U32E2N Black,,15729,1,https://comfy.ua/catalog/product/view/id/1923863,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
787069412,,,,,1743921,Детские товары >> Подгузники и пеленание,huggies,"Одноразові підгузки Huggies Classic Розмір 5 (11-25 кг) Jumbo, 42 шт. (5029053543185)",,419,1,https://comfy.ua/catalog/product/view/id/1923833,530,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
787070795,,,,,.1718999,Игровые консоли и гейминг >> Комплектующие для игровых ПК,frime,Корпус Frime MarkIII 2х3.0 без БП (MarkIII-U3-GLS-3RGBF-WP),,2899,1,https://comfy.ua/korpus-frime-markiii-2h3-0-bez-bp-markiii-u3-gls-3rgbf-wp.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
787073784,6648645,PANASONIC,Миксер PANASONIC MK-GB3WTQ,1999,1718255,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Panasonic,panasonic,Міксер з чашею Panasonic MK-GB3WTQ,,1999,1,https://comfy.ua/mikser-s-chashej-panasonic-mk-gb3wtq.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
787073795,6768282,TEFAL,Лопатка Tefal Ingenio (K2064614),369,1743493,Посуда >> Для приготовления >> Посуда со съемной ручкой Ingenio >> Посуда со съемной ручкой Ingenio Tefal,tefal,Лопатка кухонна Tefal K2064614 Ingenio,,369,1,https://comfy.ua/lopatka-kuhonnaja-tefal-k2064614-ingenio.html,459,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
787074418,6637090,TRUST,Мышь TRUST Voca Black (23650),359,1743173,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Trust",trust,Миша дротова Trust Voca USB Black (23650),,259,1,https://comfy.ua/mysh-provodnaja-trust-voca-usb-black-23650.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
