1337225966,column,column,column,column,2055021,Посуда >> Для сервировки,vittora,_vittora_v165sgr___square_165_,column,78,1,httpscomfyuasalatnikvittorav165sgrzolotajavetkasquare165mmhtml,column,05112025_2003,column,__42,Фастів,0
1337225966,,,,,.2055021,Посуда >> Для сервировки,vittora,Салатник Vittora V-165Sgr Золота гілка Square 165 мм,,78,1,https://comfy.ua/salatnik-vittora-v-165sgr-zolotaja-vetka-square-165-mm.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
1337225970,,,,,.2055018,Посуда >> Для сервировки,vittora,Тарілка десертна Vittora V-215Sgr Золота гілка Square 215 мм,,85,1,https://comfy.ua/tarelka-desertnaja-vittora-v-215sgr-zolotaja-vetv-square-215-mm.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1337225971,,,,,.2055023,Посуда >> Для сервировки,vittora,Тарілка десертна Vittora V-215Spl Рожева лілія Square 215 мм,,85,1,https://comfy.ua/tarelka-desertnaja-vittora-v-215spl-rozovaja-lilija-square-215-mm.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1337225973,,,,,.2055022,Посуда >> Для сервировки,vittora,Салатник Vittora V-190Sgr Золота гілка Square 190 мм,,92,1,https://comfy.ua/salatnik-vittora-v-190sgr-zolotaja-vetv-square-190-mm.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1337225976,,,,,.2055026,Посуда >> Для сервировки,vittora,Блюдо Vittora V-225PB-F Рожевий букет Wave 225 мм,,85,1,https://comfy.ua/bljudo-vittora-v-225pb-f-rozovyj-buket-wave-225-mm.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1337225996,,,,,2055030,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Vittora,vittora,Салатник Vittora V-175Bvs Овочевий етюд Black Wave 175 мм,,95,1,https://comfy.ua/salatnik-vittora-v-175bvs-ovoschnoj-jetjud-black-wave-175-mm.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1337225997,,,,,.2055019,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora V-240Sgr Золота гілка Square 240 мм,,108,1,https://comfy.ua/tarelka-obedennaja-vittora-v-240sgr-zolotaja-vetv-square-240-mm.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
1337225999,,,,,2055020,Посуда >> Для сервировки,vittora,Тарілка супова Vittora V-230Sgr Золота гілка Square 230 мм,,112,1,https://comfy.ua/tarelka-supovaja-vittora-v-230sgr-zolotaja-vetv-square-230-mm.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1337226000,,,,,2055024,Посуда >> Для сервировки,vittora,Тарілка супова Vittora V-230Spl Рожева лілія Square 230 мм,,112,1,https://comfy.ua/tarelka-supovaja-vittora-v-230spl-rozovaja-lilija-square-230-mm.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1337226001,,,,,.2055027,Посуда >> Для сервировки,vittora,Салатник Vittora 2187Afo Квітковий вернісаж 187 мм,,119,1,https://comfy.ua/salatnik-vittora-2187afo-cvetochnyj-vernisazh-187-mm.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
