775277411,column,column,column,column,1722087,Инструменты и автотовары >> Электроинструменты,forte2,__forte_ms255_sl,column,10569,1,httpscomfyuacatalogproductviewid1868613,column,05112025_2147,column,__42,Фастів,0
775303817,,,,,1725823,Инструменты и автотовары >> Садовые инструменты,stal,Ножиці садові Сталь 200 мм (81001),,235,1,https://comfy.ua/catalog/product/view/id/1869653,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
775303819,,,,,1725824,Инструменты и автотовары >> Садовые инструменты,stal,Ножиці садові Сталь 250 мм (81002),,345,1,https://comfy.ua/catalog/product/view/id/1869663,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
775303820,,,,,1726968,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Ryobi,ryobi,Кущоріз Ryobi RPT4545E,,5999,1,https://comfy.ua/kustorez-ryobi-rpt4545e.html,6655,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
775303821,,,,,1726970,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Ryobi,ryobi,Висоторіз Ryobi RPP755E,,6199,1,https://comfy.ua/vysotorez-ryobi-rpp755e.html,6899,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
775303822,,,,,1726969,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Ryobi,ryobi,Висоторіз Ryobi RP750450,,8999,1,https://comfy.ua/vysotorez-ryobi-rp750450.html,9999,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
775304788,,,,,1721269,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Сталь,stal,Зубило Сталь 250х16х23 мм (44050),,169,1,https://comfy.ua/zubilo-stal-250h16h23-mm-44050.html,,05.11.2025 22:21,,"вул. Соборна, 42",Фастів,0
775304789,6559351,СТАЛЬ,Зубило СТАЛЬ 300 х 16 х 23 мм (44053),239,1721273,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Сталь,stal,Зубило Сталь 300х16х23 мм (44053),,239,1,https://comfy.ua/zubilo-stal-300h16h23-mm-44053.html,,05.11.2025 22:21,,"вул. Соборна, 42",Фастів,0
775304790,6481458,STANLEY,Набор зубил и пробойников STANLEY (4-18-299),1850,1729838,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Stanley,stanley,Зубило Stanley 12 шт. (4-18-299),,1855,1,https://comfy.ua/zubilo-stanley-12-sht-4-18-299.html,,05.11.2025 22:16,,"вул. Соборна, 42",Фастів,0
775305032,,,,,.1730447,Инструменты и автотовары >> Расходные материалы,bosch,Набір бурів Bosch SDS Plus і зубил Eco Plus-1-11 шт. в кейсі,,1515,1,https://comfy.ua/nabor-burov-bosch-sds-plus-i-zubil-eco-plus-1-11-sht-v-kejse.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
775306922,,,,,1732173,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN US287 USB - Type-C Cable 1m Black (60116),,179,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us287-usb-type-c-cable-1m-black-60116.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
775313386,,,,,1732166,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN US289 USB - Micro USB Cable 2 m Black (60138),,229,1,https://comfy.ua/kabel-ugreen-us289-usb-micro-usb-cable-2-m-black-60138.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
775314415,,,,,1732167,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель UGREEN US290 USB - Micro USB Cable Aluminum Braid 2 m Black (60148),,269,1,https://comfy.ua/kabel-ugreen-us290-usb-micro-usb-cable-aluminum-braid-2-m-black-60148.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
775314417,,,,,1732160,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN US288 USB - Type-C Cable Aluminum Braid 2 m Black (60128),,269,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us288-usb-type-c-cable-aluminum-braid-2-m-black-60128.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
775314418,,,,,1732161,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники UGREEN",ugreen,Кабель синхронізації даних UGREEN US284 USB - Type-C Cable Angled Alum. Braid 1 m Black (50941),,249,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us284-usb-type-c-cable-angled-alum-braid-1-m-black-50941.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
775314968,,,,,1732172,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель синхронізації даних UGREEN US261 Type-C-Type-C 3A Cable Alum. Braid 1m Gray\Black (50150),,299,1,https://comfy.ua/kabel-sinhronizacii-dannyh-ugreen-us261-type-c-type-c-3a-cable-alum-braid-1m-gray-black-50150.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
775459069,6563959,OSRAM,Светодиодная лампа Osram LED Star+ DIM A60 9W (806Lm) Е27 (4058075045675),245,1728254,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED A60 9W 806Lm 2700К+RGB E27 пульт ДУ (4058075430754),,255,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-a60-9w-806lm-2700k-rgb-e27-pul-t-du-4058075430754.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
775470021,,,,,1725502,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant LG Optimus L9 (BL-53QH) (DV00DV6290),,199,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-lg-optimus-l9-bl-53qh-dv00dv6290.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
775476995,,,,,1725504,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant LG Optimus Vu F100 (BL-T3) (DV00DV6292),,139,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-lg-optimus-vu-f100-bl-t3-dv00dv6292.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
775499911,,,,,1725500,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,"Акумулятор для смартфона PowerPlant Xiaomi Mi3, M3 (BM31) (DV00DV6287)",,199,1,https://comfy.ua/akkumuljator-dlja-smartfona-powerplant-xiaomi-mi3-m3-bm31-dv00dv6287.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
775518129,,,,,.1727096,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Веб-камера для комп'ютера A4tech PK-930HA,,1599,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-a4tech-pk-930ha.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
775520798,,,,,1729271,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блока живлення (MT521-NP),,1079,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-mt521-np.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
775520815,,,,,.1729266,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX з блоком живлення GM-450 (ET-210-450W),,1599,1,https://comfy.ua/korpus-gamemax-atx-s-blokom-pitanija-gm-450-et-210-450w.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
775520984,,,,,.1725188,"Аудио, фото и видео >> Наушники",gemix,Гарнітура дротова ігрова Gemix N1 Black-Red,,549,1,https://comfy.ua/garnitura-provodnaja-igrovaja-gemix-n1-black-red.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
775522435,,,,,.1729293,Игровые консоли и гейминг >> Комплектующие для игровых ПК,thermaltake,Корпус Thermaltake The Tower 900 (CA-1H1-00F1WN-00),,12239,1,https://comfy.ua/korpus-thermaltake-the-tower-900-ca-1h1-00f1wn-00.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
775547580,,,,,1730337,Посуда >> Для напитков >> Кувшины и графины >> Кувшины и графины Luminarc,luminarc,Глечик Luminarc Cheqs 1.3 л (Q3654),,315,1,https://comfy.ua/kuvshin-luminarc-cheqs-1-3-l-q3654.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
775548573,,,,,1725925,Инструменты и автотовары >> Электроинструменты,makita,Акумулятор для електроінструментів Makita BL1013 (194550-6),,1915,1,https://comfy.ua/catalog/product/view/id/1870193,,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
775558979,6986620,APACER,Флеш-драйв APACER AH25B 64GB USB 3.2 Black (AP64GAH25BB-1),246,1731271,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Apacer",apacer,Флеш USB Apacer  AH25B 64GB USB 3.1 Black (AP64GAH25BB-1),,199,1,https://comfy.ua/flesh-usb-apacer-ah25b-64gb-usb-3-1-black-ap64gah25bb-1.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,1
775718536,,,,,1731045,"Аудио, фото и видео >> Наушники",celebrat,Навушники вкладиші дротові Celebrat G12 Black,,79,1,https://comfy.ua/catalog/product/view/id/1872973,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
775889154,,,,,1730869,"Аудио, фото и видео >> Акустика",real-el,Портативна акустика REAL-EL X-757 Black,,3999,1,https://comfy.ua/catalog/product/view/id/1873603,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
