1042221821,column,column,column,column,1872126,Детские товары >> Игрушки,spidey,__spidey_little_plush_miles_morales___snf0004,column,579,1,httpscomfyuacatalogproductviewid3118073,column,06112025_104,column,__42,Фастів,0
1042369137,6855103,SPIDEY,Машинка инерционная SPIDEY Pull Back Vehicle SPIDEY Спайди (SNF0015),540,1872127,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Spidey,spidey,Наземна спецтехніка Spidey Pull Back Vehicle (SNF0015),,709,1,https://comfy.ua/nazemnaja-spectehnika-spidey-pull-back-vehicle-snf0015.html,,06.11.2025 0:48,,"вул. Соборна, 42",Фастів,0
1042369157,,,,,1872243,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Beko,beko,Духова шафа електрична Beko BBIE13100XC,,10499,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-beko-bbie-13100-xc.html,10999,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1042369191,,,,,1872126,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Spidey,spidey,М'яка іграшка Spidey Little Plush Miles Morales Майлз Моралес (SNF0004),,579,1,https://comfy.ua/mjagkaja-igrushka-geroj-spidey-little-plush-miles-morales-majlz-morales-snf0004.html,,06.11.2025 1:04,,"вул. Соборна, 42",Фастів,0
1042369259,,,,,1872064,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника CoComelon,cocomelon,Інтерактивний транспорт CoComelon Feature Vehicle Жовтий Шкільний Автобус зі звуком (CMW0015),,1009,1,https://comfy.ua/interaktivnyj-transport-cocomelon-feature-vehicle-zheltyj-shkol-nyj-avtobus-so-zvukom-cmw0015.html,,05.11.2025 23:47,,"вул. Соборна, 42",Фастів,0
1042369345,7051584,COCOMELON,Интерактивная игрушка CoComelon Deluxe Interactive JJ Doll Джей Джей (CMW0058),1759,1872067,Детские товары >> Игрушки >> Интерактивные игрушки >> Интерактивные игрушки CoComelon,cocomelon,Інтерактивна іграшка CoComelon Deluxe Interactive JJ Doll Джей Джей зі звуком (CMW0058),,1499,1,https://comfy.ua/interaktivnaja-igrushka-rezinovaja-cocomelon-deluxe-interactive-jj-doll-dzhej-dzhej-so-zvukom-cmw0058.html,2299,05.11.2025 23:59,,"вул. Соборна, 42",Фастів,0
1042369413,6855040,COCOMELON,Игровой набор COCOMELON Feature Vehicle Трактор со звуком (CMW0038),599,1872065,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника CoComelon,cocomelon,Інтерактивний транспорт CoComelon Feature Vehicle Трактор зі звуком (CMW0038),,699,1,https://comfy.ua/interaktivnyj-transport-cocomelon-feature-vehicle-traktor-so-zvukom-cmw0038.html,1199,05.11.2025 23:12,,"вул. Соборна, 42",Фастів,0
1042505060,,,,,1845743,Посуда >> Для напитков,versailles,Набір склянок Versailles ARAS 300 мл 6 шт. (VS-3300),,299,1,https://comfy.ua/nabor-stakanov-versailles-aras-300-ml-6-sht-vs-3300.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1042714440,,,,,1852863,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tescoma,tescoma,Лопатка кухонна tescoma 630056 Delicia,,449,1,https://comfy.ua/lopatka-kuhonnaja-tescoma-630056-delicia.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1042716614,,,,,1869242,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",voltronic,Стіл комп'ютерний Voltronic T6 Black (DOD-LT/T6/18981),,935,1,https://comfy.ua/stol-komp-juternyj-voltronic-t6-black-dod-lt-t6-18981.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1042722130,,,,,1872153,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Підсилювач бездротового сигнала TP-Link RE500X,,2399,1,https://comfy.ua/usilitel-besprovodnogo-signala-tp-link-re500x.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1042728109,6756879,TEFAL,Сковорода TEFAL Emotion 28 см Stainless Steel (E3000604),1199,1870673,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода універсальна Tefal E3000604 Emotion 28 см,,1199,1,https://comfy.ua/skovoroda-universal-naja-tefal-e3000604-emotion-28-sm.html,2499,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,2
1042728116,,,,,1855492,Посуда >> Для приготовления >> Сковороды >> Сковороды Pepper,pepper,Сковорода універсальна Pepper Black Ice Greblon C2 28x5 см (PR-6006),,1950,1,https://comfy.ua/skovoroda-universal-naja-pepper-black-ice-greblon-c2-28x5-sm-pr-6006.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1042829965,,,,,1857981,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",intracom,Хаб USB Intracom USB3.1 Type-C HDMI/USB 3.0/PD 60W 4-in-1 White (152945),,999,1,https://comfy.ua/hab-usb-intracom-usb3-1-type-c-hdmi-usb-3-0-pd-60w-4-in-1-white-152945.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1042847451,6768697,ROTEX,Бутербродница ROTEX RSM112-B,659,1870473,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы Rotex,rotex,Бутербродниця Rotex RSM112-B,,659,1,https://comfy.ua/buterbrodnica-rotex-rsm112-b.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1042847452,6768700,ROTEX,Бутербродница ROTEX RSM222-B,1349,1870475,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы Rotex,rotex,Бутербродниця Rotex RSM222-B,,1349,1,https://comfy.ua/buterbrodnica-rotex-rsm222-b.html,1579,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
1042937341,6742387,PEPPER,Кастрюля PEPPER Black Ice 1.5л Black (PR-6001),989,1855487,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Pepper,pepper,"Каструля Pepper Black Ice Greblon C2 1,5л. 16x8.5 см (PR-6001)",,1274,1,https://comfy.ua/kastrjulja-pepper-black-ice-greblon-c2-1-5l-16x8-5-sm-pr-6001.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1042937345,6742389,PEPPER,Кастрюля PEPPER Black Ice 4.4 л Black (PR-6003),1665,1855489,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Pepper,pepper,"Каструля Pepper Black Ice Greblon C2 4,4л. 24x12 см (PR-6003)",,1665,1,https://comfy.ua/kastrjulja-pepper-black-ice-greblon-c2-4-4l-24x12-sm-pr-6003.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
