1664063044,column,column,column,column,2724465,Посуда >> Для сервировки,luminarc,__luminarc_brush_mania_terracotta_20__v5420,column,100,1,httpscomfyuatarelkasupovajaluminarcbrushmaniaterracotta20smv5420html,column,05112025_1931,column,__42,Фастів,0
1664169039,7056768,BRIZOLL,Сотейник BRIZOLL Graphite 22 см Grey (54-2245),605,2767901,Посуда >> Для приготовления >> Сковороды >> Сковороды Brizoll,brizoll,Сковорода універсальна Brizoll 54-2245 GRAPHIT 22 см,,469,1,https://comfy.ua/skovoroda-universal-naja-brizoll-54-2245-graphit-22-sm.html,714,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1664169042,7056825,BRIZOLL,Сотейник BRIZOLL Monolith 28 см Black (M2860U),650,2768117,Посуда >> Для приготовления >> Сковороды >> Сковороды Brizoll,brizoll,Сковорода універсальна Brizoll M2860U 280 х 60 мм,,761,1,https://comfy.ua/skovoroda-universal-naja-brizoll-m2860u-280-h-60-mm.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1664169050,6544192,BRIZOLL,Сковорода BRIZOLL Optima 26 см Black (O2660-P),532,2768115,Посуда >> Для приготовления >> Сковороды >> Сковороды Brizoll,brizoll,Сковорода універсальна Brizoll O2660-P Optimа 260 х 60 мм,,608,1,https://comfy.ua/skovoroda-universal-naja-brizoll-o2660-p-optima-260-h-60-mm.html,737,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1664169069,6977768,BERGNER,Сковорода BERGNER Excalibur Grey 24 см (BG-36088-GY),1289,2799421,Посуда >> Для приготовления >> Сковороды >> Сковороды Bergner,bergner,Сковорода універсальна Bergner Excalibur 24 см (BG-36088-GY),,1289,1,https://comfy.ua/skovoroda-universal-naja-bergner-excalibur-24-sm-bg-36088-gy.html,1609,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1664169074,6977769,BERGNER,Сковорода BERGNER Excalibur Grey 28 см (BG-36089-GY),1549,2799420,Посуда >> Для приготовления >> Сковороды >> Сковороды Bergner,bergner,Сковорода універсальна Bergner Excalibur 28 см (BG-36089-GY),,1549,1,https://comfy.ua/skovoroda-universal-naja-bergner-excalibur-28-sm-bg-36089-gy.html,1929,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1664169106,6949805,KELA,Сковорода KELA Calido 28 см Black (12478),3789,2808163,Посуда >> Для приготовления >> Сковороды >> Сковороды Kela,kela,Сковорода універсальна Kela Calido 28 см (12478),,3789,1,https://comfy.ua/skovoroda-universal-naja-kela-calido-28-sm-12478.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1664169107,6949789,KELA,Сковорода KELA Calido 28 см Light Grey (12613),3789,2808162,Посуда >> Для приготовления >> Сковороды >> Сковороды Kela,kela,Сковорода універсальна Kela Calido 28 см (12613),,3789,1,https://comfy.ua/skovoroda-universal-naja-kela-calido-28-sm-12613.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1664169229,6977779,KITCHENAID,Сковорода KITCHENAID Forged Hardened Aluminium 24 см Black (CC005693-001),6059,2868299,Посуда >> Для приготовления >> Сковороды >> Сковороды KitchenAid,kitchenaid,Сковорода універсальна KitchenAid FHA 24 см (CC005693-001),,6059,1,https://comfy.ua/skovoroda-universal-naja-kitchenaid-fha-24-sm-cc005693-001.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1664169230,6977780,KITCHENAID,Сковорода KITCHENAID Forged Hardened Aluminium 28 см Black (CC005694-001),6779,2868300,Посуда >> Для приготовления >> Сковороды >> Сковороды KitchenAid,kitchenaid,Сковорода універсальна KitchenAid FHA 28 см (CC005694-001),,6779,1,https://comfy.ua/skovoroda-universal-naja-kitchenaid-fha-28-sm-cc005694-001.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1664181066,6979012,MPM,Электрочайник MPM MCZ-125,999,2917934,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические MPM,mpm,Електричний чайник MPM MCZ-125,,999,1,https://comfy.ua/jelektricheskij-chajnik-mpm-mcz-125.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
