777085613,column,column,column,column,1685092,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,____powerplant_acer_220v_19v_45w_237a_5521_ac45f5521,column,499,1,httpscomfyuazarjadnoeustrojstvodljanoutbukapowerplantacer220v19v45w237a5521ac45f5521html,column,05112025_2118,column,__42,Фастів,0
777085613,,,,,1685092,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Acer 220V 19V 45W 2.37A (5.5*2.1) (AC45F5521),,499,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-acer-220v-19v-45w-2-37a-5-5-2-1-ac45f5521.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
777085614,,,,,1685091,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Acer 220V 12V 18W 1.5A (3.0*1.1) (AC18A3011),,418,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-acer-220v-12v-18w-1-5a-3-0-1-1-ac18a3011.html,449,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
777085692,,,,,1725204,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель USB type A - USB type B Digitus USB 2.0 (AM/BM) 1.8m Black (AK-300102-018-S),,59,1,https://comfy.ua/kabel-usb-type-a-usb-type-b-digitus-usb-2-0-am-bm-1-8m-black-ak-300102-018-s.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
777085722,,,,,1685094,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Acer 220V 19V 90W 4.74A (5.5*2.1) (AC90F5521),,655,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-acer-220v-19v-90w-4-74a-5-5-2-1-ac90f5521.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
777085724,,,,,1576109,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Q15 15W 5V 3A (NA700219),,297,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-q15-15w-5v-3a-na700219.html,659,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
777099837,,,,,1685048,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant APPLE 220V 20V 87W 3A (USB-C) (AP87USBC),,1099,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-apple-220v-20v-87w-3a-usb-c-ap87usbc.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
777099862,,,,,1685095,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Asus 220V 19V 120W 6.32A (4.5*3.0) (AS120F4530),,1099,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-asus-220v-19v-120w-6-32a-4-5-3-0-as120f4530.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
777099863,,,,,1685047,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant ACER 220V 19V 135W 7.1A (5.5*1.7) (AC135F5517),,1199,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-acer-220v-19v-135w-7-1a-5-5-1-7-ac135f5517.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
777103274,,,,,1685090,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Acer 220V 19.5V 180W 9.23A (5.5*1.7) (AC180G5517),,2499,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-acer-220v-19-5v-180w-9-23a-5-5-1-7-ac180g5517.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
777104563,,,,,1728216,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",profcable,Перехідник DVI - HDMI ProfCable DVI-D - HDMI A Socket (DH-1),,109,1,https://comfy.ua/perehodnik-dvi-hdmi-profcable-dvi-d-hdmi-a-socket-dh-1.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
777113739,,,,,.1724843,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",merlion,Коммутатор локальної мережі (Switch) Merlion BT-D6006FE,,1109,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-merlion-bt-d6006fe.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
777114070,,,,,1728213,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",profcable,Кабель патч-корд ProfCable CAT5e 40 м (ProfCable7-4000),,599,1,https://comfy.ua/kabel-patch-kord-profcable-cat5e-40-m-profcable7-4000.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
777115298,,,,,1728354,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",mikrotik,Коммутатор локальної мережі (Switch) MikroTik CRS317-1G-16S+RM,,19429,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-mikrotik-crs317-1g-16s-rm.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
777115713,,,,,1728214,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",profcable,Кабель патч-корд ProfCable CAT5e 50 м (ProfCable7-5000),,599,1,https://comfy.ua/kabel-patch-kord-profcable-cat5e-50-m-profcable7-5000.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
777169057,6671239,MIKROTIK,Маршрутизатор MIKROTIK CCR2004-1G-12S+2XS 1xGE 12xSFP+ 2x25G SFP28,24459,1730562,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет MikroTik",mikrotik,Маршрутизатор інтернет LAN MikroTik CCR2004-1G-12S+2XS,,20330,1,https://comfy.ua/marshrutizator-ethernet-mikrotik-ccr2004-1g-12s-2xs.html,22589,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
777189673,,,,,1725529,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Asus ZenFone Selfie (ZD551KL) (SM120079),,299,1,https://comfy.ua/catalog/product/view/id/1879933,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
777189832,,,,,1725525,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфону PowerPlant Apple iPhone 6s Plus (616-00045) (SM110070),,799,1,https://comfy.ua/catalog/product/view/id/1879903,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
777205390,,,,,1719334,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",case-logic,Рюкзак для ноутбуку Case Logic Propel Backpack 15.6'' PROPB-116 Black (3204529/3205284),,3499,1,https://comfy.ua/catalog/product/view/id/1811723,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
777212625,6933866,MAXMARK,Термокружка MAXMARK MK-CUP4450BK 450 мл,415,1735053,Посуда >> Для напитков >> Термопосуда >> Термопосуда Maxmark,maxmark,Термос Maxmark MK-CUP4450BK 450 мл,,415,1,https://comfy.ua/termos-maxmark-mk-cup4450bk-450-ml.html,899,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
777234637,,,,,1715737,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Samsung 220V 19V 60W 3.16A (SA60F5530),,549,1,https://comfy.ua/catalog/product/view/id/1875583,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
777465986,,,,,1725513,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant Lenovo Vibe Z2 (BL230) (DV00DV6304),,139,1,https://comfy.ua/catalog/product/view/id/1879863,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
777468101,,,,,1725539,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant HTC Desire 10 (SM140107),,169,1,https://comfy.ua/catalog/product/view/id/1879963,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
777468257,,,,,1725505,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant LG Optimus GK F220 (BL-T6) (DV00DV6294),,159,1,https://comfy.ua/catalog/product/view/id/1879813,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
777468259,,,,,1725528,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Asus Zenfone 3 Deluxe (ZS570KL) (C11P1603) (SM120031),,179,1,https://comfy.ua/catalog/product/view/id/1879923,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
777468260,,,,,1725549,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Xiaomi Mi 4S (BM38) (SM220076),,199,1,https://comfy.ua/catalog/product/view/id/1880033,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
777468266,,,,,1725508,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant LG G Flex (BL-T11) (DV00DV6298),,139,1,https://comfy.ua/catalog/product/view/id/1879853,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
777468267,,,,,1725526,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Asus Zenfone 3 (C11P1511) (SM120017),,199,1,https://comfy.ua/catalog/product/view/id/1879913,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
777470412,,,,,1725506,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant LG G Flex (BL-T8) (DV00DV6296),,199,1,https://comfy.ua/catalog/product/view/id/1879823,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
777470634,,,,,1725515,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Asus Z6 (C11P1325) (DV00DV6320),,159,1,https://comfy.ua/catalog/product/view/id/1879883,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
777470635,,,,,1725538,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant HTC One Mini 2 (B0P6M100) (SM140091),,139,1,https://comfy.ua/catalog/product/view/id/1879953,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
777470791,,,,,1733887,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",acer,Килимок для миші ігровий Acer Predator Gaming XXL PMP020 (GP.MSP11.005),,1799,1,https://comfy.ua/kovrik-dlja-myshi-acer-predator-gaming-xxl-pmp020-gp-msp11-005.html,,05.11.2025 22:27,,"вул. Соборна, 42",Фастів,0
777471274,,,,,1725507,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,"Акумулятор для мобільного телефону PowerPlant LG Nexus 5 D820, D821 (BL-T9) (DV00DV6297)",,299,1,https://comfy.ua/catalog/product/view/id/1879843,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
777471405,,,,,1725514,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Asus Z5 (C11P1324) (DV00DV6319),,199,1,https://comfy.ua/catalog/product/view/id/1879873,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
777485166,6663622,ARDESTO,Сковорода ARDESTO Gemini Gourmet Spoleto 28 см Black (AR1928GB),639,1735807,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto AR1928GB Gemini Gourmet 28 см,,639,1,https://comfy.ua/skovoroda-universal-naja-ardesto-ar1928gb-gemini-gourmet-28-sm.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
777485333,,,,,1736196,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",benq,Монітор ігровий BenQ XL2540K Dark Grey,,14355,1,https://comfy.ua/catalog/product/view/id/1883913,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
777841509,6661969,BENQ,Монитор BENQ ZOWIE XL2540K (9H.LJMLB.QBE),14355,1736196,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы BenQ",benq,Монітор ігровий BenQ XL2540K Dark Grey,,14355,1,https://comfy.ua/monitor-igrovoj-benq-xl2540k-dark-grey.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
777841522,,,,,1735975,Детские товары >> Игрушки,electrolux,Сюжетно-рольова гра. Будинок. Побутова техніка Electrolux ETY08,,2069,1,https://comfy.ua/sjuzhetno-rolevaja-igra-dom-bytovaja-tehnika-electrolux-ety08.html,,05.11.2025 23:55,,"вул. Соборна, 42",Фастів,0
777841553,,,,,1736392,Детские товары >> Игрушки >> Конструкторы >> Конструкторы MagPlayer,magplayer,Магнітний конструктор Magkiss 88 од. (MPT-88),,2999,1,https://comfy.ua/magnitnyj-konstruktor-magplayer-88-ed-mpt-88.html,4285,06.11.2025 0:30,,"вул. Соборна, 42",Фастів,0
777841613,6664399,SNAIGE,Холодильник-витрина SNAIGE CD29DM-S302S,19999,1735622,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Snaige,snaige,Холодильник Snaige CD29DM-S302S,,19999,1,https://comfy.ua/holodil-nik-snaige-cd29dm-s302s.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
777841616,6659950,GORENJE,Пылесос GORENJE SVC252FMBK,7199,1735672,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Gorenje,gorenje,Пилосос ручний для дому Gorenje SVC252FMBK,,6695,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-gorenje-svc252fmbk.html,7199,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
