929259152,6891454,ФРЕКЕН БОК,Губка кухонная ФРЕКЕН БОК МАКСИМА 5 шт + 1 шт (15104090),52,1716487,Бытовая химия >> Для кухни и мытья посуды >> Губки и щетки для мытья посуды >> Губки и щетки для мытья посуды Фрекен Бок,freken-bok,Набір губок поролонових для миття посуду Фрекен Бок Максима 5 + 1 шт. (4820048480185),,47,1,https://comfy.ua/nabor-gubok-porolonovyh-dlja-myt-ja-posudy-freken-bok-maksima-5-1-sht-4820048480185.html,56,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
929259154,6891455,ФРЕКЕН БОК,Губка ФРЕКЕН БОК MAX 5 шт+1 шт (15108090),48,1716488,Бытовая химия >> Для кухни и мытья посуды >> Губки и щетки для мытья посуды >> Губки и щетки для мытья посуды Фрекен Бок,freken-bok,Набір губок поролонових для миття посуду Фрекен Бок Мax 5 + 1 шт. (4823071621556),,43,1,https://comfy.ua/nabor-gubok-porolonovyh-dlja-myt-ja-posudy-freken-bok-max-5-1-sht-4823071621556.html,59,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
929259155,6891456,ФРЕКЕН БОК,Губки кухонные ФРЕКЕН БОК BIG Bubble 4 шт (15108390),51,1749613,Бытовая химия >> Для кухни и мытья посуды >> Губки и щетки для мытья посуды >> Губки и щетки для мытья посуды Фрекен Бок,freken-bok,Набір губок поролонових для миття посуду Фрекен Бок Big Bubble 4 шт. (4823071635485),,54,1,https://comfy.ua/nabor-gubok-porolonovyh-dlja-myt-ja-posudy-freken-bok-big-bubble-4-sht-4823071635485.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
929259158,6891457,ФРЕКЕН БОК,Губка ФРЕКЕН БОК МАКСИМА BLACK 5 шт (15104085),52,1749962,Бытовая химия >> Для кухни и мытья посуды >> Губки и щетки для мытья посуды >> Губки и щетки для мытья посуды Фрекен Бок,freken-bok,Губка для миття посуду поролонова Фрекен Бок Максима Black 5 шт. (4823071642346),,57,1,https://comfy.ua/gubka-dlja-myt-ja-posudy-porolonovaja-freken-bok-maksima-black-5-sht-4823071642346.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
929263813,6801085,ZEWA,Туалетная бумага ZEWA Almond Milk c ароматом миндального молочка 42 шт (7322540796179),99,1740003,Бытовая химия >> Для ванной комнаты >> Туалетная бумага >> Туалетная бумага Zewa,zewa,Вологий туалетний папір Zewa Almond Milk 42 шт. (7322540796179),,99,1,https://comfy.ua/vlazhnaja-tualetnaja-bumaga-zewa-almond-milk-42-sht-7322540796179.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
929263814,6881921,ZEWA,Туалетная бумага влажная Zewa Pure без аромата 42 шт (7322540796582),99,1740005,Бытовая химия >> Для ванной комнаты >> Туалетная бумага >> Туалетная бумага Zewa,zewa,"Вологий туалетний папір Zewa Pure Moist, 42 шт. (7322540796582)",,99,1,https://comfy.ua/vlazhnaja-tualetnaja-bumaga-zewa-pure-moist-42-sht-7322540796582.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
929283150,6986060,BOSCH,Клеевые стержни BOSCH 11х200мм 25шт Clear (1.609.201.396),634,1816106,Инструменты и автотовары >> Расходные материалы >> Клеевые стержни >> Клеевые стержни Bosch,bosch,Стрижень для клейового пістолета Bosch прозорий 11х200мм 0.5кг (1.609.201.396),,635,1,https://comfy.ua/sterzhen-dlja-kleevogo-pistoleta-bosch-prozrachnyj-11h200mm-0-5kg-1-609-201-396.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
929284327,6306367,STANLEY,"""Рулетка измерительная Stanley """"FIBERGLASS"""" 20м (0-34-296)""",487,1789762,Инструменты и автотовары >> Ручные инструменты >> Рулетки >> Рулетки Stanley,stanley,Рулетка Stanley Fiberglass 2000х12 мм (0-34-296),,599,1,https://comfy.ua/ruletka-stanley-fiberglass-2000h12-mm-0-34-296.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
929284328,6306368,STANLEY,"""Рулетка измерительная Stanley """"FIBERGLASS"""" 30м (0-34-297)""",605,1789650,Инструменты и автотовары >> Ручные инструменты >> Рулетки >> Рулетки Stanley,stanley,Рулетка Stanley Fiberglass 3000х12 мм (0-34-297),,629,1,https://comfy.ua/ruletka-stanley-fiberglass-3000h12-mm-0-34-297.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
929285470,,,,,.1823241,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Samsung Galaxy A7 2018 SM-A750 Black (702948),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-samsung-galaxy-a7-2018-sm-a750-black-702948.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
