809911173,column,column,column,column,1770093,________________frosch,frosch,____frosch___750_,column,104,1,httpscomfyuasredstvodljachistkiunitazafroschgelmalina750mlhtml,176,05112025_1912,column,__42,Фастів,0
809922485,6687083,NEO TOOLS,Ножовка NEO TOOLS 300 мм (43-302),555,1767616,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Neo Tools",neo-tools,"Ножівка Neo Tools 300 мм, двухкомпонентная ручка (43-302)",,555,1,https://comfy.ua/nozhovka-neo-tools-300-mm-dvuhkomponentnaja-ruchka-43-302.html,,05.11.2025 23:10,,"вул. Соборна, 42",Фастів,0
809923203,,,,,.1776590,Инструменты и автотовары >> Расходные материалы,stal,Стрижень для клейового пістолета Сталь 7.2х200 мм 12 шт. (80220),,62,1,https://comfy.ua/sterzhen-dlja-kleevogo-pistoleta-stal-7-2h200-mm-12-sht-80220.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
809923204,,,,,1776366,Инструменты и автотовары >> Расходные материалы,stal,Стрижень для клейового пістолета Сталь 11.2х200 мм 12 шт. (80210),,135,1,https://comfy.ua/sterzhen-dlja-kleevogo-pistoleta-stal-11-2h200-mm-12-sht-80210.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
809923205,,,,,.1776365,Инструменты и автотовары >> Расходные материалы,stal,Стрижень для клейового пістолета Сталь 11.2х200 мм 12 шт. (80200),,125,1,https://comfy.ua/sterzhen-dlja-kleevogo-pistoleta-stal-11-2h200-mm-12-sht-80200.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
809923206,,,,,.1776364,Инструменты и автотовары >> Расходные материалы,stal,Стрижень для клейового пістолета Сталь 11.2х200 мм 12 шт. (80190),,125,1,https://comfy.ua/sterzhen-dlja-kleevogo-pistoleta-stal-11-2h200-mm-12-sht-80190.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
809923207,,,,,.1776367,Инструменты и автотовары >> Расходные материалы,stal,Стрижень для клейового пістолета Сталь 11.2х300 мм (80170),,529,1,https://comfy.ua/sterzhen-dlja-kleevogo-pistoleta-stal-11-2h300-mm-80170.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
809923208,,,,,.1776368,Инструменты и автотовары >> Расходные материалы,stal,Стрижень для клейового пістолета Сталь 11.2х300 мм (80180),,415,1,https://comfy.ua/sterzhen-dlja-kleevogo-pistoleta-stal-11-2h300-mm-80180.html,,05.11.2025 22:04,,"вул. Соборна, 42",Фастів,0
809924554,,,,,.1776540,Инструменты и автотовары >> Ручные инструменты,stal,Мультитул Сталь 12 в 1 165 мм (41160),,639,1,https://comfy.ua/mul-titul-stal-12-v-1-165-mm-41160.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
809924710,6662579,СТАЛЬ,Отвертка двусторонняя СТАЛЬ (49091) PH2 х SL6 75 мм (102720),62,1774891,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка Сталь PH2хSL6 75 мм (49091),,79,1,https://comfy.ua/otvertka-stal-ph2hsl6-75-mm-49091.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
809924711,6626073,HAISSER,Отвертка HAISSER 49128 S2 SL5x100 мм (94806),113,1775015,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Haisser,haisser,Викрутка Haisser S2 SL5x100 мм (49128),,115,1,https://comfy.ua/otvertka-haisser-s2-sl5x100-mm-49128.html,,05.11.2025 22:26,,"вул. Соборна, 42",Фастів,0
