882206735,,,,,.1808276,Посуда >> Для приготовления,vitrinor,"Сотейник Vitrinor К2 14 см 1,0 л",,512,1,https://comfy.ua/sotejnik-vitrinor-k2-14-sm-1-0-l.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
882206790,,,,,1797826,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",hp,Картридж для струменевих принтерів/БФП HP DJ No.712 DesignJet Т230/Т630 Black 80ml (3ED71A),,3905,1,https://comfy.ua/catalog/product/view/id/2391873,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
882206800,,,,,.1808283,Посуда >> Для приготовления,vitrinor,"Сотейник Vitrinor К2 24 см 2,3 л",,744,1,https://comfy.ua/sotejnik-vitrinor-k2-24-sm-2-3-l.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
882206801,,,,,.1808284,Посуда >> Для приготовления,vitrinor,"Сотейник Vitrinor К2 28 см 4,0 л",,952,1,https://comfy.ua/sotejnik-vitrinor-k2-28-sm-4-0-l.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
882206825,,,,,.1791959,Техника для дома >> Умный дом,legrand,Вбудований вимикач Legrand Etika з підсвічуванням Антрацит (672615),,519,1,https://comfy.ua/vstroennyj-vykljuchatel-legrand-etika-s-podsvetkoj-antracit-672615.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
882206922,,,,,.1801121,Техника для дома >> Умный дом,powerplant,Розумна розетка PowerPlant Tuya Wi-Fi EU (HS081379),,2699,1,https://comfy.ua/umnaja-rozetka-powerplant-tuya-wi-fi-eu-hs081379.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
882207056,,,,,1798979,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж для струменевих принтерів/БФП Canon PFI-710 Photo Black (2354C001AA),,18715,1,https://comfy.ua/catalog/product/view/id/2426693,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
882207110,,,,,1798988,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж для лазерних принтерів/БФП Canon для iR1643/1643i/1643iF T06 Cartridge Black (3526C002AA),,5505,1,https://comfy.ua/catalog/product/view/id/2401213,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
882211047,,,,,1810850,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Dada,dada,"Одноразові підгузки Dada Extra Soft Розмір 5 (11-25 кг), 39 шт. (6429)",,325,1,https://comfy.ua/odnorazovye-podguzniki-dada-extra-soft-razmer-5-11-25-kg-39-sht-6429.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
882211393,,,,,1808508,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Гладильные доски >> Гладильные доски Eurogold",eurogold,"Прасувальна дошка Eurogold 22438Р Storm mint 215, 120*38 см",,1865,1,https://comfy.ua/gladil-naja-doska-eurogold-22438r-storm-mint-215-120-38-sm.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
882217204,,,,,1800243,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",printpro,Картридж для лазерних принтерів/БФП PrintPro Canon 703 LBP-2900/3000 (PP-703),,419,1,https://comfy.ua/catalog/product/view/id/2421733,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
882219455,,,,,1799254,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры HP",hp,Картридж для струменевих принтерів/БФП HP No.651 DJ Ink Advantage 5575/5645/ OfficeJet 202 Tri-color (C2P11AE),,1175,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-hp-no-651-dj-ink-advantage-5575-5645-officejet-202-tri-color-c2p11ae.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
882219525,,,,,1799253,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры HP",hp,Картридж для струменевих принтерів/БФП HP No.651 DJ Ink Advantage 5575/5645/ OfficeJet 202 Black (C2P10AE),,1305,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-hp-no-651-dj-ink-advantage-5575-5645-officejet-202-black-c2p10ae.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
882220823,,,,,1697532,Comfy KIDS >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Battat,battat,Сортер Battat Совушка Угу-Гу (звук) (BX1384Z),,993,1,https://comfy.ua/sorter-battat-sovushka-ugu-gu-zvuk-bx1384z.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
882223318,,,,,.1806069,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Чохол для планшету Armorstandart Smart Case for Lenovo Tab M10 Plus TB-X606 Blue (ARM58619),,499,1,https://comfy.ua/chehol-dlja-plansheta-armorstandart-smart-case-for-lenovo-tab-m10-plus-tb-x606-blue-arm58619.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
882224374,,,,,.1803196,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Epson L-7160/7180 70 мл Magenta (CW-EW716M01),,95,1,https://comfy.ua/chernila-colorway-epson-l-7160-7180-70-ml-magenta-cw-ew716m01.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
882224377,,,,,1800812,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Canon PG-440/PG-445/PGI-450Bk 100г Black Pigmented (C45/BP-2),,92,1,https://comfy.ua/catalog/product/view/id/2415523,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
882225904,,,,,.1806918,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Oppo A74 Black (1283126512667),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-oppo-a74-black-1283126512667.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
882226826,,,,,1800804,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Canon Universal Carmen Yellow (CU/Y),,135,1,https://comfy.ua/catalog/product/view/id/2415183,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
882226918,,,,,1802448,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,Чорнило G&G Epson L3100/3110/3150 Cyan 70 мл (G&G-C13T00S24A),,79,1,https://comfy.ua/catalog/product/view/id/2418663,169,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
882226919,,,,,1802449,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,Чорнило G&G Epson L3100/3110/3150 Magenta 70 мл (G&G-C13T00S34A),,175,1,https://comfy.ua/catalog/product/view/id/2418673,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
882226920,,,,,1802450,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,Чорнило G&G Epson L3100/3110/3150 Yellow 70 мл (G&G-C13T00S44A),,175,1,https://comfy.ua/catalog/product/view/id/2418703,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
882226922,,,,,1801180,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,Чорнило G&G для Epson L4150/L4160 Magenta контейнер 70 мл (G&G-C13T03V34A),,135,1,https://comfy.ua/catalog/product/view/id/2418413,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
882226925,,,,,1801184,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,"Чорнило G&G для Canon GI-490 Magenta, контейнер 70ml (G&G-0665C001)",,90,1,https://comfy.ua/catalog/product/view/id/2418593,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
882227211,,,,,1800214,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Epson",epson,Картридж для струменевих принтерів/БФП Epson SC-T3100/T5100 80 мл Cyan (C13T40D240),,3279,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-epson-sc-t3100-t5100-80-ml-cyan-c13t40d240.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
882227212,,,,,1800215,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Epson",epson,Картридж для струменевих принтерів/БФП Epson SC-T3100/T5100 80 мл Yellow (C13T40D440),,3279,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-epson-sc-t3100-t5100-80-ml-yellow-c13t40d440.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
882227282,,,,,1800213,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Epson",epson,Картридж для струменевих принтерів/БФП Epson SC-T3100/T5100 80 мл Black (C13T40D140),,4835,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-epson-sc-t3100-t5100-80-ml-black-c13t40d140.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
882227343,,,,,1801177,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,"Чорнило G&G для Epson L4150/L4160 Black, контейнер 127 мл (G&G-C13T03V14A)",,259,1,https://comfy.ua/catalog/product/view/id/2418363,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
882227344,,,,,1800799,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Canon PG510BP/CL511C/M/Y Комплект (C10/11SET4-2),,339,1,https://comfy.ua/catalog/product/view/id/2415123,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
882228345,,,,,.1803162,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Чорнило Canon PFI-120 130 мл Black (2885C001AA),,4865,1,https://comfy.ua/chernila-canon-pfi-120-130-ml-black-2885c001aa.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
882233286,,,,,.1798979,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж для струменевих принтерів/БФП Canon PFI-710 Photo Black (2354C001AA),,18715,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-canon-pfi-710-photo-black-2354c001aa.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
882235007,6814678,GARTNER,Мотокосa GARTNER  BCG-2812 (844541),4300,1810916,"Инструменты и автотовары >> Садовые инструменты >> Триммеры, мотокосы, электрокосы >> Триммеры, мотокосы, электрокосы Gartner",gartner,Тример садовий Gartner BCG-2812 (844541),,4299,1,https://comfy.ua/trimmer-sadovyj-gartner-bcg-2812-844541.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
882235009,7042254,TEKHMANN,Мотокоса TEKHMANN BCG-2215 (842484),5600,1809085,"Инструменты и автотовары >> Садовые инструменты >> Триммеры, мотокосы, электрокосы >> Триммеры, мотокосы, электрокосы Tekhmann",tekhmann,Тример садовий Tekhmann BCG-2215 (842484),,5599,1,https://comfy.ua/trimmer-sadovyj-tekhmann-bcg-2215-842484.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
882242077,6766620,RITAR,ИБП RITAR RTSWm-MPPT-MPS-4048,22470,1797464,Энергообеспечение >> Солнечные инверторы >> Солнечные инверторы все >> Солнечные инверторы все Ritar,ritar,Інвертор гібридний сонячний Ritar RTSWm-MPPT-MPS-4048,,22815,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-ritar-rtswm-mppt-mps-4048.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
882242089,6723530,ELEYUS,Встраиваемая посудомоечная машина ELEYUS DWB 45036,17899,1809651,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины ELEYUS,eleyus,Посудомийна машина вбудована ELEYUS DWB 45036,,17899,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-eleyus-dwb-45036.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
882242090,6723528,ELEYUS,Встраиваемая посудомоечная машина ELEYUS DWB 60036,19199,1809649,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины ELEYUS,eleyus,Посудомийна машина вбудована ELEYUS DWB 60036,,19199,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-eleyus-dwb-60036.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
882260073,,,,,1807020,"Дом, отдых и зоотовары >> Отдых и путешествия >> Чемоданы >> Чемоданы Trunki",trunki,Валіза Trunki Una the Unicorn (0287-GB01-UKV),,2989,1,https://comfy.ua/chemodan-trunki-una-the-unicorn-0287-gb01-ukv.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
882265708,,,,,1800792,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM для Canon GI-490 4х140 г (B/C/M/Y) (C490SET4),,775,1,https://comfy.ua/chernila-wwm-dlja-canon-gi-490-4h140-g-b-c-m-y-c490set4.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
