942595013,column,column,column,column,1830228,__________elica,elica,__elica_missy_pb_ixa60,column,4799,1,httpscomfyuavytjazhkadekorativnajaelicamissypbixa60html,5699,05112025_2049,column,__42,Фастів,0
942595013,,,,,1830228,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Elica,elica,Витяжка декоративна Elica MISSY PB IX/A/60,,4799,1,https://comfy.ua/vytjazhka-dekorativnaja-elica-missy-pb-ix-a-60.html,5699,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
942595459,,,,,1831084,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов UGREEN,ugreen,Мережевий зарядний пристрій UGREEN CD170 36W USB + Type-C Charger White (60468),,799,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-ugreen-cd170-36w-usb-type-c-charger-white-60468.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
942595462,,,,,1831085,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Мережевий зарядний пристрій UGREEN CD216 66W 2xType-C PD Charger Black (70867),,1199,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-ugreen-cd216-66w-2xtype-c-pd-charger-black-70867.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
942598290,,,,,1831112,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель HDMI UGREEN HD101 HDMI Round Cable 3 m Yellow/Black (10130),,289,1,https://comfy.ua/kabel-hdmi-ugreen-hd101-hdmi-round-cable-3-m-yellow-black-10130.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
942607936,,,,,.1832016,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",printpro,Картридж для кольорових лазерних принтерів PrintPro HP CE505A LJ P2035/2050/2055 (PP-H505),,469,1,https://comfy.ua/kartridzh-dlja-cvetnyh-lazernyh-printerov-printpro-hp-ce505a-lj-p2035-2050-2055-pp-h505.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
942628446,,,,,1832729,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты VEIKK",veikk,Графічний планшет VEIKK VK1560,,19799,1,https://comfy.ua/graficheskij-planshet-veikk-vk1560.html,21999,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
942628447,,,,,1832719,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты VEIKK",veikk,Графічний планшет VEIKK VK1560PRO,,19799,1,https://comfy.ua/graficheskij-planshet-veikk-vk1560pro.html,21999,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
942687248,,,,,1831392,Техника для дома >> Умный дом >> Датчики безопасности >> Датчики безопасности Ajax,ajax,Бездротовий датчик руху Ajax DualCurtain Outdoor White (000022070),,6809,1,https://comfy.ua/besprovodnoj-datchik-dvizhenija-ajax-dualcurtain-outdoor-white-000022070.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
942688336,,,,,.1827040,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",xp-pen,Графічний планшет XP-Pen Deco Pro S,,5799,1,https://comfy.ua/graficheskij-planshet-wacom-deco-pro-s.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
942688353,6736312,EPSON,Принтер струйный EPSON EcoTank L121 (C11CD76414),5935,1832358,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ Epson",epson,Принтер для кольорового друку Epson L121 (C11CD76414),,5935,1,https://comfy.ua/printer-dlja-cvetnoj-pechati-epson-l121-c11cd76414.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
