735419022,column,column,column,column,1661225,Посуда >> Для запекания и выпечки,tescoma,___tescoma_623252_delicia_20_,column,854,1,httpscomfyuaformadljavypechkitescoma623252delicia20smhtml,column,05112025_1915,column,__42,Фастів,0
734991972,,,,,1678858,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 633042 бордюр з квітами,,599,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-633042-bordjur-s-cvetami.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
735068265,,,,,1678857,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 633040 бордюр з сердечками,,599,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-633040-bordjur-s-serdechkami.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
735390188,,,,,1660938,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tescoma,tescoma,Ложка кухарська tescoma 637212 Presto Wood,,199,1,https://comfy.ua/lozhka-povarskaja-tescoma-637212-presto-wood.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
735390219,,,,,1677609,Посуда >> Кухонные аксессуары,tescoma,Лопатка кухонна tescoma 637368 30 см,,129,1,https://comfy.ua/lopatka-kuhonnaja-tescoma-637368-30-sm.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
735410879,,,,,1661667,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tescoma,tescoma,Вінчик tescoma 630220 Delicia 20 см,,199,1,https://comfy.ua/venchik-tescoma-630220-delicia-20-sm.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
735419022,,,,,1661225,Посуда >> Для запекания и выпечки,tescoma,Форма для випічки tescoma 623252 Delicia 20 см,,854,1,https://comfy.ua/forma-dlja-vypechki-tescoma-623252-delicia-20-sm.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
735419044,,,,,1661227,Посуда >> Для запекания и выпечки,tescoma,Форма для випічки tescoma 623250 Delicia 18 см,,849,1,https://comfy.ua/forma-dlja-vypechki-tescoma-623250-delicia-18-sm.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
735451068,,,,,1677936,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 623142 Delicia 22 см,,999,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-623142-delicia-22-sm.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
735451196,,,,,.1677924,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 629352 Delicia Silicone,,599,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-629352-delicia-silicone.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
735634518,,,,,1661640,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tescoma,tescoma,Лопатка кухонна tescoma 420502 Presto,,229,1,https://comfy.ua/lopatka-kuhonnaja-tescoma-420502-presto.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
