1439230353,column,column,column,column,2235427,________________logitech,logitech,___logitech_brio_500_graphite_960001422,column,6299,1,httpscomfyuavebkameradljakompjuteralogitechbrio500graphite960001422html,column,05112025_1755,column,__42,Фастів,0
1439230353,,,,,2235427,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Веб-камеры >> Веб-камеры Logitech",logitech,Веб-камера для комп'ютера Logitech BRIO 500 Graphite (960-001422),,6299,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-logitech-brio-500-graphite-960-001422.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1439230354,,,,,2235428,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Веб-камеры >> Веб-камеры Logitech",logitech,Веб-камера для комп'ютера Logitech BRIO 500 White (960-001428),,6299,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-logitech-brio-500-white-960-001428.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1439230828,,,,,.2147165,Посуда >> Кухонные аксессуары,gusto,Друшляк Gusto GT-G-179,,84,1,https://comfy.ua/durshlag-gusto-gt-g-179.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1439236168,,,,,2235477,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки Marshall",marshall,Портативна акустика Marshall Tufton Black and Brass (1005924),,19999,1,https://comfy.ua/portativnaja-akustika-marshall-tufton-black-and-brass-1005924.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1439246878,6942588,SENCOR,Метеостанция SENCOR SWS4270,1499,2164417,Техника для дома >> Климатическая техника >> Метеостанции >> Метеостанции Sencor,sencor,Метеостанція Sencor SWS4270,,1399,1,https://comfy.ua/meteostancija-sencor-sws4270.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1439250193,6822855,LG,Стиральная машина LG F2V3HS7WW,22999,2228843,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины LG,lg,Пральна машина LG F2V3HS7WW,,22999,1,https://comfy.ua/stiral-naja-mashina-lg-f2v3hs7ww.html,24149,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,3
1439251225,6881128,GORENJE,Духовой шкаф GORENJE BPS6747A06X (BO3PY5I02-2),19999,2235340,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Gorenje,gorenje,Духова шафа електрична Gorenje BPS6747A06X,,19999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-gorenje-bps6747a06x.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1439258740,6703011,HANSA,Вытяжка HANSA OKP6521SWH,6799,2235429,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Hansa,hansa,Витяжка декоративна Hansa OKP6521SWH,,6799,1,https://comfy.ua/vytjazhka-dekorativnaja-hansa-okp6521swh.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1439263354,,,,,2234082,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Сумки для ноутбуков >> Сумки для ноутбуков Tucano",tucano,"""Сумка для ноутбуку Tucano Stop 13/14"""" Blue (BSTOP1314-B)""",,1349,1,https://comfy.ua/sumka-dlja-noutbuka-tucano-stop-13-14-blue-bstop1314-b.html,,05.11.2025 22:19,,"вул. Соборна, 42",Фастів,0
1439263470,6824510,DEFENDER,Гарнитура DEFENDER FreeMotion B595 Вlack (63595),437,2235459,"Аудио, фото и видео >> Наушники >> Наушники Defender",defender,Гарнітура бездротова Defender FreeMotion B595 Black (63595),,439,1,https://comfy.ua/garnitura-besprovodnaja-defender-freemotion-b595-black-63595.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1439263750,,,,,2235346,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Netgear",netgear,Коммутатор локальної мережі (Switch) Netgear GS524PP-100EUS,,20495,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-netgear-gs524pp-100eus.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1439280745,6831202,REVLON,Фен REVLON Frizz Fighter (RVDR5305E2),999,2233643,Красота и здоровье >> Уход за волосами >> Фены >> Фены Revlon,revlon,Фен Revlon Frizz Fighter (RVDR5305E2),,999,1,https://comfy.ua/fen-revlon-frizz-fighter-rvdr5305e2.html,1999,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1439280834,7018328,DAILY FRESH,Влажные салфетки DAILY FRESH антибактериальные 15 шт (4823071647013),13,2223781,Красота и здоровье >> Личная гигиена >> Салфетки для личной гигиены >> Салфетки для личной гигиены Daily Fresh,daily-fresh,Серветки гігієнічні вологі Daily Fresh Антибактеріальна 15шт,,10,1,https://comfy.ua/salfetki-gigienicheskie-vlazhnye-daily-fresh-antibakterial-naja-15sht.html,14,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,5
1439281012,,,,,2235350,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG3452P,,31499,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg3452p.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1439281853,,,,,.2218282,Посуда >> Для напитков,la-rochere,Склянка La Rochere 0.38 л (636301),,359,1,https://comfy.ua/stakan-la-rochere-0-38-l-636301.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1439298105,6823478,LOGITECH,Клавиатура LOGITECH Signature K650 Graphite (920-010945),2599,2235420,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Logitech",logitech,Клавіатура бездротова Logitech SignatureK650 Graphite (920-010945),,2599,1,https://comfy.ua/klaviatura-besprovodnaja-logitech-signaturek650-graphite-920-010945.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1439298192,,,,,2236783,"Ноутбуки, планшеты и компьютерная техника >> Планшеты",chuwi,Планшет Chuwi HiPad X T618 6/128GB Dual Sim Gray,,5723,1,https://comfy.ua/planshet-chuwi-hipad-x-6-128gb-wi-fi-gray.html,6359,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1439316831,6850192,GRUNHELM,Микроволновая печь GRUNHELM 20MX707-W White (110314),2279,2234044,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Grunhelm,grunhelm,Мікрохвильова піч (НВЧ) Grunhelm 20MX707-W White,,2279,1,https://comfy.ua/mikrovolnovaja-pech-svch-grunhelm-20mx707-w-white.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1439318109,6837432,ATLANTIC,Бойлер ATLANTIC Steatite Ego Slim VM 050 D325-1-BC,7899,2231477,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Atlantic,atlantic,Водонагрівач Atlantic Steatite Ego Slim VM 050 D325-1-BC (1500W),,7899,1,https://comfy.ua/vodonagrevatel-atlantic-steatite-ego-slim-vm-050-d325-1-bc-1500w.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
