1662279649,column,column,column,column,2900827,__________whp,whp,_whp_max_50,column,4399,1,httpscomfyuavodonagrevatelwhpmax50html,column,05112025_1812,column,__42,Фастів,0
1662086393,,,,,2870560,"Дом, отдых и зоотовары >> Декор для дома",strateg,Картина за номерами Strateg Лев-король 40х50 см (GS1440),,285,1,https://comfy.ua/kartina-po-nomeram-strateg-lev-korol-40h50-sm-gs1440.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1662089387,6975014,TEFAL,Блендер TEFAL HB656G10,2399,2892538,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Tefal,tefal,Блендер заглибний Tefal HB656G10,,2399,1,https://comfy.ua/blender-pogruzhnoj-tefal-hb656g10.html,3399,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1662089490,6905291,HEINNER,Блендер HEINNER HB-600GR,899,2563069,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Heinner,heinner,Блендер заглибний Heinner HB-600GR,,899,1,https://comfy.ua/blender-pogruzhnoj-heinner-hb-600gr.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1662279649,,,,,2900827,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели WHP,whp,Водонагрівач WHP Max 50,,4399,1,https://comfy.ua/vodonagrevatel-whp-max-50.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1662279650,6890679,EWT CLIMA,Бойлер EWT CLIMA EL 80 V,5039,2897726,Техника для дома >> Крупная техника,ewt,Водонагрівач EWT Clima EL 80 V,,5039,1,https://comfy.ua/vodonagrevatel-ewt-clima-el-80-v.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1662279653,7075815,WHP,Бойлер WHP Jack 50,5699,2900828,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели WHP,whp,Водонагрівач WHP Jack 50,,5699,1,https://comfy.ua/vodonagrevatel-whp-jack-50.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1662296454,,,,,2875477,"Аудио, фото и видео >> Акустика",officepro,Стійка-пантограф для мікрофона OfficePro SA085,,1199,1,https://comfy.ua/stojka-pantograf-dlja-mikrofona-officepro-sa085.html,1499,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1662298890,,,,,2907445,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",aula,Миша дротова ігрова Aula S12 Mountain Black,,259,1,https://comfy.ua/mysh-provodnaja-igrovaja-aula-s12-mountain-black.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1662301585,,,,,2901828,Красота и здоровье >> Уход за волосами,xiaomi,Машинка для стрижки волосся Xiaomi ShowSee Electric Hair Clipper Black (C4-BK),,1019,1,https://comfy.ua/mashinka-dlja-strizhki-volos-xiaomi-showsee-electric-hair-clipper-black-c4-bk.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1662308033,6973574,LIBERTON,Бутербродница LIBERTON LSM-5104,1099,2874541,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы Liberton,liberton,Бутербродниця Liberton LSM-5104,,1099,1,https://comfy.ua/buterbrodnica-liberton-lsm-5104.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,1
