1429981728,column,column,column,column,2130918,_________beurer,beurer,_beurer_ub_90,column,6979,1,httpscomfyuajelektroprostynbeurerub90html,column,05112025_1849,column,__42,Фастів,0
1429981728,,,,,2130918,Красота и здоровье >> Здоровье >> Электротекстиль >> Электротекстиль Beurer,beurer,Електропростирадло Beurer UB 90,,6979,1,https://comfy.ua/jelektroprostyn-beurer-ub-90.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1430059474,,,,,963219,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",prolink,Перехідник аудіо ProLink PB107-0030,,229,1,https://comfy.ua/perehodnik-audio-prolink-pb107-0030.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1430071690,,,,,.2213229,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",becover,Захисне скло для планшета BeCover for Samsung Galaxy Tab S8 Ultra SM-X900 (707492),,349,1,https://comfy.ua/zaschitnoe-steklo-dlja-plansheta-becover-for-samsung-galaxy-tab-s8-ultra-sm-x900-707492.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
1430073382,6790271,DEFENDER,Комплект Defender Dakota C-270 UKR USB Black (45271),305,2084481,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Defender",defender,Клавіатура+миша Defender Dakota C-270 UKR Black (45271),,269,1,https://comfy.ua/klaviatura-mysh-defender-dakota-c-270-ukr-black-45271.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1430076540,6977277,GORENJE,Морозильная камера GORENJE FN 619 EAW6,26499,2081816,Техника для кухни >> Крупная техника >> Морозильные камеры >> Морозильные камеры Gorenje,gorenje,Морозильна камера Gorenje FN619EAW6,,26499,1,https://comfy.ua/morozil-naja-kamera-gorenje-fn619eaw6.html,29999,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1430263119,6831943,SOLER&PALAU,Конвектор SOLER&PALAU TLS-603 T (5226832701),5049,2211959,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Soler&Palau,solerpalau,Конвектор Soler&Palau TLS-603 T,,5049,1,https://comfy.ua/konvektor-soler-palau-tls-603-t.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1430446896,6854478,REAL EL,Портативная акустика REAL EL X-745 Black (EL121600012),2999,2210102,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки REAL-EL",real-el,Портативна акустика REAL-EL X-745 Black,,2999,1,https://comfy.ua/portativnaja-akustika-real-el-x-745-black.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1430446930,,,,,2210103,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки REAL-EL",real-el,Портативна акустика REAL-EL X-747 Black,,2699,1,https://comfy.ua/portativnaja-akustika-real-el-x-747-black.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1430474280,6822020,POCKETBOOK,Электронная книга POCKETBOOK 700 Era Stardust Silver (PB700-U-16-WW),10499,2210094,"Ноутбуки, планшеты и компьютерная техника >> Электронные книги >> Электронные книги PocketBook",pocketbook,Електронна книга PocketBook 700 Stardust Silver (PB700-U-16-WW),,10499,1,https://comfy.ua/jelektronnaja-kniga-pocketbook-700-stardust-silver-pb700-u-16-ww.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1430562804,,,,,2197236,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Canyon,canyon,Мережевий зарядний пристрій Canyon CND-CHA100W01,,2549,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-canyon-cnd-cha100w01.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
