750922194,column,column,column,column,1684448,Посуда >> Для приготовления,wmf,_wmf_1741026040_vitalis___35_,column,12599,1,httpscomfyuakastrjuljawmf1741026040vitalissparovarkoj35lhtml,column,05112025_2048,column,__42,Фастів,0
750922188,,,,,1681834,Посуда >> Для приготовления,wmf,"Каструля WMF 724246030 GOURMET PLUS 24 см, 5,7 л",,8499,1,https://comfy.ua/kastrjulja-wmf-724246030-gourmet-plus-24-sm-5-7-l.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
750922190,,,,,1681860,Посуда >> Для приготовления,wmf,"Каструля WMF 1790206040 Premium A 20 см, 5,3 л",,9499,1,https://comfy.ua/kastrjulja-wmf-1790206040-premium-a-20-sm-5-3-l.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
750922192,,,,,1681865,Посуда >> Для приготовления,wmf,"Каструля WMF 725246030 GOURMET PLUS 24 см, 8,8 л",,9799,1,https://comfy.ua/kastrjulja-wmf-725246030-gourmet-plus-24-sm-8-8-l.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
750922194,,,,,.1684448,Посуда >> Для приготовления,wmf,"Каструля WMF 1741026040 Vitalis з пароваркою 3,5 л",,12599,1,https://comfy.ua/kastrjulja-wmf-1741026040-vitalis-s-parovarkoj-3-5-l.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
750976720,,,,,1694600,Посуда >> Для сервировки,berghoff,Набір столових приборів Berghoff 3950095 LEO,,729,1,https://comfy.ua/nabor-stolovyh-priborov-berghoff-3950095-leo.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
750979551,,,,,1704102,Посуда >> Для напитков >> Термопосуда >> Термопосуда Delonghi,delonghi,Термочашка Delonghi DLSC067 Animals,,499,1,https://comfy.ua/termokruzhka-delonghi-dlsc067-animals.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
750979580,,,,,1682038,Посуда >> Для приготовления,wmf,Набір посуду WMF 514855290 FT Mineral Topf 4 пр.,,29999,1,https://comfy.ua/nabor-posudy-wmf-514855290-ft-mineral-topf-4-pr.html,39999,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
750979581,,,,,1682029,Посуда >> Для приготовления,wmf,Набір посуду WMF 517405290 FT Mineral Topf 4 пр.,,39999,1,https://comfy.ua/nabor-posudy-wmf-517405290-ft-mineral-topf-4-pr.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
750979617,,,,,1684337,Посуда >> Для напитков,wmf,"Чайник металевий WMF 651016030 ORBIT 1,5 л",,2799,1,https://comfy.ua/chajnik-metallicheskij-wmf-651016030-orbit-1-5-l.html,3199,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
750979671,,,,,1679999,Техника для кухни >> Мелкая техника,wmf,Тостер WMF 414110011 BUENO Toaster Edition,,2499,1,https://comfy.ua/toster-wmf-414110011-bueno-toaster-edition.html,3799,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
750979673,,,,,.1680000,Техника для кухни >> Мелкая техника,wmf,Тостер WMF 414100011 Kitchenminis 1-Slice toaster,,3399,1,https://comfy.ua/toster-wmf-414100011-kitchenminis-1-slice-toaster.html,4499,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
750980407,,,,,.1680001,Техника для кухни >> Мелкая техника,wmf,Тостер WMF 414190011 Lumero Toaster,,6799,1,https://comfy.ua/toster-wmf-414190011-lumero-toaster.html,8799,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
