999012256,column,column,column,column,1852055,Смарт-часы и гаджеты >> Аксессуары,xoko,___xoko_samsung_milanese_22mm_black_xkbnd22mlnbk,column,199,1,httpscomfyuaremeshokdljasmartchasovxokosamsungmilanese22mmblackxkbnd22mlnbkhtml,column,05112025_1900,column,__42,Фастів,0
1003161601,,,,,1853143,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Клавіатура дротова A4tech FK25 (Black),,569,1,https://comfy.ua/catalog/product/view/id/2901873,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1003161602,,,,,1853144,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Клавіатура дротова A4tech FK25 (White),,569,1,https://comfy.ua/catalog/product/view/id/2901853,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1003184752,6736934,MOULINEX,Мультиварка MOULINEX Simply Cook Plus MK622132,4499,1848906,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки Moulinex,moulinex,Мультиварка Moulinex MK622132,,4499,1,https://comfy.ua/mul-tivarka-moulinex-mk622132.html,4999,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,2
1003184808,,,,,.1852049,Смарт-часы и гаджеты >> Смарт-часы,globex,Смарт-годинник Globex Me3 Black,,1599,1,https://comfy.ua/smart-chasy-globex-me3-black.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1003184817,6722043,MIDEA,Бойлер MIDEA D80-20ED2(D),9299,1853562,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Midea,midea,Водонагрівач Midea D80-20ED2(D),,9299,1,https://comfy.ua/vodonagrevatel-midea-d80-20ed2-d.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1003184830,6722039,MIDEA,Бойлер MIDEA D50-20ED2(D),8499,1853561,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Midea,midea,Водонагрівач Midea D50-20ED2(D),,8499,1,https://comfy.ua/vodonagrevatel-midea-d50-20ed2-d.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1003184882,,,,,1852870,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Hotpoint-Ariston,hotpoint-ariston,Холодильник вбудований Hotpoint-Ariston HAC20T321,,27216,1,https://comfy.ua/holodil-nik-vstraivaemyj-hotpoint-ariston-hac20t321.html,31499,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1003185058,,,,,.1852052,Смарт-часы и гаджеты >> Смарт-часы,globex,Смарт-годинник Globex Me3 Blue,,1599,1,https://comfy.ua/smart-chasy-globex-me3-blue.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1003185092,,,,,.1852050,Смарт-часы и гаджеты >> Смарт-часы,globex,Смарт-годинник Globex Me3 Gold,,1599,1,https://comfy.ua/smart-chasy-globex-me3-gold.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1003185107,7163947,AHEALTH,Зубная электрощетка AHEALTH SMART SONIC SMILE 1 white (AHsss1w),797,1852829,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки AHealth,ahealth,Зубна щітка електрична AHealth Smart Sonic Smile 1 white (AHsss1w),,799,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-ahealth-smart-sonic-smile-1-white-ahsss1w.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
