789674154,column,column,column,column,1746764,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,____merlion_hp_90w_19v_474_55x25_07197lhp901955x25,column,389,1,httpscomfyuazarjadnoeustrojstvodljanoutbukamerlionhp90w19v474a55x2507197lhp901955x25html,column,05112025_1906,column,__42,Фастів,0
789944934,6671517,BOSCH,Морозильная камера BOSCH GSN36VL30U,52599,1739002,Техника для кухни >> Крупная техника >> Морозильные камеры >> Морозильные камеры Bosch,bosch,Морозильна камера Bosch GSN36VL30U,,52599,1,https://comfy.ua/morozil-naja-kamera-bosch-gsn36vl30u.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
789946410,6667347,EPSON,МФУ струйное EPSON EcoTank L15160 Wi-Fi Black (C11CH71404),65869,.1746516,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",epson,БФП кольорового друку Epson L15160 c WI-FI (C11CH71404),,65869,1,https://comfy.ua/mfu-cvetnoj-pechati-epson-l15160-c-wi-fi-c11ch71404.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
789949182,,,,,.1733700,Игровые консоли и гейминг >> Комплектующие для игровых ПК,zalman,Корпус Zalman ZM-N5 MF Black без БП,,2399,1,https://comfy.ua/korpus-zalman-zm-n5-mf-black-bez-bp.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
789949673,6757121,TEFAL,Термос-чайник TEFAL K3039212,1049,1748690,Посуда >> Для напитков >> Термопосуда >> Термопосуда Tefal,tefal,Термокувшин Tefal K3039212 Mambo 1.5 л,,1099,1,https://comfy.ua/termokuvshin-tefal-k3039212-mambo-1-5-l-red.html,1999,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
789949676,6768357,TEFAL,Термокувшин TEFAL Mambo 1.5 л White (K3036212),1099,1748686,Посуда >> Для напитков >> Термопосуда >> Термопосуда Tefal,tefal,Термокувшин Tefal K3036212 Mambo 1.5 л White,,1099,1,https://comfy.ua/termokuvshin-tefal-k3036212-mambo-1-5-l-white.html,1999,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
789950304,6963291,MAXMARK,Френч-пресс MAXMARK 600 мл (MK-F25-600),409,1748145,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Maxmark,maxmark,Френч-прес Maxmark MK-F25-600,,409,1,https://comfy.ua/french-press-maxmark-mk-f25-600.html,819,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
789950305,6963294,MAXMARK,Френч-пресс MAXMARK 1000 мл (MK-F25-1000),479,1748144,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Maxmark,maxmark,Френч-прес Maxmark MK-F25-1000,,479,1,https://comfy.ua/french-press-maxmark-mk-f25-1000.html,959,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
789950646,,,,,.1742606,Телевизоры и мультимедиа >> Аксессуары для ТВ,sonorous,Тумба для телевізора Sonorous NEO 110-B-SLV,,11749,1,https://comfy.ua/tumba-dlja-televizora-sonorous-neo-110-b-slv.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
789974550,,,,,1714944,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Bburago,bburago,Наземна спецтехніка Bburago Екскаватор New Holland W170D (18-32083),,695,1,https://comfy.ua/nazemnaja-spectehnika-bburago-jekskavator-new-holland-w170d-18-32083.html,,06.11.2025 1:30,,"вул. Соборна, 42",Фастів,0
789974559,,,,,1741212,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (5-7 років) Strateg бродилка """"В гостях у традицій"""", рус (30212)""",,105,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-5-7-let-strateg-brodilka-v-gostjah-u-tradicij-rus-30212.html,,06.11.2025 1:42,,"вул. Соборна, 42",Фастів,0
789974589,6660682,HANSA,Плита газовая HANSA FCGW63193,18249,1748139,Техника для кухни >> Крупная техника >> Плиты >> Плиты Hansa,hansa,Плита газова Hansa FCGW63193,,18249,1,https://comfy.ua/plita-gazovaja-hansa-fcgw63193.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
790026137,6578443,PATRIOT,SSD накопитель PATRIOT P300 512GB M.2 NVMe 3D TLC (P300P512GM28),2484,1715989,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Patriot",patriot,SSD-накопичувач внутрішній Patriot P300 512GB M.2 2280 PCIe NVMe 3.0 x4 TLC (P300P512GM28),,1899,1,https://comfy.ua/ssd-nakopitel-vnutrennij-patriot-p300-512gb-m-2-2280-pcie-nvme-3-0-x4-tlc-p300p512gm28.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
790026359,,,,,1746222,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",hama,"Хаб USB Hama 4 Ports USB 3.2, USB-C Black (00200116)",,635,1,https://comfy.ua/catalog/product/view/id/1957963,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
790049598,,,,,1613440,Техника для дома >> Крупная техника,indesit,Пральна машина Indesit OMTWE 71252 S EU,,14999,1,https://comfy.ua/catalog/product/view/id/1963293,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
790053926,,,,,1749922,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",zyxel,Коммутатор локальної мережі (Switch) Zyxel GS1100-24E (GS1100-24E-EU0103F),,3635,1,https://comfy.ua/catalog/product/view/id/1957343,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
790061071,6661507,HOTPOINT ARISTON,Встраиваемая посудомоечная машина HOTPOINT ARISTON HI 5010 C,15399,1749385,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Hotpoint-Ariston,hotpoint-ariston,Посудомийна машина вбудована Hotpoint-Ariston HI 5010 C,,15399,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-hotpoint-ariston-hi-5010-c.html,16499,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
790069246,,,,,1724762,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",lacie,Жорсткий диск зовнішній LaCie External 1big Dock (STHS16000800),,30959,1,https://comfy.ua/catalog/product/view/id/1959413,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
790070050,6710391,MELICA ORGANIC,Шампунь 2 в 1 Melica Organic от медвежонка 300 мл (4770416003310),172,1749348,"Детские товары >> Уход, купание и гигиена",melica,Гель для душа дитячий Melica 2 в 1 від Ведмедика 300 мл (4770416003310),,175,1,https://comfy.ua/catalog/product/view/id/1964983,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
790075467,6663745,JBL,Гарнитура JBL QUANTUM 50 Black (JBLQUANTUM50BLK),599,1749319,"Аудио, фото и видео >> Наушники",jbl,Навушники вкладиші дротові JBL Quantu 50 Black (JBLQUANTUM50BLK),,599,1,https://comfy.ua/catalog/product/view/id/1961823,699,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
790111915,6710391,MELICA ORGANIC,Шампунь 2 в 1 Melica Organic от медвежонка 300 мл (4770416003310),172,1749348,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Melica",melica,Гель для душа дитячий Melica 2 в 1 від Ведмедика 300 мл (4770416003310),,175,1,https://comfy.ua/gel-dlja-dusha-detskij-melica-2-v-1-ot-medvezhonka-300-ml-4770416003310.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
790142939,6901822,BAMBIK,Влажные салфетки BAMBIK с экстрактом липы 72 шт (4823071642865),62,1739022,Детские товары >> Подгузники и пеленание >> Влажные и сухие детские салфетки >> Влажные и сухие детские салфетки Bambik,bambik,"Вологі серветки для немовлят Bambik з екстрактом липи з клапаном, 72 шт. (43406000)",,63,1,https://comfy.ua/vlazhnye-salfetki-dlja-grudnichkov-bambik-s-jekstraktom-lipy-s-klapanom-72-sht-43406000.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
790142942,7018336,SUPERFRESH,Влажные салфетки SUPERFRESH Baby chamomile с клапаном 72 шт (4820048488044),41,1739056,Детские товары >> Подгузники и пеленание >> Влажные и сухие детские салфетки >> Влажные и сухие детские салфетки Superfresh,superfresh,"Серветки вологі для дітей Superfresh Baby chamomile з клапаном, 72 шт. (42110419)",,27,1,https://comfy.ua/salfetki-vlazhnye-dlja-detej-superfresh-baby-chamomile-s-klapanom-72-sht-42110419.html,41,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
790156173,,,,,1749922,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Zyxel",zyxel,Коммутатор локальної мережі (Switch) Zyxel GS1100-24E (GS1100-24E-EU0103F),,3635,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-zyxel-gs1100-24e-gs1100-24e-eu0103f.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
790177633,,,,,1724762,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",lacie,Жорсткий диск зовнішній LaCie External 1big Dock (STHS16000800),,30959,1,https://comfy.ua/zhestkij-disk-vneshnij-lacie-external-1big-dock-sths16000800.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
790207661,,,,,.1746222,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",hama,"Хаб USB Hama 4 Ports USB 3.2, USB-C Black (00200116)",,635,1,https://comfy.ua/hab-usb-hama-4-ports-usb-3-2-usb-c-black-00200116.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
790236572,,,,,1749919,Техника для кухни >> Крупная техника,aeg,Посудомийна машина вбудована AEG FSM31401Z,,16999,1,https://comfy.ua/catalog/product/view/id/1965403,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
790240907,6664406,REMINGTON,Выпрямитель REMINGTON S8901 Hydraluxe,2199,1749838,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Remington,remington,Вирівнювач волосся Remington S8901 Hydraluxe,,2199,1,https://comfy.ua/vyprjamitel-volos-remington-s8901-hydraluxe.html,2539,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
790246051,6682640,HP,Мышь HP Silent 280M Black (19U64AA),1059,1749304,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",hp,Миша бездротова HP 280 Silent Wireless Mouse (19U64AA),,999,1,https://comfy.ua/catalog/product/view/id/1961623,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
790246272,,,,,1743212,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки WASH&FREE,washfree,Засіб для чищення універсальний WASH & FREE 1 л,,71,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-wash-free-1-l.html,102,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
790246281,,,,,1743214,Бытовая химия >> Все для уборки,galax,Засіб для чищення унітазу GALAX Power Clean Свіжість Атлантики 750 мл,,69,1,https://comfy.ua/sredstvo-dlja-chistki-unitaza-galax-power-clean-svezhest-atlantiki-750-ml.html,107,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
790246282,6972397,GALAX,Универсальное средство Galax das PowerClean для мытья полов и стен 1100 г (4260637724458),98,1743219,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки GALAX,galax,"Засіб для чищення універсальний GALAX д/підлоги та стін Power Clean 1,1 л",,99,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-galax-d-pola-i-sten-power-clean-1-1-l.html,142,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
790246283,6972393,GALAX,Средство для мытья полов и стен Galax das PowerClean Океанская свежесть 1.1 л (4260637724236),90,1743217,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки GALAX,galax,"Засіб для чищення універсальний GALAX д/підлоги та стін Power Clean Свіжість океану 1,1 л",,99,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-galax-d-pola-i-sten-power-clean-svezhest-okeana-1-1-l.html,142,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
790246439,6578298,FIFINE,Микрофон FIFINE T669 USB Microphone Black,2499,1750472,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны Fifine",fifine,Мікрофон до комп'ютера Fifine T669,,2499,1,https://comfy.ua/mikrofon-dlja-komp-jutera-provodnoj-fifine-t669.html,3499,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
790246543,6658732,GAMEPRO,Мышь GAMEPRO Phoenix GM543,599,1750473,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные GamePro",gamepro,Миша дротова ігрова GamePro Phoenix (GM543),,599,1,https://comfy.ua/mysh-provodnaja-igrovaja-gamepro-phoenix-gm543.html,749,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
790249461,6551859,KINGSTON,SSD накопитель KINGSTON KC600 1TB SATAIII 3D NAND (SKC600/1024G),6007,1749428,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Kingston",kingston,"""SSD-накопичувач внутрішній Kingston KC600 1 TB 2.5"""" SATAIII 3D NAND TLC (SKC600/1024G)""",,4909,1,https://comfy.ua/ssd-nakopitel-vnutrennij-kingston-kc600-1-tb-2-5-sataiii-3d-nand-tlc-skc600-1024g.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
790249462,6919452,KINGSTON,SSD накопитель KINGSTON KC600 2TB SATAIII (SKC600/2048G),9089,1749438,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Kingston",kingston,"""SSD-накопичувач внутрішній Kingston KC600 2 TB 2.5"""" SATAIII 3D NAND TLC (SKC600/2048G)""",,9089,1,https://comfy.ua/ssd-nakopitel-vnutrennij-kingston-kc600-2-tb-2-5-sataiii-3d-nand-tlc-skc600-2048g.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
790250328,,,,,.1741269,Детские товары >> Игрушки,strateg,"Настільна гра (8+) Strateg BusinessMen, англ (30515)",,679,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-8-strateg-businessmen-angl-30515.html,,06.11.2025 1:15,,"вул. Соборна, 42",Фастів,0
790262257,,,,,.1745328,"Детские товары >> Уход, купание и гигиена",canpol-babies,Вушні палички дитячі Canpol babies 200 шт. (3/114),,99,1,https://comfy.ua/ushnye-palochki-detskie-canpol-babies-200-sht-3-114.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
790262258,,,,,1745321,"Детские товары >> Уход, купание и гигиена",canpol-babies,Вушні палички дитячі Canpol babies 56 шт. (3/111),,105,1,https://comfy.ua/ushnye-palochki-detskie-canpol-babies-56-sht-3-111.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
790262259,,,,,1745886,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Lovi,lovi,"Симетрична пустушка Lovi Botanic Botanic для хлопчика силіконова, 2 шт. (22/871boy)",,399,1,https://comfy.ua/simmetrichnaja-pustyshka-lovi-botanic-dlja-mal-chika-silikonovaja-2-sht-22-871boy.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
