1656559852,6545450,menalux,____menalux_cfp4_100__900256314,219,1834642,_________________menalux,menalux,___menalux_cfp_4_100_,column,219,1,httpscomfyuafiltrdljakofevarkimenaluxcfp4100shthtml,column,05112025_1725,column,__42,Фастів,0
1656779890,,,,,2864421,Comfy KIDS >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Britax-Romer,britax-romer,Платформа для автокрісел Britax-Romer VARIO BASE 5Z,,13980,1,https://comfy.ua/platforma-dlja-avtokresel-britax-romer-vario-base-5z.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1656780789,6926623,BOSCH,Электролобзик BOSCH GST 185-LI (0.601.5B3.023),9990,2744983,Инструменты и автотовары >> Электроинструменты >> Электролобзики >> Электролобзики Bosch,bosch,Електролобзик Bosch GST 185-LI (0.601.5B3.023),,9989,1,https://comfy.ua/jelektrolobzik-bosch-gst-185-li-0-601-5b3-023.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1656788012,,,,,.2832304,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Веб-камера для комп'ютера A4tech PK-825P,,949,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-a4tech-pk-825p.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1656802449,,,,,2832840,Бытовая химия >> Средства для стирки >> Средства для отбеливания и удаления пятен >> Средства для отбеливания и удаления пятен Helper,helper,Засіб для видалення плям Helper Prof OXY OXY 1000 г,,93,1,https://comfy.ua/sredstvo-dlja-udalenija-pjaten-helper-prof-oxy-oxy-1000-g.html,110,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1656802457,,,,,2832815,Бытовая химия >> Средства для стирки,resq,Засіб для видалення плям RESQ концентрований 1 л,,275,1,https://comfy.ua/sredstvo-dlja-udalenija-pjaten-resq-koncentrirovannyj-1-l.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1656811646,,,,,.2855506,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asrock,Материнська плата ASRock H510M-H2/M.2 SE DDR4,,2655,1,https://comfy.ua/materinskaja-plata-asrock-h510m-h2-m-2-se-ddr4.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1656811769,,,,,.2825982,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRIME A520M-A II/CSM DDR4,,3065,1,https://comfy.ua/materinskaja-plata-asus-rime-a520m-a-ii-csm-ddr4.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1656812561,,,,,.2866355,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRIME B760M-PLUS DDR5,,6129,1,https://comfy.ua/materinskaja-plata-asus-prime-b760m-plus-ddr5.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1656812611,,,,,.2826115,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gigabyte,Материнська плата Gigabyte B650 AORUS ELITE AX ICE DDR5,,9735,1,https://comfy.ua/materinskaja-plata-gigabyte-b650-aorus-elite-ax-ice-ddr5.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1656814213,6926472,CELLFAST,Вилы CELLFAST IDEAL 128 см (40-221),865,2537416,"Инструменты и автотовары >> Садовые инструменты >> Лопаты, грабли, вилы >> Лопаты, грабли, вилы Cellfast",cellfast,Вила Cellfast Ideal (40-221),,949,1,https://comfy.ua/vila-cellfast-ideal-40-221.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1656817073,,,,,2832828,Бытовая химия >> Все для уборки,helper,Засіб для видалення жиру Helper Helper Prof засіб антижир 500 мл,,66,1,https://comfy.ua/sredstvo-dlja-udalenija-zhira-helper-helper-prof-sredstvo-antizhir-500-ml.html,79,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1656817075,,,,,.2832814,Бытовая химия >> Все для уборки,balance,Засіб для видалення жиру BALANCE д/чищення кухні  з розпилювачем 450 мл,,160,1,https://comfy.ua/sredstvo-dlja-udalenija-zhira-balance-d-chistka-kuhni-s-raspylitelem-450-ml.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
1656849649,6966652,LIEBHERR,Холодильник LIEBHERR CUe 3331,20849,2869173,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Liebherr,liebherr,Холодильник Liebherr CUe 3331,,20849,1,https://comfy.ua/holodil-nik-liebherr-cue-3331.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1656851077,,,,,2712503,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Weilor,weilor,Витяжка декоративна Weilor WK 63 FBL,,3399,1,https://comfy.ua/vytjazhka-dekorativnaja-weilor-wk-63-fbl.html,3999,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1656851079,,,,,2712504,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Weilor,weilor,Витяжка декоративна Weilor WK 63 WH,,3399,1,https://comfy.ua/vytjazhka-dekorativnaja-weilor-wk-63-wh.html,3999,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
1656852206,,,,,2712507,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Weilor,weilor,Витяжка декоративна Weilor WK 65 WH,,4399,1,https://comfy.ua/vytjazhka-dekorativnaja-weilor-wk-65-wh.html,4999,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1656852207,,,,,2712505,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Weilor,weilor,Витяжка декоративна Weilor WK 65 SS,,4399,1,https://comfy.ua/vytjazhka-dekorativnaja-weilor-wk-65-ss.html,4999,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1656852208,,,,,2712506,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Weilor,weilor,Витяжка декоративна Weilor WK 65 FBL,,4399,1,https://comfy.ua/vytjazhka-dekorativnaja-weilor-wk-65-fbl.html,4999,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
