1408912477,column,column,column,column,2148872,"Дом, отдых и зоотовары >> Текстиль",lionelo,___lionelo_bamboo_blanket_pink,column,1199,1,httpscomfyuapleddetskijletolionelobambooblanketpinkhtml,column,05112025_1931,column,__42,Фастів,0
1409288009,6842111,MIDEA,Холодильник MIDEA MDRB424FGF01I,16999,2161551,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Midea,midea,Холодильник Midea MDRB424FGF01I,,16999,1,https://comfy.ua/holodil-nik-midea-mdrb424fgf01i.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1409288652,7119772,HOLMER,Миксер HOLMER HHM-14,399,2154221,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Holmer,holmer,Міксер Holmer HHM-14,,399,1,https://comfy.ua/mikser-holmer-hhm-14.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1409288653,7119771,HOLMER,Миксер HOLMER HHM-40,449,2154223,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Holmer,holmer,Міксер Holmer HHM-40,,459,1,https://comfy.ua/mikser-holmer-hhm-40.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
1409288654,7006112,EISEN,Миксер EISEN EHM-05B,599,2154216,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры EISEN,eisen,Міксер EISEN EHM-05B,,459,1,https://comfy.ua/mikser-eisen-ehm-05b.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1409288655,7119770,EISEN,Миксер EISEN EHM-145,479,2154217,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры EISEN,eisen,Міксер EISEN EHM-145,,479,1,https://comfy.ua/mikser-eisen-ehm-145.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1409290256,6942586,SENCOR,Метеостанция SENCOR SWS25WS,599,2146398,Техника для дома >> Климатическая техника >> Метеостанции >> Метеостанции Sencor,sencor,Метеостанція Sencor SWS25WS,,599,1,https://comfy.ua/meteostancija-sencor-sws25ws.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1409290257,6926649,SENCOR,Метеостанция SENCOR SWS1918 Silver,499,2146397,Техника для дома >> Климатическая техника >> Метеостанции >> Метеостанции Sencor,sencor,Метеостанція Sencor SWS1918,,499,1,https://comfy.ua/meteostancija-sencor-sws1918.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1409290258,6926650,SENCOR,Метеостанция SENCOR SWS1500B Black,399,2146395,Техника для дома >> Климатическая техника >> Метеостанции >> Метеостанции Sencor,sencor,Метеостанція Sencor SWS1500B,,399,1,https://comfy.ua/meteostancija-sencor-sws1500b.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1409290259,6926648,SENCOR,Метеостанция SENCOR SWS1500W White,399,2146396,Техника для дома >> Климатическая техника >> Метеостанции >> Метеостанции Sencor,sencor,Метеостанція Sencor SWS1500W,,399,1,https://comfy.ua/meteostancija-sencor-sws1500w.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1409290260,6934828,SENCOR,Метеостанция SENCOR SWS5270,1999,2146399,Техника для дома >> Климатическая техника >> Метеостанции >> Метеостанции Sencor,sencor,Метеостанція Sencor SWS5270,,1999,1,https://comfy.ua/meteostancija-sencor-sws5270.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1409290261,6942592,SENCOR,Метеостанция SENCOR SWS9700,5699,2146404,Техника для дома >> Климатическая техника >> Метеостанции >> Метеостанции Sencor,sencor,Метеостанція Sencor SWS9700,,5699,1,https://comfy.ua/meteostancija-sencor-sws9700.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1409290262,6942590,SENCOR,Метеостанция SENCOR SWS12500WIFI,9799,2146394,Техника для дома >> Климатическая техника >> Метеостанции >> Метеостанции Sencor,sencor,Метеостанція Sencor SWS12500WIFI,,9799,1,https://comfy.ua/meteostancija-sencor-sws12500wifi.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
