1086383711,column,column,column,column,1903670,comfy_kids_____________madpax,madpax,__madpax_metallic_extreme_half_knight_rider_mmetkrhalf,column,3599,1,httpscomfyuarjukzakshkolnyjmadpaxmetallicextremehalfknightridermmetkrhalfhtml,column,05112025_2113,column,__42,Фастів,0
1086630211,6999594,WELL DONE,Сковорода для блинов Well Done MarbleStone 24 см Grey (WD-1064A),339,1892341,Посуда >> Для приготовления >> Сковороды >> Сковороды Well Done,well-done,Сковорода для млинців Well Done WD-1064А 24 см,,339,1,https://comfy.ua/skovoroda-dlja-blinov-well-done-wd-1064a-24-sm.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1086630271,,,,,1892327,Посуда >> Для приготовления >> Сковороды >> Сковороды Well Done,well-done,Сковорода універсальна Well Done WD-1016B 26 см,,405,1,https://comfy.ua/skovoroda-universal-naja-well-done-wd-1016b-26-sm.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1086630273,,,,,1892330,Посуда >> Для приготовления,well-done,Сковорода універсальна Well Done WD-1018W 28 см,,439,1,https://comfy.ua/skovoroda-universal-naja-well-done-wd-1018w-28-sm.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1086630490,6774211,COLOR WAY,Светодиодная гирлянда COLORWAY Smart LED RGB WiFi+Bluetooth 60 LED (IP65) 10 м Multicolored (CW-GS-60L10UMC),1305,1882842,"Дом, отдых и зоотовары >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Colorway",colorway,Гірлянда лінійна Colorway 60LED 10 m WiFi Bluetooth (CW-GS-60L10UMC),,1305,1,https://comfy.ua/girljanda-linejnaja-colorway-60led-10-m-wifi-bluetooth-cw-gs-60l10umc.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1086631127,6873445,WELL DONE,Сковорода Well Done с антипригарным покрытием Marble Stone 26 см (WD-1036N),679,1892334,Посуда >> Для приготовления >> Сковороды >> Сковороды Well Done,well-done,Сковорода універсальна Well Done WD-1036N 26 см,,589,1,https://comfy.ua/skovoroda-universal-naja-well-done-wd-1036n-26-sm.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1086669499,6842222,SEAGATE,Внешний жесткий диск SEAGATE 4TB USB 3.0 Expansion Black (STKM4000400),5960,1898258,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Жесткие диски и аксессуары >> Жесткие диски и аксессуары Seagate",seagate,Жорсткий диск зовнішній Seagate Expansion 4TB Black (STKM4000400),,5109,1,https://comfy.ua/zhestkij-disk-vneshnij-seagate-expansion-4tb-black-stkm4000400.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1086778483,,,,,1773533,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Liebherr,liebherr,Холодильник вбудований Liebherr ICe 5103,,42799,1,https://comfy.ua/holodil-nik-vstraivaemyj-liebherr-ice-5103.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1086778515,6774062,BAMIX,Блендер BAMIX DeLux M200 Anthracite,12855,1904318,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Bamix,bamix,Блендер заглибний Bamix DeLux M200 Anthracite (1010.056),,12855,1,https://comfy.ua/blender-pogruzhnoj-bamix-delux-m200-anthracite-1010-056.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1086779489,,,,,1905314,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,Колекційна фігурка FUNKO POP! Harry Potter Dobby 6561 (FUN1266),,845,1,https://comfy.ua/kollekcionnaja-figurka-funko-pop-harry-potter-dobby-6561-fun1266.html,,06.11.2025 1:17,,"вул. Соборна, 42",Фастів,0
1086779542,6774063,BAMIX,Блендер BAMIX SwissLine М200 Anthracite (1000.023),16355,1904315,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Bamix,bamix,Блендер заглибний Bamix Swiss Line М200 Anthracite (1000.023),,16355,1,https://comfy.ua/blender-pogruzhnoj-bamix-swiss-line-m200-anthracite-1000-023.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1086779630,6792352,BOSCH,Пылесос BOSCH BGS41POW2,11999,1877336,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Bosch,bosch,Пилосос для сухого прибирання без мішка Bosch BGS41POW2,,11999,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-kontejnerom-i-meshkom-bosch-bgs41pow2.html,18499,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1086779631,6774058,BAMIX,Блендер BAMIX Mono M200 White (1020.021),8249,1904319,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Bamix,bamix,Блендер заглибний Bamix Mono M200 White (1020.021),,10999,1,https://comfy.ua/blender-pogruzhnoj-bamix-mono-m200-white-1020-021.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1086779668,,,,,1905315,Comfy KIDS >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,Колекційна фігурка FUNKO POP! Harry Potter Albus Dumbledore 5863 (FUN1267),,845,1,https://comfy.ua/kollekcionnaja-figurka-funko-pop-harry-potter-albus-dumbledore-5863-fun1267.html,,06.11.2025 1:17,,"вул. Соборна, 42",Фастів,0
1086779753,6774059,BAMIX,Блендер BAMIX Mono M200 Red (1020.023),10999,1904320,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Bamix,bamix,Блендер заглибний Bamix Mono M200 Red (1020.023),,10999,1,https://comfy.ua/blender-pogruzhnoj-bamix-mono-m200-red-1020-023.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1086779820,6781030,2E,Портативная акустика 2E SoundXPod TWS Red (2E-BSSXPWRD),899,1905521,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки 2E",2e,Портативна акустика 2E SoundXPod TWS MP3 Wireless Waterproof Red (2E-BSSXPWRD),,899,1,https://comfy.ua/portativnaja-akustika-2e-soundxpod-tws-mp3-wireless-waterproof-red-2e-bssxpwrd.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1086779885,6774057,BAMIX,Блендер BAMIX Mono M200 Cream (1020.024),10999,1904321,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Bamix,bamix,Блендер заглибний Bamix Mono M200 Cream (1020.024),,10999,1,https://comfy.ua/blender-pogruzhnoj-bamix-mono-m200-cream-1020-023.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1086780052,6774060,BAMIX,Блендер BAMIX DeLux M200 Red,12855,1904316,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Bamix,bamix,Блендер заглибний Bamix DeLux M200 Red (1010.053),,12855,1,https://comfy.ua/blender-pogruzhnoj-bamix-delux-m200-red-1010-053.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1086788769,,,,,1856434,Посуда >> Нарезка и измельчение,tescoma,Набір ножів tescoma 884850 Feelwood 5 шт.,,8999,1,https://comfy.ua/catalog/product/view/id/3269323,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
1087881342,6740306,BEURER,Набор для маникюра и педикюра BEURER MP 64,5957,1858628,Красота и здоровье >> Уход за телом >> Маникюрные наборы >> Маникюрные наборы Beurer,beurer,Манікюрний набір апаратний Beurer MP 64,,5959,1,https://comfy.ua/manikjurnyj-nabor-apparatnyj-beurer-mp-64.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1088039898,6774190,COLOR WAY,Светодиодная гирлянда COLOR WAY 50 LED 8 функций 5 м Разноцветная (CW-G-50L5VMC),229,1882851,"Дом, отдых и зоотовары >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Colorway",colorway,Гірлянда лінійна Colorway 50LED 5 m (CW-G-50L5VMC),,229,1,https://comfy.ua/girljanda-linejnaja-colorway-50led-5-m-cw-g-50l5vmc.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1088040188,6774193,COLOR WAY,Светодиодная гирлянда COLOR WAY Бахрома 100 LED (IP20) 3 м x 0.6 м Разноцветная (CW-GF-100L36VMC),399,1885040,"Дом, отдых и зоотовары >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Colorway",colorway,Гірлянда лінійна Colorway 3мx0.6 м 100Led IP20 (CW-GF-100L36VMC),,399,1,https://comfy.ua/girljanda-linejnaja-colorway-3mx0-6-m-100led-ip20-cw-gf-100l36vmc.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1088043202,6774206,COLOR WAY,Светодиодная гирлянда COLORWAY 300LED 3 х 3 м Blue (CW-GW-300L33VWFBL),899,1882844,"Дом, отдых и зоотовары >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Colorway",colorway,Гірлянда-штора Colorway 300LED 3 m 220V (CW-GW-300L33VWFBL),,699,1,https://comfy.ua/girljanda-shtora-colorway-300led-3-m-220v-cw-gw-300l33vwfbl.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1088043542,6774199,COLOR WAY,Светодиодная гирлянда COLORWAY 100LED 10 м Blue (CW-GO-100L10BL),1199,1882848,"Дом, отдых и зоотовары >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Colorway",colorway,Гірлянда лінійна Colorway 10 m 100Led IP65 (CW-GO-100L10BL),,1079,1,https://comfy.ua/girljanda-linejnaja-colorway-10-m-100led-ip65-cw-go-100l10bl.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1088043711,6774200,COLOR WAY,Светодиодная гирлянда COLORWAY 100LED 10 м Warm White (CW-GO-100L10WW),1199,1882846,"Дом, отдых и зоотовары >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Colorway",colorway,Гірлянда лінійна Colorway 10 m 100Led IP65 (CW-GO-100L10WW),,1079,1,https://comfy.ua/girljanda-linejnaja-colorway-10-m-100led-ip65-cw-go-100l10ww.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1088043906,6774194,COLOR WAY,Светодиодная гирлянда COLORWAY Бахрома 192LED 6 x 0.6 м Cold White (CW-GOF-192L66VCW),999,1885046,"Дом, отдых и зоотовары >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Colorway",colorway,Гірлянда лінійна Colorway 6мx0.6 м 192Led IP44 (CW-GOF-192L66VCW),,999,1,https://comfy.ua/girljanda-linejnaja-colorway-6mx0-6-m-192led-ip44-cw-gof-192l66vcw.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1088049021,6785423,DRAZICE,Бойлер DRAZICE OKHE 125 SMART,27929,1462875,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Drazice,drazice,Водонагрівач Drazice OKHE 125 Smart,,27929,1,https://comfy.ua/vodonagrevatel-protochnyj-drazice-okhe-125-smart.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1088068093,6860479,WELL DONE,Термос WELL DONE WD-7025G 500 мл,358,1893355,Посуда >> Для напитков >> Термопосуда >> Термопосуда Well Done,well-done,Термос Well Done 500 мл (WD-7025G),,380,1,https://comfy.ua/termos-well-done-500-ml-wd-7025g.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1088068094,6860480,WELL DONE,Термос WELL DONE WD-7025P 500 мл,358,1893356,Посуда >> Для напитков >> Термопосуда >> Термопосуда Well Done,well-done,Термос Well Done 500 мл (WD-7025P),,358,1,https://comfy.ua/termos-well-done-500-ml-wd-7025p.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1088068096,6860485,WELL DONE,Термокружка WELL DONE WD-7084Y 480 мл Yellow,355,1892343,Посуда >> Для напитков >> Термопосуда >> Термопосуда Well Done,well-done,Термочашка Well Done WD-7084Y 480 мл Yellow,,355,1,https://comfy.ua/termokruzhka-well-done-wd-7084y-480-ml-yellow.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
