1259645799,,,,,1988527,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры A4tech",a4tech,Клавіатура + миша бездротова A4tech FG1012 White USB,,949,1,https://comfy.ua/klaviatura-mysh-besprovodnaja-a4tech-fg1012-white-usb.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1259646490,7041449,TOLSEN,Киянка TOLSEN 675 г (25037),166,1884069,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Tolsen",tolsen,Киянка Tolsen 675 г (25037),,205,1,https://comfy.ua/kijanka-tolsen-675-g-25037.html,,05.11.2025 22:54,,"вул. Соборна, 42",Фастів,0
1259647351,6803204,A4TECH,Мышь A4TECH FB10C Ash Blue,599,1987938,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные A4tech",a4tech,Миша бездротова A4tech FB10C Ash Blue USB,,599,1,https://comfy.ua/mysh-besprovodnaja-a4tech-fb10c-ash-blue-usb.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1259647353,,,,,1987940,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные A4tech",a4tech,Миша бездротова A4tech FB10C Matcha Green USB,,599,1,https://comfy.ua/mysh-besprovodnaja-a4tech-fb10c-matcha-green-usb.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1259647769,6806857,ELECTROLUX,Пылесос ELECTROLUX EL61C3DB,6114,1975859,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Electrolux,electrolux,Пилосос для сухого прибирання без мішка Electrolux EL61C3DB,,6599,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-electrolux-el61c3db.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1259647784,6799319,KARCHER,Пылесос KARCHER WD 5 V-25/6/22 YYY (1.628-300.0),7499,1969466,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Karcher,karcher,Пилосос для сухого прибирання з мішком Karcher WD 5 V-25/5/22 (1.628-300.0),,7499,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-karcher-wd-5-v-25-5-22-1-628-300-0.html,8299,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1259647809,,,,,.1990843,Детские товары >> Игрушки,hasbro,Настільна гра (5-7 років) Hasbro Кроко Дантист (E4898),,1415,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-5-7-let-hasbro-kroko-dantist-e4898.html,,06.11.2025 0:31,,"вул. Соборна, 42",Фастів,0
1259659788,6790440,REMINGTON,Триммер REMINGTON NE7000 E51,1299,1980327,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Remington,remington,Тример для вусів і бороди Remington T-Series (NE7000),,1299,1,https://comfy.ua/trimmer-dlja-usov-i-borody-remington-t-series-ne7000.html,1589,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1259671579,6790435,REMINGTON,Триммер REMINGTON MB4047 E51,2107,1980940,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Remington,remington,Тример для вусів і бороди Remington MB4047,,2499,1,https://comfy.ua/trimmer-dlja-usov-i-borody-remington-mb4047.html,2899,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1259672113,,,,,.1973986,Инструменты и автотовары >> Расходные материалы,irwin,Полотно IRWIN Recips IRW-T956RVB-INTL (10506430),,309,1,https://comfy.ua/polotno-irwin-recips-irw-t956rvb-intl-10506430.html,,05.11.2025 22:13,,"вул. Соборна, 42",Фастів,0
1259672117,,,,,.1973987,Инструменты и автотовары >> Расходные материалы,irwin,Полотно IRWIN 800RG 200 мм Grit (10507365),,879,1,https://comfy.ua/polotno-irwin-800rg-200-mm-grit-10507365.html,,05.11.2025 22:13,,"вул. Соборна, 42",Фастів,0
1259685242,6663661,KARCHER,Круглая щетка для пароочистителя KARCHER (2.863-022.0),559,1942658,Техника для дома >> Аксессуары к мелкой технике >> Насадки для пароочистителей >> Насадки для пароочистителей Karcher,karcher,Щітка для пароочисника Karcher для SC 1-5 (2.863-022.0),,559,1,https://comfy.ua/schetka-dlja-paroochistitelja-karcher-dlja-sc-1-5-2-863-022-0.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1259721506,6793754,PANASONIC,Музыкальный центр PANASONIC SC-PMX802EES,29999,1978529,"Аудио, фото и видео >> Акустика >> Музыкальные центры >> Музыкальные центры Panasonic",panasonic,Мікро-система Panasonic SC-PMX802EES,,29999,1,https://comfy.ua/mikro-sistema-panasonic-sc-pmx802ees.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1259721687,,,,,1982722,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели Promate,promate,Тримач для мобільного пристрою Promate Airgrip-2 Maroon,,399,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-promate-airgrip-2-maroon.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1259725916,7138183,XOKO,Вентилятор XOKO F041/ Fan XOKO F041 (XK-F041),189,1732861,Игровые консоли и гейминг >> Комплектующие для игровых ПК,xilence,Корпусний вентилятор Xilence XPF92.R.PWM (XF041) Black/Red,,189,1,https://comfy.ua/ventiljator-dlja-noutbuka-xilence-xpf92-r-pwm-xf041-black-red.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1259738187,6626066,HAISSER,Отвертка HAISSER 49120 S2 PH0x75 мм (94785),59,1983502,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Haisser,haisser,Викрутка Haisser S2 PH0x75 мм (49120),,81,1,https://comfy.ua/otvertka-haisser-s2-ph0x75-mm-49120.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
1259738188,6626072,HAISSER,Отвертка HAISSER 49126 S2 SL3x75 мм (94802),82,1983504,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Haisser,haisser,Викрутка Haisser S2 SL3x75 мм (49126),,82,1,https://comfy.ua/otvertka-haisser-s2-sl3x75-mm-49126.html,,05.11.2025 22:41,,"вул. Соборна, 42",Фастів,0
