1649072872,6947115,RAZER,Гарнитура RAZER Blackshark V2 HyperSpeed (RZ04-04960100-R3M1),6999,2817302,"Аудио, фото и видео >> Наушники >> Наушники Razer",razer,Гарнітура бездротова ігрова Razer Blackshark V2 HyperSpeed Wireless Вlack (RZ04-04960100-R3M1),,6999,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-razer-blackshark-v2-hyperspeed-wireless-vlack-rz04-04960100-r3m1.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1649079254,,,,,.2817129,Техника для кухни >> Крупная техника,faber,Витяжка вбудована Faber Inka Plus Hcs A70 Black,,9099,1,https://comfy.ua/vytjazhka-vstraivaemaja-faber-inka-ich-ss-a52-i-smart-hcs-black.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1649083747,6934662,TRANSCEND,Внешний SSD накопитель Transcend ESD270C 2TB USB 3.1 Type-C 3D NAND TLC (TS2TESD270C),7858,2781249,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Transcend",transcend,SSD-накопичувач зовнішній Transcend 2TB USB 3.1 Gen 2 Type-C ESD270C (TS2TESD270C),,6239,1,https://comfy.ua/ssd-nakopitel-vneshnij-transcend-2tb-usb-3-1-gen-2-type-c-esd270c-ts2tesd270c.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1649089313,6970314,EINHELL,Перфоратор EINHELL TP-HD 18/26 Li BL - Solo (4514265),9329,2796682,Инструменты и автотовары >> Электроинструменты >> Перфораторы >> Перфораторы Einhell,einhell,Перфоратор Einhell TP-HD 18/26LI BL - Solo без АКБ та ЗП (4514265),,9329,1,https://comfy.ua/perforator-einhell-tp-hd-18-26li-bl-solo-bez-akb-i-zu-4514265.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1649089860,6985997,BOSCH,Перфоратор BOSCH GBH 187-LI SDS-plus 18В без АКБ та ЗП (0.611.923.120),12282,2796642,Инструменты и автотовары >> Электроинструменты >> Перфораторы >> Перфораторы Bosch,bosch,Перфоратор Bosch GBH 187-LI без АКБ та ЗП (0.611.923.120),,12285,1,https://comfy.ua/perforator-bosch-gbh-187-li-bez-akb-i-zu-0-611-923-120.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1649089861,6985996,BOSCH,Перфоратор BOSCH GBH 187-LI SDS-Plus (0.611.923.021),20388,2796641,Инструменты и автотовары >> Электроинструменты >> Перфораторы >> Перфораторы Bosch,bosch,Перфоратор Bosch GBH 187-LI (0.611.923.021),,20389,1,https://comfy.ua/perforator-bosch-gbh-187-li-0-611-923-021.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1649090344,5639184,ROWENTA,Дорожный утюг ROWENTA DA1510,1649,.912575,Техника для дома >> Мелкая техника,rowenta,Праска дорожня Rowenta DA1510 (F2),,1699,1,https://comfy.ua/utjug-dorozhnyj-rowenta-da1510f1.html,2099,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1649097749,6244082,GRUNHELM,Тепловая пушка GRUNHELM GGH-15 (30367),3451,2817407,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Grunhelm,grunhelm,Газовий обігрівач Grunhelm GGH-15,,3451,1,https://comfy.ua/teplovaja-pushka-grunhelm-ggh-15.html,4525,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1649097750,,,,,.2817408,Техника для дома >> Климатическая техника,grunhelm,Газовий обігрівач Grunhelm GGH-30,,4336,1,https://comfy.ua/teplovaja-pushka-grunhelm-ggh-30.html,5925,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1649097787,,,,,.2817409,Техника для дома >> Климатическая техника,grunhelm,Газовий обігрівач Grunhelm GGH-50,,5015,1,https://comfy.ua/teplovaja-pushka-grunhelm-ggh-50.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1649097915,,,,,.2781016,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Oukitel RT6 (ARM72548),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-oukitel-rt6-arm72548.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1649097916,,,,,.2780507,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart Anti-Blue for Oscal Pad 70 (ARM70001),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-oscal-pad-70-arm70001.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
1649097917,,,,,.2780502,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Huawei MatePad 11 (2023) (ARM69461),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-huawei-matepad-11-2023-arm69461.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
1649097918,,,,,.2781017,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Oukitel RT5 (ARM72549),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-oukitel-rt5-arm72549.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1649097919,,,,,.2780500,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Pixus Hammer (ARM69330),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-pixus-hammer-arm69330.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
1649097920,,,,,.2780504,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Teclast P30 Air / P40 HD 10.1 (ARM69466),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-teclast-p30-air-p40-hd-10-1-arm69466.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
1649097921,,,,,.2780127,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Oukitel RT2 (ARM68194),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-for-oukitel-rt2-arm68194.html,,05.11.2025 22:24,,"вул. Соборна, 42",Фастів,0
1649097922,,,,,.2780503,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart Matte for Huawei MatePad 11 (2023) (ARM69462),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-matte-for-huawei-matepad-11-2023-arm69462.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
1649099776,,,,,.2818564,Техника для кухни >> Крупная техника,electrolux,Посудомийна машина вбудована Electrolux EEZ69410W,,34899,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-electrolux-eez69410w.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1649116273,,,,,.2800143,Смартфоны и телефоны >> Аксессуары для смартфонов,4smarts,Батарея мобільна 4smarts VoltHub Pro 26800 mAh,,1999,1,https://comfy.ua/batareja-mobil-naja-4smarts-volthub-pro-26800-mah.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
