809446120,column,column,column,column,1774208,____________smeg,smeg,__smeg_klf03whmeu,column,9549,1,httpscomfyuajelektricheskijchajniksmegklf03whmeuhtml,column,05112025_2009,column,__42,Фастів,0
809648570,6677792,TP-LINK,Wi-Fi роутер TP-LINK Archer AX73,5299,1775718,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет TP-Link",tp-link,Маршрутизатор інтернет WiFi6 TP-Link Archer AX73,,5299,1,https://comfy.ua/marshrutizator-internet-wifi6-tp-link-archer-ax73.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
809687632,6673580,PHILIPS,Утюг с парогенератором PHILIPS GC7846/80,7999,1773378,Техника для дома >> Мелкая техника >> Утюги >> Утюги Philips,philips,Праска з парогенератором Philips GC7846/80,,7999,1,https://comfy.ua/utjug-s-parogeneratorom-philips-gc7846-80.html,9999,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
809715554,6639282,PHILIPS,Увлажняющий фильтр PHILIPS FY3446/30,1099,1738688,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Philips,philips,Фільтр до зволожувача повітря Philips FY3446/30,,1199,1,https://comfy.ua/fil-tr-dlja-uvlazhnitelja-vozduha-philips-fy3446-30.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
809743954,6509550,LG,Микроволновая печь LG MS2042DARB,4799,1770873,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи LG,lg,Мікрохвильова піч (НВЧ) LG MS2042DARB,,4599,1,https://comfy.ua/mikrovolnovaja-pech-svch-lg-ms2042darb.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
809743960,7036189,SKARB MATKI,Крем для ягодиц с первых дней жизни SKARB MATKI Здоровая Попка 90 мл (1942),245,1776816,Детские товары >> Подгузники и пеленание >> Присыпки и кремы под подгузники >> Присыпки и кремы под подгузники Skarb Matki,skarb-matki,Крем під підгузок Skarb Matki Здорова Попка 90 мл. (1942),,259,1,https://comfy.ua/krem-pod-podguznik-skarb-matki-zdorovaja-popka-90-ml-1942.html,289,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
809743962,7036190,SKARB MATKI,Защитный крем SKARB MATKI для младенцев и детей 75 мл (1906),169,1776815,Детские товары >> Подгузники и пеленание >> Присыпки и кремы под подгузники >> Присыпки и кремы под подгузники Skarb Matki,skarb-matki,Крем під підгузок Skarb Matki захисний 75 мл. (1906),,179,1,https://comfy.ua/krem-pod-podguznik-skarb-matki-zaschitnyj-75-ml-1906.html,199,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
809743967,7036176,SKARB MATKI,Мыло 3 в 1 SKARB MATKI с запахом желейок 250 мл (1950),179,1776782,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Skarb Matki",skarb-matki,Мило рідке дитяче Skarb Matki 3 в 1 з запахом желейок 250 мл. (1950),,208,1,https://comfy.ua/mylo-zhidkoe-detskoe-skarb-matki-3-v-1-s-zapahom-zhelejok-250-ml-1950.html,229,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
809743980,,,,,1759215,Comfy KIDS >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Peg-Perego,peg-perego,Автокрісло Peg-Perego Viaggio FF105 Ebony (темно-сіре),,4499,1,https://comfy.ua/avtokreslo-peg-perego-viaggio-ff105-ebony-temno-seroe.html,5657,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
809743992,,,,,1759223,Детские товары >> Кормление,peg-perego,Стільчик-качалка для годування Peg-Perego Tatamia Follow Me Wonder Grey (пятноустройчивый серый),,14489,1,https://comfy.ua/stul-chik-kachalka-dlja-kormlenija-peg-perego-tatamia-follow-me-wonder-grey-pjatnoustrojchivyj-seryj.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
809744005,,,,,.1759228,Детские товары >> Кормление,peg-perego,Стульчик для кормления трансформер Peg-Perego Siesta Follow Me Ice (серый),,10949,1,https://comfy.ua/stul-chik-dlja-kormlenija-transformer-peg-perego-siesta-follow-me-ice-seryj.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
809744013,,,,,1759189,Comfy KIDS >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Peg-Perego,peg-perego,Автокрісло Peg-Perego Viaggio FF105 Polo (бежево-сіре),,4499,1,https://comfy.ua/avtokreslo-peg-perego-viaggio-ff105-polo-bezhevo-seroe.html,5657,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
809744018,,,,,.1759188,Детские товары >> Прогулки и поездки,peg-perego,Автокрісло Peg-Perego Viaggio 1 Duo-Fix K Rouge (чорне з червоним),,6899,1,https://comfy.ua/avtokreslo-peg-perego-viaggio-1-duo-fix-k-rouge-chernoe-s-krasnym.html,8673,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
809744022,7036182,SKARB MATKI,Мыло жидкое SKARB MATKI для младенцев и детей 275 мл (1923),249,1776800,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Skarb Matki",skarb-matki,Мило рідке дитяче Skarb Matki 275 мл. (1923),,269,1,https://comfy.ua/mylo-zhidkoe-detskoe-skarb-matki-275-ml-1923.html,289,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
809744027,,,,,1759227,Comfy KIDS >> Кормление >> Стульчики для кормления >> Стульчики для кормления Peg-Perego,peg-perego,Стульчик для кормления трансформер Peg-Perego Prima Pappa Follow Me Petrolio (голубой),,7599,1,https://comfy.ua/stul-chik-dlja-kormlenija-transformer-peg-perego-prima-pappa-follow-me-petrolio-goluboj.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
809744030,,,,,1759217,Comfy KIDS >> Кормление >> Стульчики для кормления >> Стульчики для кормления Peg-Perego,peg-perego,Стульчик для кормления трансформер Peg-Perego Prima Pappa Follow Me Linear Grey Серый в полоску,,6999,1,https://comfy.ua/stul-chik-dlja-kormlenija-transformer-peg-perego-prima-pappa-follow-me-linear-grey-seryj-v-polosku.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
809744031,,,,,1759210,Comfy KIDS >> Кормление >> Стульчики для кормления >> Стульчики для кормления Peg-Perego,peg-perego,Стульчик для кормления трансформер Peg-Perego Prima Pappa Follow Me Fox & Friends (с рисунком),,6999,1,https://comfy.ua/stul-chik-dlja-kormlenija-transformer-peg-perego-prima-pappa-follow-me-fox-friends-s-risunkom.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
809744034,,,,,1759209,Comfy KIDS >> Кормление >> Стульчики для кормления >> Стульчики для кормления Peg-Perego,peg-perego,Стульчик для кормления трансформер Peg-Perego Prima Pappa Follow Me Hi-Tech LicoricE (черный ХайТек),,9499,1,https://comfy.ua/stul-chik-dlja-kormlenija-transformer-peg-perego-prima-pappa-follow-me-hi-tech-licorice-chernyj-hajtek.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
809744043,,,,,1754985,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Peg-Perego,peg-perego,Стульчик для кормления трансформер Peg-Perego Prima Pappa Follow Me Gold (IH01000001BL00),,9399,1,https://comfy.ua/stul-chik-dlja-kormlenija-transformer-peg-perego-prima-pappa-follow-me-gold-ih01000001bl00.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
809744058,7036191,SKARB MATKI,Увлажняющий крем SKARB MATKI для младенцев и детей 75 мл (1913),169,1776813,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Skarb Matki",skarb-matki,Крем для обличчя дитячий Skarb Matki зволожуючий 75 мл. (1913),,179,1,https://comfy.ua/krem-dlja-lica-detskij-skarb-matki-uvlazhnjajuschij-75-ml-1913.html,199,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
809744061,7036196,SKARB MATKI,Помада защитная SKARB MATKI для детей со вкусом экзотических фруктов и сливок (1961),179,1776809,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Skarb Matki",skarb-matki,Бальзам для губ дитячий Skarb Matki зі смаком екзотичних фруктів і вершків (1961),,198,1,https://comfy.ua/bal-zam-dlja-gub-detskij-skarb-matki-so-vkusom-jekzoticheskih-fruktov-i-slivok-1961.html,219,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
809744063,7036195,SKARB MATKI,Помада защитная SKARB MATKI для детей со вкусом жевательной резинки (1958),189,1776807,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Skarb Matki",skarb-matki,Бальзам для губ дитячий Skarb Matki зі смаком жувальної гумки (1958),,198,1,https://comfy.ua/bal-zam-dlja-gub-detskij-skarb-matki-so-vkusom-zhevatel-noj-rezinki-1958.html,219,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
809744072,,,,,1774810,Детские товары >> Подгузники и пеленание,pampers,"Одноразові підгузки-трусики Pampers Pants Giant Plus Размер 7 (17+ кг), 74 шт. (740967)",,1860,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-pampers-pants-giant-plus-razmer-7-17-kg-74-sht-740967.html,2079,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
809744078,7036194,SKARB MATKI,Помада защитная SKARB MATKI для детей со вкусом малины (1930),179,1776806,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Skarb Matki",skarb-matki,Бальзам для губ дитячий Skarb Matki зі смаком малини (1930),,199,1,https://comfy.ua/bal-zam-dlja-gub-detskij-skarb-matki-so-vkusom-maliny-1930.html,219,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
809751777,6775266,FLORINA,Гейзерная кофеварка Florina Lungo KPSS-4CUP / Induction 200 мл (5K7137),699,1774941,"Посуда >> Для напитков >> Кофеварки гейзерные, турки >> Кофеварки гейзерные, турки FLORINA",florina,Кавоварка гейзерна FLORINA Lungo KPSS-4CUP (5K7137),,699,1,https://comfy.ua/kofevarka-gejzernaja-florina-lungo-kpss-4cup-5k7137.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
809751815,,,,,1774975,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды FLORINA,florina,Кришка для посуду FLORINA 28 см (3P5084),,269,1,https://comfy.ua/kryshka-dlja-posudy-florina-28-sm-3p5084.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
809752312,,,,,.1775727,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",frime,Хаб USB Frime 7хUSB 2.0 White (FH-20041),,239,1,https://comfy.ua/hab-usb-frime-7husb-2-0-white-fh-20041.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
809759958,6664125,PEPPER,Нож для овощей PEPPER Metal 8.8 см (PR-4003-5),242,1774702,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Pepper,pepper,Ніж для овочів Pepper Metal 8.8 см (PR-4003-5),,197,1,https://comfy.ua/nozh-dlja-ovoschej-pepper-metal-8-8-sm-pr-4003-5.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
809781547,6676722,VINZER,Кулинарная кисть VINZER 50206,202,1775873,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Vinzer,vinzer,Пензлик кулiнарний Vinzer Pastry Brush (50206),,205,1,https://comfy.ua/kist-kulinarnaja-vinzer-pastry-brush-50206.html,256,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
809781741,,,,,.1774952,Посуда >> Для напитков,versailles,Набір склянок Versailles Adora 390 мл 6 шт. (VS-2390),,323,1,https://comfy.ua/nabor-stakanov-versailles-adora-390-ml-6-sht-vs-2390.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
809782105,,,,,.1775928,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",becover,Чохол для планшету BeCover Smart for Lenovo Tab M8 TB-8505 Blue (705978),,349,1,https://comfy.ua/chehol-dlja-plansheta-becover-smart-for-lenovo-tab-m8-tb-8505-blue-705978.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
809782647,6664122,PEPPER,Нож для мяса PEPPER Metal 20.3 см (PR-4003-2),239,1774700,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Pepper,pepper,Ніж для м'яса Pepper Metal 20.3 см (PR-4003-2),,276,1,https://comfy.ua/nozh-dlja-mjasa-pepper-metal-20-3-sm-pr-4003-2.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
809782648,6664121,PEPPER,Нож поварской PEPPER Metal 20.3 см (PR-4003-1),261,1774699,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Pepper,pepper,Ніж кухаря Pepper Metal 20.3 см (PR-4003-1),,309,1,https://comfy.ua/nozh-povara-pepper-metal-20-3-sm-pr-4003-1.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
809782672,6664131,PEPPER,Нож для овощей PEPPER Wood 7.6 см (PR-4002-5),171,1774698,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Pepper,pepper,Ніж для овочів Pepper Wood 7.6 см (PR-4002-5),,374,1,https://comfy.ua/nozh-dlja-ovoschej-pepper-wood-7-6-sm-pr-4002-5.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
809782720,6660046,PEPPER,Нож универсальный PEPPER Maximus 12.7 см (PR-4005-4),298,1774707,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Pepper,pepper,Ніж кухонний Pepper Maximus 12.7 см (PR-4005-4),,343,1,https://comfy.ua/nozh-kuhonnyj-pepper-maximus-12-7-sm-pr-4005-4.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
809782722,6664129,PEPPER,Нож для хлеба PEPPER Wood 20.3 см (PR-4002-3),227,1774676,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Pepper,pepper,Ніж для хліба Pepper Wood 20.3 см (PR-4002-3),,499,1,https://comfy.ua/nozh-dlja-hleba-pepper-wood-20-3-sm-pr-4002-3.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
809782723,6664127,PEPPER,Нож поварской PEPPER Wood 20.3 см (PR-4002-1),469,1774674,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Pepper,pepper,Ніж кухаря Pepper Wood 20.3 см (PR-4002-1),,552,1,https://comfy.ua/nozh-povara-pepper-wood-20-3-sm-pr-4002-1.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
809782818,6660039,PEPPER,Нож для мяса PEPPER Labris 20.3 см (PR-4004-2),327,1774703,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Pepper,pepper,Ніж для м'яса Pepper Labris 20.3 см (PR-4004-2),,509,1,https://comfy.ua/nozh-dlja-mjasa-pepper-labris-20-3-sm-pr-4004-2.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
809782842,6664060,PEPPER,Сковорода PEPPER Olive 20 см Black (PR-2102-20),705,1774667,Посуда >> Для приготовления >> Сковороды >> Сковороды Pepper,pepper,Сковорода універсальна Pepper Olive 20x4 cм (PR-2102-20),,636,1,https://comfy.ua/skovoroda-universal-naja-pepper-olive-20x4-cm-pr-2102-20.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
809782892,6660043,PEPPER,Нож поварской PEPPER Maximus 20.3 см (PR-4005-1),455,1774705,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Pepper,pepper,Ніж кухаря Pepper Maximus 20.3 см (PR-4005-1),,529,1,https://comfy.ua/nozh-povara-pepper-maximus-20-3-sm-pr-4005-1.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
