1649835767,column,column,column,column,2702978,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,__asus_tuf_gaming_b760mplus_d4,column,6855,1,httpscomfyuamaterinskajaplataasustufgamingb760mplusd4html,column,05112025_1854,column,__42,Фастів,0
1649884662,6962426,ARTLINE,Моноблок ARTLINE Business M63 (M63v22),17682,2821076,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M63 (M63v22),,16295,1,https://comfy.ua/komp-juter-monoblok-artline-business-m63-m63v22.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1649884672,6962425,ARTLINE,Моноблок ARTLINE Business M63 (M63v21),18185,2821074,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M63 (M63v21),,17475,1,https://comfy.ua/komp-juter-monoblok-artline-business-m63-m63v21.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1649885237,,,,,.2812873,"Дом, отдых и зоотовары >> Освещение",yeelight,Світлодіодний світильник Yeelight Smart Light 3 шт.,,1256,1,https://comfy.ua/svetodiodnyj-svetil-nik-yeelight-smart-light-3-sht.html,2699,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1649885630,6962428,ARTLINE,Моноблок ARTLINE Business M63 Windows 11 Pro (M63v22Win),18858,2821077,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M63 Windows 11 Pro (M63v22Win),,17475,1,https://comfy.ua/komp-juter-monoblok-artline-business-m63-windows-11-pro-m63v22win.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1649897225,6962427,ARTLINE,Моноблок ARTLINE Business M63 Windows 11 Pro (M63v21Win),24779,2821075,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки (ПК) >> Системные блоки (ПК) Artline",artline,Комп'ютер-моноблок Artline Business M63 Windows 11 Pro (M63v21Win),,24065,1,https://comfy.ua/komp-juter-monoblok-artline-business-m63-windows-11-pro-m63v21win.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1649902540,6970204,EINHELL,Скобы EINHELL Type 53 8 мм 1000 шт (353508),96,2811712,Инструменты и автотовары >> Расходные материалы >> Скобы >> Скобы Einhell,einhell,Скоби Einhell 8х11.4мм 1000 шт. (353508),,96,1,https://comfy.ua/skoby-einhell-8h11-4mm-1000-sht-353508.html,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
1649907169,,,,,2811709,Техника для дома >> Умный дом >> Станции управления приборами >> Станции управления приборами TP-Link,tp-link,Бездротова станція керування приладами TP-Link TAPO H100,,999,1,https://comfy.ua/besprovodnaja-stancija-upravlenija-priborami-tp-link-tapo-h100.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1649907170,,,,,2818149,Техника для дома >> Умный дом >> Станции управления приборами >> Станции управления приборами Ajax,ajax,Ретранслятор сигналу Ajax ReX белый (000012333),,2899,1,https://comfy.ua/retransljator-signala-ajax-rex-belyj-000012333.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1649907386,6906716,TOTAL,Фонарь налобный TOTAL THL013AAA6,395,2809935,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Total",total,Ліхтар Total THL013AAA6,,395,1,https://comfy.ua/fonar-total-thl013aaa6.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1649907505,6856370,SCALE,Весы напольные SCALE one Black (scl-001bl),1169,2814084,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Scale one,scale-one,Ваги підлогові Scale one Black (EN-TZC001),,699,1,https://comfy.ua/vesy-napol-nye-scale-one-black-scl-001bl.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1649907506,6923608,SCALE ONE,Весы напольные SCALE ONE TZC012,1948,2814086,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Scale one,scale-one,Смарт-ваги підлогові Scale one TZC012,,1949,1,https://comfy.ua/vesy-napol-nye-scale-one-tzc012.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1649907873,,,,,2814105,"Детские товары >> Уход, купание и гигиена",bebe-confort,Аспіратор назальний дитячий Bebe Confort 32000144,,1115,1,https://comfy.ua/aspirator-nazal-nyj-detskij-bebe-confort-32000144.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1649908175,,,,,.2821106,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PROART Z790-CREATOR WIFI DDR5,,24599,1,https://comfy.ua/materinskaja-plata-asus-proart-z790-creator-wifi-ddr5.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1649908177,,,,,.2821324,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus PRO WS TRX50-SAGE WIFI DDR5,,41039,1,https://comfy.ua/materinskaja-plata-asus-pro-ws-trx50-sage-wifi-ddr5.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1649908248,7038123,DIFRAX,Щеточка для мытья бутылочек Difrax і сосок 2 в 1 (546),432,2814104,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Difrax",difrax,Йоржик для дитячих пляшечок Difrax 2в1 (546),,435,1,https://comfy.ua/ershik-dlja-detskih-butylochek-difrax-2v1-546.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1649908264,,,,,2814726,Детские товары >> Игрушки,orange,М'яка іграшка Orange Мавпа Гоша в окулярах 45 см (OS095/37),,475,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-orange-obez-jana-gosha-v-ochkah-45-sm-os095-37.html,,05.11.2025 23:12,,"вул. Соборна, 42",Фастів,0
1649908470,,,,,2822160,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки DevSeries,devseries,М'яка іграшка DevSeries Collector Plush Build A Boat For Treasure: chillthrill709 (CRS0003),,399,1,https://comfy.ua/mjagkaja-igrushka-geroj-devseries-collector-plush-build-a-boat-for-treasure-chillthrill709-crs0003.html,795,05.11.2025 23:36,,"вул. Соборна, 42",Фастів,0
1649908587,6604838,TOPEX,Кобура для дрели TOPEX 4 гнезда для сверл (79R416),219,2332180,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов TOPEX,topex,Карман для інструментів TOPEX 79R416,,219,1,https://comfy.ua/karman-dlja-instrumentov-topex-79r416.html,,05.11.2025 22:17,,"вул. Соборна, 42",Фастів,0
1649908588,6985298,HAISSER,Ящик для инструментов HAISSER Optima 30 N (90116),179,2809952,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Haisser,haisser,Ящик для інструментів Haisser Optima 30 N (90116),,179,1,https://comfy.ua/jaschik-dlja-instrumentov-haisser-optima-30-n-90116.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
1649908589,6906725,TOTAL,"""Сумка для инструментов TOTAL THT261325 13"""" Green (THT261325)""",225,2809941,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Total,total,Сумка для інструментів Total THT261325,,275,1,https://comfy.ua/sumka-dlja-instrumentov-total-tht261325.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
