1688305304,6983045,XO,Гарнитура XO BE23 Black,447,2914390,"Аудио, фото и видео >> Наушники >> Наушники XO",xo,Навушники накладні бездротові XO BE23,,449,1,https://comfy.ua/naushniki-nakladnye-besprovodnye-xo-be23.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1688305969,6984304,ACER,Ноутбук ACER Aspire 16 A16-51GM Steel Gray (NX.KXPEU.001),33875,2964707,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все Acer >> Серия Acer Aspire 1",acer,Ноутбук Acer Aspire 16 A16-51GM (NX.KXPEU.001) Steel Gray,,33875,1,https://comfy.ua/noutbuk-acer-aspire-16-a16-51gm-nx-kxpeu-001-steel-gray.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1688305969,7091150,ACER,Ноутбук ACER Aspire 16 A16-51GM-554C Steel Gray (NX.KXPEU.001),33875,2964707,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все Acer >> Серия Acer Aspire 1",acer,Ноутбук Acer Aspire 16 A16-51GM (NX.KXPEU.001) Steel Gray,,33875,1,https://comfy.ua/noutbuk-acer-aspire-16-a16-51gm-nx-kxpeu-001-steel-gray.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1688309818,6984331,ACER,Ноутбук ACER Swift Go 14 SFG14-63-R92Y Steel Gray (NX.KTSEU.004),49999,2964706,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки >> Ноутбуки все >> Ноутбуки все Acer >> Серия Acer Swift",acer,Ноутбук Acer Swift Go 14 SFG14-63 (NX.KTSEU.004) Steel Gray,,49999,1,https://comfy.ua/noutbuk-acer-swift-go-14-sfg14-63-nx-ktseu-004-steel-gray.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1688310970,6983871,ARRTX,Акриловые маркеры ARRTX AACM-0515 10 цветов (LC303656),1538,2904338,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Arrtx,arrtx,Набір маркерів Arrtx AACM-0515 10 кол. (LC303656),,1619,1,https://comfy.ua/nabor-markerov-arrtx-aacm-0515-10-cv-lc303656.html,1799,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1688310974,6983874,ARRTX,Акриловые маркеры ARRTX Simptap AACM-0724B 24 цветов (LC303694),1281,2904339,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Arrtx,arrtx,Набір маркерів Arrtx Simptap AACM-0724B 24 кол. (LC303694),,1349,1,https://comfy.ua/nabor-markerov-arrtx-simptap-aacm-0724b-24-cv-lc303694.html,1499,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1688310974,6983870,ARRTX,Металлические маркеры ARRTX AACM-0612A 12 цветов (LC303649),512,2904339,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Arrtx,arrtx,Набір маркерів Arrtx Simptap AACM-0724B 24 кол. (LC303694),,1349,1,https://comfy.ua/nabor-markerov-arrtx-simptap-aacm-0724b-24-cv-lc303694.html,1499,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1688310993,6984251,BRABANTIA,Бак для мусора BRABANTIA Touch Bin 30 л (149986),9789,2213524,Бытовая химия >> Для кухни и мытья посуды >> Мусорные баки и аксессуары >> Мусорные баки и аксессуары Brabantia,brabantia,Бак для сміття Brabantia Touch Bin 30 л 149986,,9789,1,https://comfy.ua/bak-dlja-musora-brabantia-touch-bin-30-l-149986.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1688311027,6984247,BRABANTIA,Бак для мусора BRABANTIA Bo Touch Bin 11+23 л (201585),14025,2212982,Бытовая химия >> Для кухни и мытья посуды >> Мусорные баки и аксессуары >> Мусорные баки и аксессуары Brabantia,brabantia,Бак для сміття Brabantia Touch Bin Bo 11+23 л 201585,,16499,1,https://comfy.ua/bak-dlja-musora-brabantia-touch-bin-bo-11-23-l-201585.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1688311029,6984258,BRABANTIA,Бак для мусора BRABANTIA NewIcon Pedal Bin 30 л (149962),7039,2212985,Бытовая химия >> Для кухни и мытья посуды >> Мусорные баки и аксессуары >> Мусорные баки и аксессуары Brabantia,brabantia,Бак для сміття з педаллю Brabantia 30 л 149962,,7039,1,https://comfy.ua/bak-dlja-musora-s-pedal-ju-brabantia-30-l-149962.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1688311039,6984259,BRABANTIA,Бак для мусора BRABANTIA StepUp Pedal Bin 40 л (800023),3256,2212986,Бытовая химия >> Для кухни и мытья посуды >> Мусорные баки и аксессуары >> Мусорные баки и аксессуары Brabantia,brabantia,Бак для сміття з педаллю Brabantia 40 л 800023,,4069,1,https://comfy.ua/bak-dlja-musora-s-pedal-ju-brabantia-40-l-800023.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1688311049,6984260,BRABANTIA,Бак для мусора BRABANTIA NewIcon Pedal Bin 5 л (149900),3159,2213526,Бытовая химия >> Для кухни и мытья посуды >> Мусорные баки и аксессуары >> Мусорные баки и аксессуары Brabantia,brabantia,Бак для сміття з педаллю Brabantia 5 л 149900,,3159,1,https://comfy.ua/bak-dlja-musora-s-pedal-ju-brabantia-5-l-149900.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1688315903,,,,,2958906,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Enchen,enchen,Бритва Enchen MS003 Black,,359,1,https://comfy.ua/britva-enchen-ms003-black.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1688321851,6984269,BENQ,Монитор BENQ GW2490 Black (9H.LLSLJ.LBE),3661,2964881,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы BenQ",benq,Монітор BenQ GW2490 (9H.LLSLJ.LBE),,3659,1,https://comfy.ua/monitor-benq-gw2490-9h-llslj-lbe.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1688321859,6987934,BENQ,Монитор BENQ GW2790 (9H.LLTLJ.LBE),4519,2964882,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы BenQ",benq,Монітор BenQ GW2790 (9H.LLTLJ.LBE),,4519,1,https://comfy.ua/monitor-benq-gw2790-9h-lltlj-lbe.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1688322590,7008130,GRUNHELM,Блендер GRUNHELM EBS-819BEP Beige (133662),1439,2958120,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Grunhelm,grunhelm,Блендер заглибний Grunhelm EBS-819BEP,,1439,1,https://comfy.ua/blender-pogruzhnoj-grunhelm-ebs-819bep.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1688322592,7008129,GRUNHELM,Блендер GRUNHELM EBS-819MIP Green (133664),1439,2958121,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Grunhelm,grunhelm,Блендер заглибний Grunhelm EBS-819MIP,,1439,1,https://comfy.ua/blender-pogruzhnoj-grunhelm-ebs-819mip.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1688322797,6987933,AOC,Монитор AOC Q27E3UMF,9131,2964884,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы AOC",aoc,Монітор AOC Q27E3UMF,,8995,1,https://comfy.ua/monitor-aoc-q27e3umf.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1688324286,6984271,BENQ,Монитор BENQ XL2546X DARK GREY (9H.LLRLB.QBE),20193,2964880,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы BenQ",benq,Монітор ігровий BenQ XL2546X (9H.LLRLB.QBE),,19999,1,https://comfy.ua/monitor-igrovoj-benq-xl2546x-9h-llrlb-qbe.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1688324856,6987936,BENQ,Монитор BENQ PD3225U (9H.LLYLA.TBE),55549,2964883,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы BenQ",benq,Монітор BenQ PD3225U (9H.LLYLA.TBE),,55549,1,https://comfy.ua/monitor-benq-pd3225u-9h-llyla-tbe.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1688325882,6983326,CANYON,Мышь CANYON Fortnax GM-636 RGB Black (CND-SGM636B),839,2966914,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Canyon",canyon,Миша дротова ігрова Canyon Fortnax GM-636 Black (CND-SGM636B),,799,1,https://comfy.ua/mysh-provodnaja-igrovaja-canyon-fortnax-gm-636-black-cnd-sgm636b.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1688325884,6983325,CANYON,Мышь CANYON Fortnax GM-636 RGB White (CND-SGM636W),839,2966915,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Canyon",canyon,Миша дротова ігрова Canyon Fortnax GM-636 White (CND-SGM636W),,799,1,https://comfy.ua/mysh-provodnaja-igrovaja-canyon-fortnax-gm-636-white-cnd-sgm636w.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1688325891,7019605,TRUST,Мышь Trust Bayo II Ergonomic Mouse Black (25144),799,2966216,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Trust",trust,Миша дротова Trust Bayo II Ergonomic Black (25144),,669,1,https://comfy.ua/mysh-provodnaja-trust-bayo-ii-ergonomic-black-25144.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1688329718,6987221,HIFUTURE,Гарнитура HIFUTURE Colorbuds2 White (colorbuds2.white),599,2961024,"Аудио, фото и видео >> Наушники >> Наушники HiFuture",hifuture,Навушники вкладиші бездротові TWS HiFuture colorbuds2.white,,599,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-hifuture-colorbuds2-white.html,699,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1688331938,6977904,YEELIGHT,Лампа настольная YEELIGHT Redbud Candle Light (YLFWD-0019),2199,2901831,"Дом, отдых и зоотовары >> Освещение >> Настольные лампы и ночники >> Настольные лампы и ночники Yeelight",yeelight,Настільна лампа Yeelight Redbud Candle Light (second gen) (YLFWD-0019),,2099,1,https://comfy.ua/nastol-naja-lampa-yeelight-redbud-candle-light-second-gen-ylfwd-0019.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1688336685,,,,,.2824244,Игровые консоли и гейминг >> Комплектующие для игровых ПК,arktek,Відеокарта Arktek Nvidia GTX750 Ti 2GB GDDR5 (AKN750TiD5S2GH1),,3529,1,https://comfy.ua/videokarta-arktek-nvidia-gtx750-ti-2gb-gddr5-akn750tid5s2gh1.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1688340061,6895101,HEINNER,Сковорода для блинов HEINNER Chef Line 30 см Silver (HR-JH-C30),809,2937966,Посуда >> Для приготовления >> Сковороды >> Сковороды Heinner,heinner,Сковорода для млинців Heinner Professional 30 см (HR-JH-C30),,809,1,https://comfy.ua/skovoroda-dlja-blinov-heinner-professional-30-sm-hr-jh-c30.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
