752438812,column,column,column,column,1689757,__________________nattou,nattou,_nattou___655125,column,425,1,httpscomfyuamjagkajaigrushkapodushkanattouslonikrozi655125html,column,05112025_2041,column,__42,Фастів,0
752439039,6611324,JANOD,Бизиборд JANOD J08256,4199,1689782,Детские товары >> Игрушки для малышей,janod,Бізіборд-куб Janod J08256,,4199,1,https://comfy.ua/bizibord-kub-janod-j08257.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
752439046,6553667,JUST THINK TOYS,"""Набор плавающих блоков для ванны JUST THINK TOYS """"Аэропорт"""" (22088)""",499,1689720,Детские товары >> Игрушки для малышей >> Игрушки для ванной >> Игрушки для ванной Just Think Toys,just-think-toys,Іграшка для ванної Just Think Toys Аеропорт 3+ (22088),,499,1,https://comfy.ua/igrushka-konstruktor-dlja-vannoj-just-think-toys-ajeroport-3-22088.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
752439048,6553684,MOLUK,Игрушка для ванной Moluk Плюи Облако (43060),269,1689728,Детские товары >> Игрушки для малышей >> Игрушки для ванной >> Игрушки для ванной Moluk,moluk,Іграшка для ванної Moluk Плюі Хмарка 2+ (43060),,249,1,https://comfy.ua/igrushka-bryzgalka-dlja-vannoj-moluk-pljui-oblachko-2-43060.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
752439050,6553683,MOLUK,Игрушка для ванной Moluk Плюи Yellow (43020),239,1689727,Детские товары >> Игрушки для малышей >> Игрушки для ванной >> Игрушки для ванной Moluk,moluk,Іграшка для ванної Moluk Плюі жовтий 2+ (43020),,199,1,https://comfy.ua/igrushka-bryzgalka-dlja-vannoj-moluk-pljui-zheltyj-2-43020.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
752439051,6553607,KID O,Пирамидка KID O Стаканчики (10441),259,1689712,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Kid O,kid-o,Пірамідка Kid O Стаканчики (10441),,299,1,https://comfy.ua/piramidka-kid-o-stakanchiki-10441.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
752439052,6553682,MOLUK,Игрушка для ванной Moluk Плюи Green (43019),239,1689726,Детские товары >> Игрушки для малышей >> Игрушки для ванной >> Игрушки для ванной Moluk,moluk,Іграшка для ванної Moluk Плюі зелений 2+ (43019),,199,1,https://comfy.ua/igrushka-bryzgalka-dlja-vannoj-moluk-pljui-zelenij-2-43019.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
752439053,6553608,KID O,Пирамидка KID O Конус (10442),629,1689711,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Kid O,kid-o,Пірамідка Kid O Конуси (10442),,649,1,https://comfy.ua/piramidka-kid-o-konusy-10442.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
752439054,6553681,MOLUK,Игрушка для ванной Moluk Плюи Blue (43018),239,1689725,Детские товары >> Игрушки для малышей >> Игрушки для ванной >> Игрушки для ванной Moluk,moluk,Іграшка для ванної Moluk Плюі блакитний 2+ (43018),,199,1,https://comfy.ua/igrushka-bryzgalka-dlja-vannoj-moluk-pljui-goluboj-2-43018.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
752439058,6553651,QUUT,Плавающий цветок QUUT LILI для ванны и пляжа (170471),199,1689724,Детские товары >> Игрушки для малышей >> Игрушки для ванной >> Игрушки для ванной Quut,quut,Іграшка для ванної Quut Плаваючий квітка LILI (170471),,209,1,https://comfy.ua/bazovaja-igrushka-dlja-vannoj-quut-plavajuschij-cvetok-lili-170471.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
752439087,6439415,GOKI,Пирамида GOKI Человечек (58896),319,1689183,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки goki,goki,Пірамідка goki Чоловічок (58896),,299,1,https://comfy.ua/piramidka-goki-chelovechek-58896.html,379,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
