752773993,column,column,column,column,1701800,Детские товары >> Игрушки,bruder,__bruder___man___02771,column,3205,1,httpscomfyuacatalogproductviewid1694853,column,06112025_025,column,__42,Фастів,0
752808828,6613927,SILVERLIT,Игрушечное оружие SILVERLIT Lazer M.A.D. (LM-86846),562,1702714,Детские товары >> Игрушки >> Игрушечное оружие >> Игрушечное оружие Silverlit,silverlit,Лазерний набір Silverlit Lazer M.A.D. Тренувальний (LM-86846),,579,1,https://comfy.ua/lazernyj-nabor-silverlit-lazer-m-a-d-trenirovochnyj-lm-86846.html,,05.11.2025 23:24,,"вул. Соборна, 42",Фастів,0
752808829,6643049,GORENJE,Электрочайник GORENJE K 15 DWW (KESS4103-GS),1099,1712879,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Gorenje,gorenje,Електричний чайник Gorenje K15DWW,,999,1,https://comfy.ua/jelektricheskij-chajnik-gorenje-k15dww.html,1369,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,6
752808844,,,,,1708614,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Djeco,djeco,Головоломка Djeco Поліссімо (DJ08451),,879,1,https://comfy.ua/golovolomka-iz-dereva-djeco-polissimo-dj08451.html,,05.11.2025 23:57,,"вул. Соборна, 42",Фастів,0
752808847,,,,,1708615,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Djeco,djeco,Головоломка Djeco Кразікс (DJ08463),,799,1,https://comfy.ua/golovolomka-iz-metalla-djeco-kraziks-dj08463.html,,06.11.2025 0:01,,"вул. Соборна, 42",Фастів,0
752808872,6613926,SILVERLIT,Игрушечное оружие SILVERLIT Lazer M.A.D. Стартовый набор (LM-86844),518,1702712,Детские товары >> Игрушки >> Игрушечное оружие >> Игрушечное оружие Silverlit,silverlit,Лазерний набір Silverlit Lazer M.A.D. Стартовий (LM-86844),,535,1,https://comfy.ua/lazernyj-nabor-silverlit-lazer-m-a-d-startovyj-lm-86844.html,,05.11.2025 23:43,,"вул. Соборна, 42",Фастів,0
753428565,,,,,1707155,Детские товары >> Игрушки,road-rippers,Автотранспорт Road Rippers Crocodile (рух + світлові і звукові ефекти) (20062),,835,1,https://comfy.ua/catalog/product/view/id/1696263,,05.11.2025 23:48,,"вул. Соборна, 42",Фастів,0
753460141,,,,,1707389,Детские товары >> Игрушки,road-rippers,Автотранспорт Road Rippers Color Wheels (20101),,1075,1,https://comfy.ua/catalog/product/view/id/1696613,,05.11.2025 23:53,,"вул. Соборна, 42",Фастів,0
753476422,,,,,1701794,Детские товары >> Игрушки,bruder,Наземна будівельна техніка BRUDER Самоскид Bruder Mack Granite (02815),,2899,1,https://comfy.ua/catalog/product/view/id/1697213,,06.11.2025 0:31,,"вул. Соборна, 42",Фастів,0
753476426,,,,,1701793,Детские товары >> Игрушки,bruder,"Наземна будівельна техніка BRUDER Бетоновоз Bruder Mack Granite, (02814)",,3645,1,https://comfy.ua/catalog/product/view/id/1697133,,06.11.2025 0:31,,"вул. Соборна, 42",Фастів,0
753476432,6457416,SEQUIN ART,Набор для творчества SEQUIN ART RED Jack Dolphin SA1304,400,1704350,Детские товары >> Творчество и развитие,sequin-art,Набір для творчості з паєток Sequin Art Дельфін Джек Red (SA1304),,545,1,https://comfy.ua/catalog/product/view/id/1697043,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
753476435,6613912,SEQUIN ART,Набор для творчества SEQUIN ART SMOOGLES Жираф (SA1822),320,1704340,Детские товары >> Творчество и развитие,sequin-art,Набір для творчості з паєток Sequin Art Smoogles Жираф (SA1822),,435,1,https://comfy.ua/catalog/product/view/id/1697003,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
753476436,6613915,SEQUIN ART,Набор для творчества SEQUIN ART SMOOGLES Пингвин SA1817,320,1704339,Детские товары >> Творчество и развитие,sequin-art,Набір для творчості з паєток Sequin Art Smoogles Пінгвін (SA1817),,359,1,https://comfy.ua/catalog/product/view/id/1696983,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
753476437,6613918,SEQUIN ART,Набор для творчества SEQUIN ART SMOOGLES Щенок (SA1816),320,1704338,Детские товары >> Творчество и развитие,sequin-art,Набір для творчості з паєток Sequin Art Smoogles Щеня (SA1816),,435,1,https://comfy.ua/catalog/product/view/id/1696973,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
753487472,,,,,1707895,Телевизоры и мультимедиа >> Аксессуары для ТВ >> Крепления для телевизоров >> Крепления для телевизоров ARCTIC,arctic,Кріплення настільне ARCTIC Z2 Basic (AEMNT00040A),,1674,1,https://comfy.ua/kreplenie-nastol-noe-arctic-z2-basic-aemnt00040a.html,2799,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
753565799,6457329,SEQUIN ART,Набор для творчества SEQUIN ART BLUE Cupcakes SA1130,427,1704704,Детские товары >> Творчество и развитие,sequin-art,Набір для творчості з паєток Sequin Art Кекси Blue (SA1130),,575,1,https://comfy.ua/catalog/product/view/id/1697433,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
753603510,7191868,GT RACER,Кресло GT RACER X-8009 Fabric Dark Gray/Black,13999,1695985,"Дом, отдых и зоотовары >> Мебель",gt-racer,Крісло для геймерів GT Racer X-8009 Fabric Dark Grey/Black XL,,14399,1,https://comfy.ua/kreslo-dlja-gejmerov-gt-racer-x-8009-fabric-dark-grey-black.html,15999,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
753627614,6457353,SEQUIN ART,Набор для творчества SEQUIN ART LASER Rabbits SA1320,214,1704356,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие Sequin Art,sequin-art,Набір для творчості з паєток Sequin Art Laser Кролики (SA1320),,289,1,https://comfy.ua/almaznaja-zhivopis-sequin-art-laser-kroliki-sa1320.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
753627617,,,,,1707377,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Road Rippers,road-rippers,Наземна спецтехніка Road Rippers Пожежна машина зі світловими і звуковими ефектами (20082),,229,1,https://comfy.ua/nazemnaja-spectehnika-road-rippers-pozharnaja-mashina-so-svetovymi-i-zvukovymi-jeffektami-20082.html,,05.11.2025 23:50,,"вул. Соборна, 42",Фастів,0
753627623,,,,,1701794,Comfy KIDS >> Игрушки >> Машинки и техника >> Машинки и техника BRUDER,bruder,Наземна будівельна техніка BRUDER Самоскид Bruder Mack Granite (02815),,2899,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-bruder-samosval-bruder-mack-granite-02815.html,,06.11.2025 0:31,,"вул. Соборна, 42",Фастів,0
753627624,,,,,1707361,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Road Rippers,road-rippers,Наземна спецтехніка Road Rippers Машинка Rush and Rescue Евакуатор (20134),,409,1,https://comfy.ua/nazemnaja-spectehnika-road-rippers-mashinka-rush-and-rescue-jevakuator-20134.html,,05.11.2025 23:48,,"вул. Соборна, 42",Фастів,0
753627629,7071071,BRUDER,Бетономешалка BRUDER Mack Granit 1:16 (2814),3869,1701793,Comfy KIDS >> Игрушки >> Машинки и техника >> Машинки и техника BRUDER,bruder,"Наземна будівельна техніка BRUDER Бетоновоз Bruder Mack Granite, (02814)",,3645,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-bruder-betonovoz-bruder-mack-granite-02814.html,,06.11.2025 0:31,,"вул. Соборна, 42",Фастів,0
