1431164860,column,column,column,column,2197637,comfy_kids_________canpol_babies,canpolbabies,__canpol_babies_bonjour_paris____74027_red,column,329,1,httpscomfyuanagrudniksilikonovyjcanpolbabiesbonjourparisskarmanomkrasnyj74027redhtml,column,05112025_2130,column,__42,Фастів,0
1431164860,,,,,2197637,Comfy KIDS >> Кормление >> Нагрудники детские >> Нагрудники детские Canpol babies,canpol-babies,"Нагрудник силіконовий Canpol babies Bonjour Paris з карманом, червоний (74/027_red)",,329,1,https://comfy.ua/nagrudnik-silikonovyj-canpol-babies-bonjour-paris-s-karmanom-krasnyj-74-027-red.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
1431164861,,,,,2197636,Comfy KIDS >> Кормление >> Нагрудники детские >> Нагрудники детские Canpol babies,canpol-babies,"Нагрудник силіконовий Canpol babies Bonjour Paris з карманом, синій (74/027_blu)",,329,1,https://comfy.ua/nagrudnik-silikonovyj-canpol-babies-bonjour-paris-s-karmanom-sinij-74-027-blu.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
1431164862,,,,,2197635,Comfy KIDS >> Кормление >> Нагрудники детские >> Нагрудники детские Canpol babies,canpol-babies,"Нагрудник силіконовий Canpol babies Bonjour Paris з карманом, бежевий (74/027_bei)",,329,1,https://comfy.ua/nagrudnik-silikonovyj-canpol-babies-bonjour-paris-s-karmanom-bezhevyj-74-027-bei.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
1431164921,,,,,2197632,Детские товары >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Поїльник-непроливайка дитячий Canpol babies EXOTIC з трубочкою та обтяжувачем, 270 мл. (56/606_grey)",,409,1,https://comfy.ua/poil-nik-neprolivajka-detskij-canpol-babies-exotic-s-trubochkoj-i-utjazhelitelem-270-ml-56-606-grey.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
1431164923,,,,,2197313,Детские товары >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Поїльник-непроливайка дитячий Canpol babies EXOTICзс трубочкою та обтяжувачем, 270 мл. (56/606_pin)",,435,1,https://comfy.ua/poil-nik-neprolivajka-detskij-canpol-babies-exotic-s-trubochkoj-i-utjazhelitelem-270-ml-56-606-pin.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1431164925,,,,,2197633,Детские товары >> Кормление >> Поильники >> Поильники Canpol babies,canpol-babies,"Поїльник-непроливайка дитячий Canpol babies EXOTIC з трубочкою та обтяжувачем, 270 мл. (56/606_yel)",,419,1,https://comfy.ua/poil-nik-neprolivajka-detskij-canpol-babies-exotic-s-trubochkoj-i-utjazhelitelem-270-ml-56-606-yel.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1431165800,6832302,ARDESTO,Весы напольные ARDESTO SCB-965PEONIES,399,2204226,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Ardesto,ardesto,Ваги підлогові Ardesto SCB-965 Peonies,,399,1,https://comfy.ua/vesy-napol-nye-ardesto-scb-965-peonies.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1431165931,6835118,LIBERTON,Весы напольные LIBERTON LBS-0802,379,2213515,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Liberton,liberton,Ваги підлогові Liberton LBS-0802,,299,1,https://comfy.ua/vesy-napol-nye-liberton-lbs-0802.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1431165932,6835117,LIBERTON,Весы напольные LIBERTON LBS-0801,399,2213516,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Liberton,liberton,Ваги підлогові Liberton LBS-0801,,399,1,https://comfy.ua/vesy-napol-nye-liberton-lbs-0801.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,2
1431165934,,,,,2210029,Красота и здоровье >> Уход за телом,adler,Ваги підлогові Adler AD 8154,,529,1,https://comfy.ua/vesy-napol-nye-adler-ad-8154.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
