1653828083,column,column,column,column,2820716,____________janod,janod,__janod______j05381,column,515,1,httpscomfyuainteraktivnyjgadzhetjanodfotoapparatsozvukomivspyshkojj05381html,column,05112025_2015,column,__42,Фастів,0
1653828072,7051607,JANOD,Коляска для куклы Janod Мятная (J05900),2984,2811514,Детские товары >> Игрушки,janod,Коляска для ляльки і пупса Janod м'ятна (J05900),,3899,1,https://comfy.ua/koljaska-progulochnaja-dlja-kukly-i-pupsa-janod-mjatnaja-j05900.html,,05.11.2025 22:01,,"вул. Соборна, 42",Фастів,0
1653828083,,,,,2820716,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Janod,janod,Інтерактивний гаджет Janod Фотоаппарат зі звуком та спалахом (J05381),,515,1,https://comfy.ua/interaktivnyj-gadzhet-janod-fotoapparat-so-zvukom-i-vspyshkoj-j05381.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1653828807,,,,,2702915,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Kiddi Smart,kiddi-smart,"Інтерактивний транспорт Kiddi Smart Паровоз Лімпопо (світло, укр.) (63396)",,1697,1,https://comfy.ua/interaktivnyj-transport-kiddi-smart-parovoz-limpopo-svitlo-ukr-63396.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1653828894,,,,,2814926,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Kiddi Smart,kiddi-smart,Інтерактивний музичний інструмент Kiddi Smart ЗВІРЯТА НА КАЧЕЛЯХ (063412),,1597,1,https://comfy.ua/interaktivnyj-muzykal-nyj-instrument-kiddi-smart-zverjata-na-kacheljah-063412.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1653831508,,,,,2504717,Красота и здоровье >> Средства для бритья,gillette,Станок чоловічий одноразовий Gillette BLUE 3 Comfort Slalom 5шт,,189,1,https://comfy.ua/stanok-muzhskoj-odnorazovyj-gillette-blue-3-comfort-slalom-5sht.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1653832289,6831035,GILLETTE,Сменные картриджи GILLETTE FUSION 12 шт (80707088),1889,2075113,Красота и здоровье >> Средства для бритья >> Станки и картриджи для бритья >> Станки и картриджи для бритья Gillette,gillette,Картридж для станка чоловічого Gillette Fusion 12 шт. (7702018441075),,1889,1,https://comfy.ua/kartridzh-dlja-stanka-muzhskogo-gillette-fusion-12-sht-7702018441075.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1653832819,,,,,1831552,Красота и здоровье >> Средства для бритья,gillette,Станок чоловічий Gillette FUSION Верстат + 2 картриджа 1шт,,524,1,https://comfy.ua/stanok-muzhskoj-gillette-fusion-stanok-2-kartridzha-1sht.html,729,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1653835166,,,,,2798563,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы Miraculous,miraculous,"""Колекційна фігурка Miraculous """"ЛЕДІ БАГ І СУПЕР-КІТ"""" S2 - НЕЙМОВІРНИЙ СЮРПРИЗ (в асорт., з аксес.) (50390)""",,1195,1,https://comfy.ua/kollekcionnaja-figurka-miraculous-ledi-bag-i-super-kot-s2-neverojatnyj-sjurpriz-v-assort-s-aksess-50390.html,,05.11.2025 23:59,,"вул. Соборна, 42",Фастів,0
1653837488,7051269,PIXUS,Планшет PIXUS Line 6/128GB LTE Graphite (4897058531725),4799,2839516,"Ноутбуки, планшеты и компьютерная техника >> Планшеты >> Планшеты все >> Планшеты все Pixus",pixus,Планшет Pixus Line 10.1'' 6/128GB LTE Metal Graphite,,4799,1,https://comfy.ua/planshet-pixus-line-10-1-6-128gb-lte-metal-graphite.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,2
1653848215,6965666,CONCEPT,Бутербродница CONCEPT SV3054,2399,2846054,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы Concept,concept,Бутербродниця Concept SV3054,,2399,1,https://comfy.ua/buterbrodnica-concept-sv3054.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
