803638265,column,column,column,column,1759503,____________________vanish,vanish,____vanish_oxi_action_gold_pink_625,column,179,1,httpscomfyuasredstvodljaudalenijapjatenvanishoxiactiongoldpink625ghtml,311,05112025_1915,column,__42,Фастів,0
805415675,7083924,VLADI TOYS,Настольная игра Vladi Toys Домашние животные (VT2312-07),297,1761768,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Vladi Toys,vladi-toys,"Настільна гра (5-7 років) Vladi Toys Домашні улюбленці, укр. (VT2312-07)",,299,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-5-7-let-vladi-toys-domashnie-ljubimcy-ukr-vt2312-07.html,,06.11.2025 0:40,,"вул. Соборна, 42",Фастів,0
805415677,6665950,JBL,Гарнитура JBL Tune 510 BT Rose (JBLT510BTROSEU),1499,1755302,"Аудио, фото и видео >> Наушники >> Наушники JBL",jbl,Навушники повнорозмірні бездротові JBL Tune 510BT Rose (JBLT510BTROSEU),,1499,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-jbl-tune-510bt-rose-jblt510btroseu.html,1699,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,2
805415682,6665948,JBL,Гарнитура JBL Tune 510 BT Black (JBLT510BTBLKEU),1499,1755300,"Аудио, фото и видео >> Наушники >> Наушники JBL",jbl,Навушники повнорозмірні бездротові JBL Tune 510BT Black (JBLT510BTBLKEU),,1499,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-jbl-tune-510bt-black-jblt510btblkeu.html,1699,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,3
805415688,,,,,.1766103,Детские товары >> Игрушки,babyono,"М'яка іграшка BabyOno Контрастний М'яч, 12см (638)",,219,1,https://comfy.ua/mjagkaja-igrushka-mjach-babyono-kontrastnyj-mjach-12sm-638.html,,06.11.2025 1:26,,"вул. Соборна, 42",Фастів,0
805415693,6665949,JBL,Гарнитура JBL Tune 510 BT Blue (JBLT510BTBLKEU),1499,1755301,"Аудио, фото и видео >> Наушники >> Наушники JBL",jbl,Навушники повнорозмірні бездротові JBL Tune 510BT Blue (JBLT510BTBLUEU),,1384,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-jbl-tune-510bt-blue-jblt510btblueu.html,1699,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,1
805415790,6673009,DEERMA,Пылесос DEERMA Corded Hand Stick Vacuum Cleaner (DX115C),1099,1764809,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Deerma,deerma,Пилосос ручний для дому Deerma Corded Hand Stick Vacuum Cleaner (DX115C),,1099,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-deerma-corded-hand-stick-vacuum-cleaner-dx115c.html,1299,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
805620055,6927174,KARCHER,Фильтр патронный KARCHER PES для NT 22/1 (2.889-219.0),570,1765813,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Karcher,karcher,Фільтр для пилососа Karcher PES for NT 22/1 (2.889-219.0),,599,1,https://comfy.ua/fil-tr-dlja-pylesosa-karcher-pes-for-nt-22-1-2-889-219-0.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
805635721,,,,,1720234,Инструменты и автотовары >> Электроинструменты >> Измерительные приборы >> Измерительные приборы Stark,stark,Вимірювач відстані лазерний Stark LD 40 (290090040),,1189,1,https://comfy.ua/dal-nomer-lazernyj-stark-ld-40-290090040.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
805702828,7052181,KARCHER,Мешок для пылесоса KARCHER NT 22 5 шт (2.889-217.0),529,1765814,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Karcher,karcher,Набір мішків для пилососа Karcher NT 22 5 шт. (2.889-217.0),,529,1,https://comfy.ua/nabor-meshkov-dlja-pylesosa-karcher-nt-22-5-sht-2-889-217-0.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
805709028,,,,,1686975,Посуда >> Для напитков,tescoma,Термос tescoma 318531 Constant спортивний 0.5 л,,1699,1,https://comfy.ua/termos-tescoma-318531-constant-sportivnyj-0-5-l.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
805738085,,,,,.1766223,Техника для дома >> Аксессуары к мелкой технике,electrolux,Насадка для пилососа Electrolux ESBA9,,799,1,https://comfy.ua/nasadka-dlja-pylesosa-electrolux-esba9.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
805740420,6679795,TRUST,Гарнитура TRUST Primo Touch True Wireless Mic Blue (23780),699,1659151,"Аудио, фото и видео >> Наушники >> Наушники Trust",trust,Навушники вкладиші бездротові TWS Trust Primo Touch True Wireless Mic Blue (23780),,699,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-trust-primo-touch-true-wireless-mic-blue-23780.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
805824645,,,,,1760979,Детские товары >> Игрушки >> Конструкторы >> Конструкторы BanBao,banbao,"""Пластиковий конструктор Banbao",,,,,,,,,,
"""""Армія"""" (255 Ел.) 2 в 1 Зенітна установка (6256)""",,515,1,https://comfy.ua/plastikovyj-konstruktor-banbao-armija-255-jel-2-v-1-zenitnaja-ustanovka-6256.html,,06.11.2025 0:34,,"вул. Соборна, 42",Фастів,0,,,,,,,,
805824660,,,,,1759464,"Детские товары >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша Baby Team",baby-team,"Вушні палички дитячі Baby Team с ограничителем, 56 шт. (0100)",,80,1,https://comfy.ua/ushnye-palochki-detskie-baby-team-s-ogranichitelem-56-sht-0100.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
805824679,7031025,BABYONO,Подвеска BABYONO Счастливая луна 38 см White (610),635,1766115,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку BabyOno,babyono,"""Підвіска BabyOno музична """"Щасливий місяць"""" Білий, Висота 24 см (610)""",,715,1,https://comfy.ua/podveska-babyono-muzykal-naja-schastlivyj-mesjac-belyj-vysota-38sm-610.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
805824689,,,,,.1766169,Детские товары >> Игрушки,babyono,"М'яка іграшка BabyOno М'яч, 12см (1276)",,205,1,https://comfy.ua/mjagkaja-igrushka-mjach-babyono-mjach-12sm-1276.html,,06.11.2025 1:35,,"вул. Соборна, 42",Фастів,0
805824718,,,,,1766114,Детские товары >> Игрушки для малышей,babyono,Брязкальце BabyOno Квітка веселки висота 20 см (609),,329,1,https://comfy.ua/pogremushka-babyono-cvetok-radugi-vysota-20-sm-609.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
805824723,,,,,1766128,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку BabyOno,babyono,"""Брязкальце BabyOno з пищалки """"Видра Маги"""", 24 см (738)""",,279,1,https://comfy.ua/pogremushka-babyono-s-pischalkoj-vydra-magi-24-sm-738.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
805824725,6669634,BOSCH,Пылесос BOSCH BBS611LAG,8999,1762151,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Bosch,bosch,Пилосос ручний для дому Bosch BBS611LAG,,9999,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-bosch-bbs611lag.html,15149,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
805824731,,,,,1766135,Детские товары >> Игрушки для малышей,babyono,"""Брязкальце BabyOno з пищалки """"Винахідливий слоник"""", Висота 27см (1193)""",,359,1,https://comfy.ua/pogremushka-babyono-s-pischalkoj-nahodchivyj-slonik-vysota-27sm-1193.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
805824733,6677049,ELECTROLUX,Пылесос ELECTROLUX PD82-4ST,8699,1765570,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Electrolux,electrolux,Пилосос для сухого прибирання з мішком Electrolux PD82-4ST,,8699,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-electrolux-pd82-4st.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
805918722,6966945,KARCHER,Средство для мытья пола KARCHER FloorPro Extra RM 752 10 л (6.295-813.0),1579,1762046,Бытовая химия >> Все для уборки,karcher,Засіб для чищення універсальний Karcher Extra RM 752 (6.295-813.0),,1579,1,https://comfy.ua/catalog/product/view/id/2041963,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
805961681,7057083,STRATEG,Набор для творчества STRATEG Little Princess (30415),164,1762781,Детские товары >> Творчество и развитие,strateg,"""Набір для виготовлення декору Strateg сумочка """"Little Princess"""" (30415)""",,289,1,https://comfy.ua/catalog/product/view/id/2068143,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
805969299,,,,,.1723076,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 631414 Delicia,,199,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-631414-delicia.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
805971965,,,,,1767156,Техника для кухни >> Мелкая техника,gorenje,Міксер Gorenje M460CDC,,1429,1,https://comfy.ua/catalog/product/view/id/2062383,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
805980478,6475807,LUMINARC,Контейнер LUMINARC KEEP'N BOX Lagoon 1.97 л (P5516),249,1763421,Посуда >> Для хранения >> Емкости для хранения >> Емкости для хранения Luminarc,luminarc,Ємність для зберігання Luminarc Keep'n Box Lagoon 1970 мл (P5516),,249,1,https://comfy.ua/emkost-dlja-hranenija-luminarc-keep-n-box-lagoon-1970-ml-p5516.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
805981771,6663669,KARCHER,Чистящее средство KARCHER RM503 4 х 20 мл (6.295-302.0),169,1764954,Бытовая химия >> Все для уборки >> Средства для мытья окон >> Средства для мытья окон Karcher,karcher,Засіб для чищення скла Karcher 4х20 мл (6.295-302.0),,169,1,https://comfy.ua/chistjaschee-sredstvo-dlja-stekla-karcher-4h20-ml-6-295-302-0.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
805983393,,,,,1766838,Бытовая химия >> Средства для чистки техники,karcher,Шампунь до мінімийки Karcher RM 806 10 л (9.610-749.0),,1299,1,https://comfy.ua/shampun-dlja-minimojki-karcher-rm-806-10-l-9-610-749-0.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
805984481,,,,,1762810,Детские товары >> Творчество и развитие,strateg,"""Маса для ліплення Strateg і настільна гра """"Junglе"""" (укр.) (71409)""",,185,1,https://comfy.ua/catalog/product/view/id/2070493,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
805986293,,,,,1767055,Техника для кухни >> Крупная техника,whirlpool,Посудомийна машина вбудована Whirlpool WI 7020 P,,14999,1,https://comfy.ua/catalog/product/view/id/2061263,18199,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
805988707,6661849,TEFAL,Сковорода TEFAL Healthy Chef 24 см Grey (G1500472),1299,1765089,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода універсальна Tefal Healthy Chef 24 см (G1500472),,1289,1,https://comfy.ua/skovoroda-universal-naja-tefal-healthy-chef-24-sm-g1500472.html,1869,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
805989014,6661845,TEFAL,Сковорода TEFAL Healthy Chef 28 см Grey (G1500672),1499,1765090,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода універсальна Tefal Healthy Chef 28 см (G1500672),,1424,1,https://comfy.ua/skovoroda-universal-naja-tefal-healthy-chef-28-sm-g1500672.html,2199,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
805989016,7069660,DE BUYER,Сковорода DE BUYER Mineral B 26 см Silver (5610.26),3479,1765947,Посуда >> Для приготовления >> Сковороды >> Сковороды de Buyer,de-buyer,Сковорода універсальна de Buyer 26 см 5610.26,,3479,1,https://comfy.ua/skovoroda-universal-naja-de-buyer-26-sm-5610-26.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
806000666,,,,,1762810,Детские товары >> Творчество и развитие >> Лепка >> Лепка Strateg,strateg,"""Маса для ліплення Strateg і настільна гра """"Junglе"""" (укр.) (71409)""",,185,1,https://comfy.ua/massa-dlja-lepki-strateg-i-nastol-naja-igra-jungle-ukr-71409.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
806000671,,,,,1762760,Детские товары >> Творчество и развитие,strateg,Маса для ліплення Strateg Gumi Clay (укр.) (71505),,235,1,https://comfy.ua/massa-dlja-lepki-strateg-gumi-clay-ukr-71505.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
806000682,,,,,1762812,Детские товары >> Творчество и развитие,strateg,Маса для ліплення Strateg Gumi Clay - 11 кольорів по 10 гр. (71859),,96,1,https://comfy.ua/massa-dlja-lepki-strateg-gumi-clay-11-cvetov-po-10-gr-71859.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
