1004043594,6743691,PHILIPS,"""Монитор PHILIPS 21.5"""" 222B1TC/00""",11599,1852849,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Philips",philips,Монітор Philips 222B1TC/00,,11599,1,https://comfy.ua/monitor-philips-222b1tc-00.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1004116472,6740275,VINZER,"Чайник VINZER Nero 2,5 л (50010)",2098,1846262,Посуда >> Для напитков,vinzer,Чайник металевий Vinzer Nero 2.5 л (50010),,2098,1,https://comfy.ua/catalog/product/view/id/2853603,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1004458823,,,,,1828461,Техника для дома >> Климатическая техника,wetair,Обігрівач інфрачервоний WetAir WQH-2000B,,699,1,https://comfy.ua/catalog/product/view/id/2838083,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1004954915,,,,,1843559,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Точка доступу TP-Link CPE610,,2999,1,https://comfy.ua/catalog/product/view/id/2818283,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1005505045,6790029,KINGSTON,Флеш-драйв Kingston DataTraveler Max 512GB (DTMAX/512GB),3039,1854600,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Kingston",kingston,Флеш USB Kingston USB3.2 Gen 2 DataTraveler Max  (DTMAX/512GB),,3039,1,https://comfy.ua/flesh-usb-kingston-usb3-2-gen-2-datatraveler-max-dtmax-512gb.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1006165554,,,,,1846255,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",epson,"Картридж для струменевих принтерів/БФП Epson ERC-09B / M160, M180, M190 (C43S015354)",,63,1,https://comfy.ua/catalog/product/view/id/2868373,135,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1006387908,,,,,1816469,Техника для кухни >> Крупная техника,minola,Витяжка вбудована Minola MTL 6292 GR 700 LED,,2969,1,https://comfy.ua/catalog/product/view/id/2802043,3299,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1006387913,,,,,1816467,Техника для кухни >> Крупная техника,minola,Витяжка вбудована Minola MTL 6292 WH 700 LED,,2969,1,https://comfy.ua/catalog/product/view/id/2801863,3299,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1008180060,,,,,1852093,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",maxxter,Миша дротова Maxxter MС-3B01,,99,1,https://comfy.ua/catalog/product/view/id/2888343,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1008337891,6736796,PHILIPS,Утюг PHILIPS DST3040/70,2299,1849605,Техника для дома >> Мелкая техника >> Утюги >> Утюги Philips,philips,Праска Philips DST3040/70,,2299,1,https://comfy.ua/utjug-philips-dst3040-70.html,2799,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1010230710,6714656,ASUS,Wi-Fi роутер ASUS RT-AX53U AX1800 MU-MIMO OFDMA,2377,1845208,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Asus",asus,Маршрутизатор інтернет WiFi6 Asus RT-AX53U,,2299,1,https://comfy.ua/marshrutizator-internet-lan-asus-rt-ax53u.html,3319,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1010237259,6736966,NETGEAR,Wi-Fi роутер NETGEAR RAX120 Nighthawk AX6000 WiFi 6 4xGE LAN (RAX120-100EUS),9999,1852429,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Netgear",netgear,Маршрутизатор інтернет WiFi6 Netgear RAX120-100EUS,,7835,1,https://comfy.ua/marshrutizator-internet-wifi6-netgear-rax120-100eus.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1010483676,6700784,VINZER,Нож разделочный VINZER Professional 15 см (50262),529,1849034,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Vinzer,vinzer,Ніж для м'яса Vinzer Mid point Butche 50262,,472,1,https://comfy.ua/nozh-dlja-mjasa-vinzer-mid-point-butche-50262.html,590,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1010483676,7058885,VINZER,Нож для мяса VINZER Professional Line 13.3 см (50262),588,1849034,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Vinzer,vinzer,Ніж для м'яса Vinzer Mid point Butche 50262,,472,1,https://comfy.ua/nozh-dlja-mjasa-vinzer-mid-point-butche-50262.html,590,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1012244294,6803547,KERMI,Радиатор KERMI Therm-X2 Profil-V FTV 22 500 х 1300 мм (FTV220501301R2Z),14342,1853017,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Profil-V, FTV 22, 500X1300 мм (FTV220501301R2Z)",,14519,1,https://comfy.ua/radiator-otoplenija-kermi-profil-v-ftv-22-500x1300-mm-ftv220501301r2z.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1012271248,,,,,1846312,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",cablexpert,"Хаб USB Cablexpert USB-С на Gigabit Ethernet, 3 Ports USB 3.1 (A-CMU3-LAN-01)",,699,1,https://comfy.ua/catalog/product/view/id/2852613,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,2
1012297216,6740069,BENQ,Монитор BENQ EX2710S (9H.LKFLA.TBE),7769,.1854476,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",benq,Монітор ігровий BenQ EX2710S (9H.LKFLA.TBE) Dark Grey,,7769,1,https://comfy.ua/monitor-igrovoj-benq-ex2710s-9h-lkfla-tbe-dark-grey.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1012304063,,,,,1852427,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Netgear",netgear,Коммутатор локальної мережі (Switch) Netgear GS605-400PES,,652,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-netgear-gs605-400pes.html,1055,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1012304920,,,,,1855403,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Chicco",chicco,Шампунь для дітей Chicco Baby Moments Kids для легкого розчісування (10250.00),,349,1,https://comfy.ua/shampun-dlja-detej-chicco-baby-moments-kids-dlja-legkogo-raschesyvanija-10250-00.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1012305685,,,,,1855405,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Chicco",chicco,Зубна паста дитяча Chicco Тутті-Фрутті з фтором 50 мл (10608.00),,209,1,https://comfy.ua/zubnaja-pasta-detskaja-chicco-tutti-frutti-s-ftorom-50-ml-10608-00.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1012307107,,,,,1855549,Comfy KIDS >> Игрушки >> Машинки и техника >> Машинки и техника BRUDER,bruder,Наземна спецтехніка BRUDER Комбайн Claas Jaguar 900 М1:16 (02131),,2629,1,https://comfy.ua/nazemnaja-spectehnika-bruder-kombajn-claas-jaguar-900-m1-16-02131.html,,06.11.2025 0:00,,"вул. Соборна, 42",Фастів,0
1012403673,,,,,1738117,Техника для кухни >> Крупная техника,ventolux,Варильна поверхня газова Ventolux HG622 B9G RCS (BK),,7299,1,https://comfy.ua/catalog/product/view/id/2937293,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
1012814606,6571932,NUVITA,Набор ложечек NUVITA Easy Eating 6м+ 2 шт. Pink (NV8480Pink),114,1856417,Детские товары >> Кормление,nuvita,Набір дитячих столових приборів для малюка Nuvita силіконові ложечки Easy Eating 6м + 2 шт. Pink (NV8480Pink),,119,1,https://comfy.ua/catalog/product/view/id/2937673,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
1012854004,,,,,1856414,Детские товары >> Кормление,nuvita,Ортодонтична пустушка Nuvita Air 0м+ 2 шт. (NV7060Boy),,199,1,https://comfy.ua/catalog/product/view/id/2937533,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
1012866394,7170893,WEILOR,Духовой шкаф WEILOR FTO6F11WT,15999,1849027,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Weilor,weilor,Духова шафа електрична Weilor FTO6F11WT,,15999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-weilor-fto6f11wt.html,19999,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
