747297996,column,column,column,column,1683535,Посуда >> Для сервировки,wmf,___wmf_1289616046_geschenkidee___6_,column,3499,1,httpscomfyuanabornozhejstolovyhwmf1289616046geschenkideedljastejka6prhtml,column,05112025_1905,column,__42,Фастів,0
747297418,,,,,1683593,Посуда >> Кухонные аксессуары,wmf,Набір приладдя для салату WMF 1291416040 NUOVA 2 пр. 30 см,,1099,1,https://comfy.ua/nabor-prinadlezhnostej-dlja-salata-wmf-1291416040-nuova-2-pr-30-sm.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
747297420,,,,,1683507,Посуда >> Для сервировки,wmf,Набір столових приборів WMF 1291556040 ZWERGE 4 пр.,,899,1,https://comfy.ua/nabor-stolovyh-priborov-wmf-1291556040-zwerge-4-pr.html,1199,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
747297422,,,,,1683511,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы WMF,wmf,Набір столових приборів WMF 1294056040 DER KLEINE PRINZ 4 пр.,,999,1,https://comfy.ua/nabor-stolovyh-priborov-wmf-1294056040-der-kleine-prinz-4-pr.html,1399,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
747297989,,,,,1684369,Посуда >> Для напитков,wmf,Термокувшин WMF 690697390 IMPULSE 1 л Black,,2799,1,https://comfy.ua/termokuvshin-wmf-690697390-impulse-1-l-black.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
747297990,,,,,1684373,Посуда >> Для напитков,wmf,Термокувшин WMF 690687270 IMPULSE 1 л Dark Grey,,3099,1,https://comfy.ua/termokuvshin-wmf-690687270-impulse-1-l-dark-grey.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
747297993,,,,,1684366,Посуда >> Для напитков,wmf,Термокувшин WMF 690676040 IMPULSE 1 л,,5999,1,https://comfy.ua/termokuvshin-wmf-690676040-impulse-1-l.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
747297994,,,,,1684367,Посуда >> Для напитков,wmf,Термокувшин WMF 690666600 IMPULSE 1 л,,6999,1,https://comfy.ua/termokuvshin-wmf-690666600-impulse-1-l.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
747297995,,,,,1684365,Посуда >> Для напитков,wmf,Термокувшин WMF 690676600 IMPULSE 1 л,,6999,1,https://comfy.ua/termokuvshin-wmf-690676600-impulse-1-l.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
747297996,,,,,1683535,Посуда >> Для сервировки,wmf,Набір ножів столових WMF 1289616046 GESCHENKIDEE для стейка 6 пр.,,3499,1,https://comfy.ua/nabor-nozhej-stolovyh-wmf-1289616046-geschenkidee-dlja-stejka-6-pr.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
747297998,,,,,1682885,Посуда >> Для сервировки,wmf,Набір столових приборів WMF 1272916040 PALMA 30 пр.,,6599,1,https://comfy.ua/nabor-stolovyh-priborov-wmf-1272916040-palma-30-pr.html,7999,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
747297999,,,,,1682889,Посуда >> Для сервировки,wmf,Набір столових приборів WMF 1178919990 ALTEO matt 30 пр.,,6999,1,https://comfy.ua/nabor-stolovyh-priborov-wmf-1178919990-alteo-matt-30-pr.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
747298000,,,,,.1683428,Посуда >> Для сервировки,wmf,Набір столових приборів WMF 1178009990 ALTEO matt 60 пр.,,12999,1,https://comfy.ua/nabor-stolovyh-priborov-wmf-1178009990-alteo-matt-60-pr.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
747298001,,,,,1683459,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы WMF,wmf,Набір столових приборів WMF 1166009999 PHILADELPHIA 60 пр.,,10999,1,https://comfy.ua/nabor-stolovyh-priborov-wmf-1166009999-philadelphia-60-pr.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
747298002,,,,,1682878,Посуда >> Для сервировки,wmf,Набір столових приборів WMF 1120916040 BOSTON 30 пр.,,8999,1,https://comfy.ua/nabor-stolovyh-priborov-wmf-1120916040-boston-30-pr.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
747298005,,,,,1682879,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы WMF,wmf,Набір столових приборів WMF 1120009002 BOSTON 60 пр.,,12999,1,https://comfy.ua/nabor-stolovyh-priborov-wmf-1120009002-boston-60-pr.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
747298008,,,,,1682852,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы WMF,wmf,Набір столових приборів WMF 1140006341 MERIT CROMARGAN PROTECT 66 пр.,,32999,1,https://comfy.ua/nabor-stolovyh-priborov-wmf-1140006341-merit-cromargan-protect-66-pr.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
747298855,6573216,EINHELL,Кейс EINHELL для инструментов E-Box S35 (4530045),1035,1591538,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Einhell,einhell,Ящик для інструментів Einhell E-Box S35 кейс (4530045),,1105,1,https://comfy.ua/jaschik-dlja-instrumentov-einhell-e-box-s35-kejs-4530045.html,,05.11.2025 22:17,,"вул. Соборна, 42",Фастів,0
747299359,,,,,1662734,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Ryobi,ryobi,Набір свердел Ryobi і біт RAK60DDF 60 шт.,,1349,1,https://comfy.ua/nabor-sverl-ryobi-i-bit-rak60ddf-60-sht.html,1499,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
747320451,,,,,1681956,Посуда >> Для приготовления,wmf,"Ківш WMF 710786041 MINI 10 см, 0,5 л",,939,1,https://comfy.ua/catalog/product/view/id/1373383,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
747320452,,,,,1681960,Посуда >> Для приготовления,wmf,"Ківш WMF 714786041 MINI 14 см, 0,9 л",,1099,1,https://comfy.ua/catalog/product/view/id/1373403,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
747320454,,,,,1681962,Посуда >> Для приготовления,wmf,"Ківш WMF 716786040 MINI 16 см, 1,2 л",,1799,1,https://comfy.ua/catalog/product/view/id/1373413,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
747320466,,,,,1681858,Посуда >> Для приготовления,wmf,"Каструля WMF 712776040 MINI 12 см, 1 л",,1199,1,https://comfy.ua/catalog/product/view/id/1371873,1599,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
747320467,6617182,LOGITECH,Гарнитура LOGITECH G733 LIGHTSPEED Wireless RGB WHITE (981-000883),8299,1693861,"Аудио, фото и видео >> Наушники >> Наушники Logitech",logitech,Гарнітура бездротова ігрова Logitech G733 Lightspeed White (981-000883),,8299,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-logitech-g733-lightspeed-white-l981-000883.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
747320472,,,,,1681859,Посуда >> Для приготовления,wmf,"Каструля WMF 714776040 MINI 14 см, 1,3 л",,1299,1,https://comfy.ua/catalog/product/view/id/1371883,1699,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
747320474,,,,,1681939,Посуда >> Для приготовления,wmf,"Каструля WMF 716766040 MINI 16 см, 1,5 л",,1399,1,https://comfy.ua/catalog/product/view/id/1373093,1799,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
747320486,,,,,1681976,Посуда >> Для приготовления,wmf,"Каструля WMF 718826040 Pasta cooker MINI 18718826040 MINI 3 л, 18 см",,2799,1,https://comfy.ua/catalog/product/view/id/1373473,3499,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
