1649720242,6949813,KELA,Фартук KELA Puro 85x70 см Gray (12802),1489,2664886,"Дом, отдых и зоотовары >> Текстиль >> Кухонный текстиль >> Кухонный текстиль Kela",kela,Фартух Kela Puro Gray (12802),,1489,1,https://comfy.ua/fartuk-kela-puro-gray-12802.html,2289,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
1649720307,6950058,MASTERPRO,Вінчик MASTERPRO Foodies collection 31 см (BGMP-4852),249,2802868,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Masterpro,masterpro,Вінчик Masterpro Foodies collection 31 см (BGMP-4852),,249,1,https://comfy.ua/venchik-masterpro-foodies-collection-31-sm-bgmp-4852.html,389,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1649720373,6950115,MASTERPRO,Ложка для спагетти MASTERPRO Foodies collection 34.5 см (BGMP-4589),249,2808132,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Masterpro,masterpro,Ложка для спагетті Masterpro Foodies collection 34.5 см (BGMP-4589),,249,1,https://comfy.ua/lozhka-dlja-spagetti-masterpro-foodies-collection-34-5-sm-bgmp-4589.html,439,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1649720443,6950067,MASTERPRO,Термометр для вина MASTERPRO Foodies oenology (BGMP-5110),529,2800116,Посуда >> Для сервировки >> Принадлежности для бара >> Принадлежности для бара Masterpro,masterpro,Термометр для вина Masterpro Foodies oenology (BGMP-5110),,529,1,https://comfy.ua/termometr-dlja-vina-masterpro-foodies-oenology-bgmp-5110.html,949,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1649720529,6950052,MASTERPRO,Половник MASTERPRO Foodies collection 35 см (BGMP-4520),169,2799493,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Masterpro,masterpro,Ополоник Masterpro Foodies collection 35 см (BGMP-4520),,169,1,https://comfy.ua/polovnik-masterpro-foodies-collection-35-sm-bgmp-4520.html,309,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1649720539,6950119,MASTERPRO,Половник MASTERPRO Foodies collection 35.7 см (BGMP-4585),379,2808137,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Masterpro,masterpro,Ополоник Masterpro Foodies collection 35.72 см (BGMP-4585),,379,1,https://comfy.ua/polovnik-masterpro-foodies-collection-35-72-sm-bgmp-4585.html,579,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
1649721145,6950044,MASTERPRO,"Топорик MASTERPRO Elegance 17,5 см (BGMP-4430)",1289,2800118,Посуда >> Нарезка и измельчение >> Топоры кухонные >> Топоры кухонные Masterpro,masterpro,"Сокира кухонна Masterpro Elegance 17,5 см (BGMP-4430)",,1289,1,https://comfy.ua/topor-kuhonnyj-masterpro-elegance-17-5-sm-bgmp-4430.html,2339,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1649721228,6949844,BERGNER,Набор чашек BERGNER Coffee & tea lovers 100 мл 2 шт (BG-20114-MM),719,2808183,Посуда >> Для напитков >> Чашки >> Чашки Bergner,bergner,Набір чашок з подвійними стінками Bergner Coffee & tea lovers 100 мл 2 шт. (BG-20114-MM),,719,1,https://comfy.ua/nabor-chashek-s-dvojnymi-stenkami-bergner-coffee-tea-lovers-100-ml-2-sht-bg-20114-mm.html,899,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1649721236,6949846,BERGNER,Набор чашек BERGNER Coffee & tea lovers 400 мл 2 шт (BG-20116-MM),899,2808185,Посуда >> Для напитков >> Чашки >> Чашки Bergner,bergner,Набір чашок з подвійними стінками Bergner Coffee & tea lovers 400 мл 2 шт. (BG-20116-MM),,899,1,https://comfy.ua/nabor-chashek-s-dvojnymi-stenkami-bergner-coffee-tea-lovers-400-ml-2-sht-bg-20116-mm.html,1619,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1649721242,6949734,KELA,Набор кружек KELA Mattia 300 мл 2 шт White (12749),1129,2369111,Посуда >> Для напитков >> Чашки >> Чашки Kela,kela,Набір чашок Kela Mattia White 300 мл 2 шт. (12749),,1129,1,https://comfy.ua/nabor-chashek-kela-mattia-white-300-ml-2-sht-12749.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1649723441,6949797,KELA,Полотенце KELA Cora Green (12823),349,2664866,"Дом, отдых и зоотовары >> Текстиль >> Полотенца >> Полотенца Kela",kela,Рушник кухонний Kela Cora Green (12823),,349,1,https://comfy.ua/polotence-kuhonnoe-kela-cora-green-12823.html,529,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1649723454,6949798,KELA,Полотенце KELA Cora Green (12824),299,2664867,"Дом, отдых и зоотовары >> Текстиль >> Полотенца >> Полотенца Kela",kela,Рушник кухонний Kela Cora Green (12824),,299,1,https://comfy.ua/polotence-kuhonnoe-kela-cora-green-12824.html,529,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1649723476,6949796,KELA,Полотенце KELA Cora Green (12822),349,2664865,"Дом, отдых и зоотовары >> Текстиль >> Полотенца >> Полотенца Kela",kela,Рушник кухонний Kela Cora Green (12822),,349,1,https://comfy.ua/polotence-kuhonnoe-kela-cora-green-12822.html,529,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
