1688886023,column,column,column,column,2956992,Смартфоны и телефоны >> Аксессуары для смартфонов,xoko,____xoko_full_cover_ultrathin_025_black_for_iphone_15___ultra_thin_proof_xkcsultapip15,column,299,1,httpscomfyuazaschitnoesteklodljasmartfonaxokofullcoverultrathin025mmblackforiphone15cheholultrathinproofxkcsultapip15html,column,05112025_2017,column,__42,Фастів,0
1688917373,6986718,ROTEX,Кофемолка ROTEX RCG305-T MultiPro,1299,2959123,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки Rotex,rotex,Кавомолка Rotex RCG305-T MultiPro,,1299,1,https://comfy.ua/kofemolka-rotex-rcg305-t-multipro.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1688918707,,,,,.2941729,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 4070 12GB N 3241 (i714700FRTX407012GBN3241),,70083,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-4070-12gb-n-3241-i714700frtx407012gbn3241.html,80555,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1688918708,,,,,.2941470,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 13700F RTX 4070 SUPER 12GB NM 1641 (i713700FRTX4070S12GBNM1641),,68004,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-13700f-rtx-4070-super-12gb-nm-1641-i713700frtx4070s12gbnm1641.html,78165,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1688918710,,,,,.2940636,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 13400F RTX 4070 SUPER 12GB NM 3242Win (i513400FRTX4070S12GBNM3242Win),,69135,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-13400f-rtx-4070-super-12gb-nm-3242win-i513400frtx4070s12gbnm3242win.html,79465,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
1688918711,,,,,.2941776,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700KF RTX 4060 8GB W1 64102 (i714700KFRTX40608GBW164102),,73775,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700kf-rtx-4060-8gb-w1-64102-i714700kfrtx40608gbw164102.html,84799,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1688918722,,,,,.2940236,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7500F RTX 4070 SUPER 12GB NM 6410 (Ryzen57500FRTX4070S12GBNM6410),,70304,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7500f-rtx-4070-super-12gb-nm-6410-ryzen57500frtx4070s12gbnm6410.html,80809,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1688918723,,,,,.2940274,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7600X RTX 4060 Ti 16GB NM 64102Win (Ryzen57600XRTX4060Ti16GBNM64102Win),,75164,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7600x-rtx-4060-ti-16gb-nm-64102win-ryzen57600xrtx4060ti16gbnm64102win.html,86395,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1688918724,,,,,.2940403,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 7 7700X RTX 4060 Ti 16GB W1 32102 (Ryzen77700XRTX4060Ti16GBW132102),,72388,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-7-7700x-rtx-4060-ti-16gb-w1-32102-ryzen77700xrtx4060ti16gbw132102.html,83205,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1688919344,,,,,.2940277,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 7600X RTX 4070 SUPER 12GB NM 32102 (Ryzen57600XRTX4070S12GBNM32102),,69608,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-7600x-rtx-4070-super-12gb-nm-32102-ryzen57600xrtx4070s12gbnm32102.html,80009,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1688919348,,,,,.2941730,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 14700F RTX 4070 12GB N 3242 (i714700FRTX407012GBN3242),,70304,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-14700f-rtx-4070-12gb-n-3242-i714700frtx407012gbn3242.html,80809,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
