819710057,column,column,column,column,1770026,___________frosch,frosch,____frosch__500_,column,109,1,httpscomfyuazhidkoemylodljarukfroschlavanda500mlhtml,187,05112025_1839,column,__42,Фастів,0
819710057,,,,,1770026,Красота и здоровье >> Косметика для тела >> Мыло >> Мыло Frosch,frosch,Рідке мило для рук Frosch Лаванда 500 мл,,109,1,https://comfy.ua/zhidkoe-mylo-dlja-ruk-frosch-lavanda-500-ml.html,187,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
819710061,,,,,1770060,Красота и здоровье >> Косметика для тела >> Мыло >> Мыло Frosch,frosch,Рідке мило для рук Frosch Алое Віра 500 мл,,132,1,https://comfy.ua/zhidkoe-mylo-dlja-ruk-frosch-aloje-vera-500-ml.html,189,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
819710073,,,,,1770024,Красота и здоровье >> Косметика для тела,frosch,Рідке мило для рук Frosch д/чутливої ??шкіри 300 мл,,179,1,https://comfy.ua/zhidkoe-mylo-dlja-ruk-frosch-d-chuvstvitel-noj-kozhi-300-ml.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
819710089,,,,,1773168,Красота и здоровье >> Уход за полостью рта >> Зубные щетки >> Зубные щетки Colgate,colgate,Зубна щітка Colgate Шовкові нитки з деревним вугіллям,,175,1,https://comfy.ua/zubnaja-schetka-colgate-shelkovye-niti-s-drevesnym-uglem.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
819710093,,,,,1692716,Посуда >> Нарезка и измельчение >> Подставки для ножей >> Подставки для ножей Tescoma,tescoma,Планка для кухоних іструментов tescoma 638699 President,,1499,1,https://comfy.ua/planka-dlja-kuhonnyh-istrumentov-tescoma-638699-president.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
819710096,,,,,1785580,Красота и здоровье >> Уход за полостью рта,colgate,Зубна щітка Colgate Зиг Заг Деревне вугілля,,54,1,https://comfy.ua/zubnaja-schetka-colgate-zig-zag-drevesnyj-ugol.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
819710105,,,,,1682812,Посуда >> Нарезка и измельчение,wmf,Підставка для ножів WMF 1880509999,,3799,1,https://comfy.ua/podstavka-dlja-nozhej-wmf-1880509999.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
819710106,,,,,1682813,Посуда >> Нарезка и измельчение,wmf,Підставка для ножів WMF 1873776040,,4999,1,https://comfy.ua/podstavka-dlja-nozhej-wmf-1873776040.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
819710108,,,,,1690118,Посуда >> Нарезка и измельчение,tescoma,Органайзер для столових приборів tescoma 899415 FlexiSpace для ножів 370x148 мм,,1099,1,https://comfy.ua/organajzer-dlja-stolovyh-priborov-tescoma-899415-flexispace-dlja-nozhej-370x148-mm.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
819710166,,,,,1773178,"Красота и здоровье >> Уход за полостью рта >> Зубные пасты, гели и ополаскиватели >> Зубные пасты, гели и ополаскиватели Colgate",colgate,Ополіскувач для порожнини рота Colgate Plax Освіжаюча м'ята 250 мл,,155,1,https://comfy.ua/opolaskivatel-dlja-polosti-rta-colgate-plax-osvezhajuschaja-mjata-250-ml.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
819710194,,,,,1677847,Посуда >> Кухонные аксессуары,tescoma,Пінцет кухонний tescoma 420519 Presto,,299,1,https://comfy.ua/pincet-kuhonnyj-tescoma-420519-presto.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
