745556347,column,column,column,column,1686316,"Аудио, фото и видео >> Наушники по типу",sennheiser,bluetooth_sennheiser_sp_30_,column,11339,1,httpscomfyuabluetoothspikerfonsennheisersp30thtml,column,05112025_1810,column,__42,Фастів,0
745592590,6626747,GEMBIRD,Клавиатура GEMBIRD KB-UM-106-UA,299,1680291,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Gembird",gembird,Клавіатура дротова Gembird KB-UM-106-UA,,299,1,https://comfy.ua/klaviatura-provodnaja-gembird-kb-um-106-ua.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
745593580,,,,,1687011,Техника для кухни >> Крупная техника,aeg,Витяжка вбудована AEG DGE5861HM,,15499,1,https://comfy.ua/vytjazhka-vstraivaemaja-aeg-dge5861hm.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
745596739,,,,,1685216,Посуда >> Для запекания и выпечки,tescoma,Деко tescoma 623016 Delicia 40 x 36 см,,899,1,https://comfy.ua/catalog/product/view/id/1375463,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
745596966,6629656,PHILIPS,Пылесос PHILIPS PowerPro Expert FC9745/09,10999,1687451,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Philips,philips,Пилосос для сухого прибирання без мішка Philips FC9745/09,,10999,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-philips-fc9745.html,13999,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
745596979,6807172,SAMSUNG,Стиральная машина SAMSUNG WW80T3040BW/UA,15499,1682227,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Samsung,samsung,Пральна машина Samsung WW80T3040BW/UA,,15499,1,https://comfy.ua/stiral-naja-mashina-samsung-ww80t3040bw-ua.html,19899,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
745596990,6632936,CANDY,Стиральная машина CANDY CSO4 1275TE/1-S,11999,1689393,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Candy,candy,Пральна машина Candy CSO4 1275TE/1-S,,10779,1,https://comfy.ua/stiral-naja-mashina-candy-cso4-1275te-1-s.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
745598494,6630876,HATOR,Гарнитура HATOR Hellraizer Black (HTA-812),999,1683451,"Аудио, фото и видео >> Наушники >> Наушники Hator",hator,Гарнітура дротова ігрова Hator Hellraizer Black (HTA-812),,999,1,https://comfy.ua/garnitura-provodnaja-igrovaja-hator-hellraizer-black-hta-812.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
745604011,6587653,BEURER,Щетка для тела BEURER FC 25,2577,1638726,"Красота и здоровье >> Уход за лицом >> Сауны для лица, щеточки, насадки >> Сауны для лица, щеточки, насадки Beurer",beurer,Щітка для тіла Beurer FC 25,,2579,1,https://comfy.ua/schetka-dlja-tela-beurer-fc-25.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
745604080,6434266,BEURER,Прибор для ухода за кожей лица BEURER FC 90,9277,1581565,"Красота и здоровье >> Уход за лицом >> Сауны для лица, щеточки, насадки >> Сауны для лица, щеточки, насадки Beurer",beurer,Прилад для чищення обличчя Beurer FC 90,,9279,1,https://comfy.ua/pribor-dlja-chistki-lica-beurer-fc-90.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
745604185,,,,,1384225,"Красота и здоровье >> Уход за лицом >> Сауны для лица, щеточки, насадки >> Сауны для лица, щеточки, насадки Beurer",beurer,Насадка для косметичної щітки Beurer FC 55,,769,1,https://comfy.ua/nasadka-dlja-kosmeticheskoj-schetki-beurer-fc-55.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
745612104,6623005,BEURER,Грелка для ног BEURER FW 20 Grey,3289,1668339,Красота и здоровье >> Здоровье >> Электротекстиль >> Электротекстиль Beurer,beurer,Електрогрілка для ніг Beurer FW 20 Grey,,3291,1,https://comfy.ua/jelektrogrelka-dlja-nog-beurer-fw-20-grey.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
745612134,6623003,BEURER,Электрическая грелка BEURER HK 125 Cosy Grey,4977,1668340,Красота и здоровье >> Здоровье >> Электротекстиль >> Электротекстиль Beurer,beurer,Електрогрілка Beurer HK 125 Grey,,4979,1,https://comfy.ua/jelektrogrelka-beurer-hk-125-grey.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
745638264,,,,,1677660,Техника для кухни >> Крупная техника,samsung,Холодильник Samsung RB33J3000EL/UA,,24999,1,https://comfy.ua/catalog/product/view/id/1404003,28299,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,1
745638956,,,,,1688850,Красота и здоровье >> Уход за волосами,camry,Стайлер Camry 5-в-1 (CR 2024),,1605,1,https://comfy.ua/stajler-camry-5-v-1-cr-2024.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
745656292,,,,,1689330,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Адаптеры Wi-Fi >> Адаптеры Wi-Fi TP-Link",tp-link,USB-адаптер мережі WiFi TP-Link T4U Plus,,1299,1,https://comfy.ua/usb-adapter-seti-wifi-tp-link-t4u-plus.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
745656949,,,,,1683439,Техника для дома >> Климатическая техника,africa,"Ніжки для конвектора AFRICA №2 для А500, А510, Т500, Т510, Х750, Х760",,589,1,https://comfy.ua/catalog/product/view/id/1379303,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
745656950,,,,,1683438,Техника для дома >> Климатическая техника,africa,"Ніжки для конвектора AFRICA №1 для А400, А370, А700, Т370, Т700, Х550, Х900",,589,1,https://comfy.ua/catalog/product/view/id/1379313,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
745657061,6571222,MESKO,Весы кухонные MESKO MS 3159g,362,1688834,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Mesko,mesko,Ваги кухонні Mesko MS 3159 green,,369,1,https://comfy.ua/vesy-kuhonnye-mesko-ms-3159-green.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
745657474,6625973,SAMSUNG,Холодильник SAMSUNG RB33J3000EL/UA,24999,1677660,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Samsung,samsung,Холодильник Samsung RB33J3000EL/UA,,24999,1,https://comfy.ua/holodil-nik-samsung-rb33j3000el-ua.html,28299,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,1
745657497,6654320,ADLER,Блендер ADLER AD 4076,1269,1688667,Техника для кухни >> Мелкая техника,adler,Блендер стаціонарний Adler AD 4076,,2069,1,https://comfy.ua/blender-stacionarnyj-adler-ad-4076.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
745657696,6490120,BOSCH,Кофемолка BOSCH TSM6A014R,1299,1637447,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки Bosch,bosch,Кавомолка Bosch TSM6A014R,,1299,1,https://comfy.ua/kofemolka-bosch-tsm6a014r.html,1749,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
745657697,6630040,CECOTEC,Кофемолка CECOTEC Compact Titanmill 300 DuoClean (CCTC-01559),1599,1687205,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки Cecotec,cecotec,Кавомолка Cecotec Compact Titanmill 300 DuoClean,,1599,1,https://comfy.ua/kofemolka-cecotec-compact-titanmill-300-duoclean.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
745752707,,,,,1690069,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Кардридеры и хабы >> Кардридеры и хабы Trust",trust,Хаб USB Trust Halyx Aluminium (23786),,299,1,https://comfy.ua/hab-usb-trust-halyx-aluminium-23786.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
745752737,,,,,1685367,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant Asus 220V 19V 90W 4.74A (4.5*3.0) (AS90F4530),,611,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-asus-220v-19v-90w-4-74a-4-5-3-0-as90f4530.html,679,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
745753232,,,,,1688795,Посуда >> Для приготовления,tescoma,Кришка для посуду tescoma 619030 Unicover 30 см,,999,1,https://comfy.ua/catalog/product/view/id/1403153,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
745754520,,,,,1666469,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",hp,Перехідник HP USB 3.1 Type-C --> HDMI/VGA/DP (DHC-CT200),,1599,1,https://comfy.ua/perehodnik-hp-usb-3-1-type-c-hdmi-vga-dp-dhc-ct200.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
