1064301297,6926540,BOSCH,Диск алмазный BOSCH Standard for Concrete 230-22.23 (2.608.602.200),792,1883592,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски Bosch,bosch,Диск алмазний Bosch Standard for Concrete 230-22.23 (2.608.602.200),,795,1,https://comfy.ua/disk-almaznyj-bosch-standard-for-concrete-230-22-23-2-608-602-200.html,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
1064305216,7076974,TEKHMANN,Краскопульт TEKHMANN TSG-750 С (849163),2550,1880197,Инструменты и автотовары >> Электроинструменты >> Распылители краски >> Распылители краски Tekhmann,tekhmann,Розпилювач фарби Tekhmann TSG-750 C (849163),,2549,1,https://comfy.ua/raspylitel-kraski-tekhmann-tsg-750-c-849163.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1064320898,6986064,BOSCH,Краскопульт BOSCH PFS 5000 E 1200Вт (0.603.207.202),8820,1883594,Инструменты и автотовары >> Электроинструменты >> Распылители краски >> Распылители краски Bosch,bosch,Розпилювач фарби Bosch PFS 5000 E (0.603.207.202),,8819,1,https://comfy.ua/raspylitel-kraski-bosch-pfs-5000-e-0-603-207-202.html,,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
1064444801,6746609,SENCOR,Машинка для стрижки SENCOR SHP 8900BK,1849,1880796,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Sencor,sencor,Тример універсальний Sencor SHP 8900BK,,1849,1,https://comfy.ua/trimmer-universal-nyj-sencor-shp-8900bk.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1064450136,6945434,TOLSEN,Болторез TOLSEN Профи 750 мм (10063),1565,1884230,Инструменты и автотовары >> Ручные инструменты >> Ножницы по металлу >> Ножницы по металлу Tolsen,tolsen,Ножиці арматурні Tolsen Профі 750 мм (10063),,1565,1,https://comfy.ua/nozhnicy-armaturnye-tolsen-profi-750-mm-10063.html,,05.11.2025 22:14,,"вул. Соборна, 42",Фастів,0
1064468875,6773225,WIZ,Умная светодиодная лампа WIZ E27 8W 60W 806Lm A60 2700-6500K Wi-Fi (929002383502),519,1883984,Техника для дома >> Умный дом,wiz,Розумна лампа WiZ E27 8W A60 2700-6500K Wi-Fi (929002383502),,519,1,https://comfy.ua/umnaja-lampa-wiz-e27-8w-a60-2700-6500k-wi-fi-929002383502.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1064591777,,,,,.1881037,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",europower,Акумулятор для ДБЖ Europower 12В 40Ач (EP12-40M6),,3800,1,https://comfy.ua/akkumuljator-dlja-ibp-europower-12v-40ach-ep12-40m6.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1064733139,7041032,TOLSEN,Набор бит TOLSEN S2A PZ 1х50 мм 2 шт (20317),38,1884210,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты Tolsen,tolsen,Біта для викрутки Tolsen 1х50 мм 2 шт. (20317),,345,1,https://comfy.ua/nabor-bit-dlja-otvertki-tolsen-1h50-mm-2-sht-20317.html,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
1064870736,6746611,SENCOR,Плойка SENCOR SHS 0850BK,879,1880797,Красота и здоровье >> Уход за волосами >> Плойки и стайлеры >> Плойки и стайлеры Sencor,sencor,Плойка Sencor SHS 0850BK,,879,1,https://comfy.ua/plojka-sencor-shs-0850bk.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1064955797,6769131,VINZER,Набор десертных ложек VINZER 4 шт (50330),372,1880188,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Vinzer,vinzer,Набір кавових ложок Vinzer 4 шт. (50337),,416,1,https://comfy.ua/nabor-kofejnyh-lozhek-vinzer-4-sht-50337.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
