793914800,7042002,TOLSEN,Пружинный зажим TOLSEN 100 мм (10198),29,1751894,Инструменты и автотовары >> Ручные инструменты >> Тиски и струбцины >> Тиски и струбцины Tolsen,tolsen,Струбцина Tolsen 100 мм (10198),,37,1,https://comfy.ua/strubcina-tolsen-100-mm-10198.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
793919530,,,,,1751333,Посуда >> Для напитков,tescoma,Набір чашок tescoma 387715 myCOFFEE з блюдцем 6 шт. Sugar,,1969,1,https://comfy.ua/serviz-kofejnyj-tescoma-387715-mycoffee-s-bljudcem-6-sht-sugar.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
793919531,,,,,1751331,Посуда >> Для напитков,tescoma,Набір чашок tescoma 387714 myCOFFEE з блюдцем 6 шт. Pastels,,1969,1,https://comfy.ua/serviz-kofejnyj-tescoma-387714-mycoffee-s-bljudcem-6-sht-pastels.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
793945436,,,,,1743826,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",hp,"""Сумка для ноутбуку HP Prelude Pro Recycled Topload 15.6"""" (1X645AA)""",,1499,1,https://comfy.ua/catalog/product/view/id/1983443,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
793946109,,,,,1746214,Детские товары >> Игрушки,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Перукарня (маленька) (WZ6626),,999,1,https://comfy.ua/catalog/product/view/id/1995493,1189,06.11.2025 1:40,,"вул. Соборна, 42",Фастів,0
793952016,6671439,OUR GENERATION,Кукла OUR GENERATION Хейли 46 см (BD31246),1187,1755708,Детские товары >> Игрушки,our-generation,Лялька Our Generation Хейлі блондинка з отростающімі волоссям 46 см (BD31246),,1709,1,https://comfy.ua/catalog/product/view/id/1996243,,06.11.2025 1:00,,"вул. Соборна, 42",Фастів,0
794068419,,,,,1705882,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Hot Wheels,hot-wheels,Трек Hot Wheels Подвійна петля (GFH85),,2499,1,https://comfy.ua/trek-hot-wheels-dvojnaja-petlja-gfh85.html,,05.11.2025 23:44,,"вул. Соборна, 42",Фастів,0
794069502,,,,,.1719336,"Аудио, фото и видео >> Аксессуары для фото, видео",case-logic,Сумка для фотокамери зі змін.об'єктивом Case Logic CVBP-106 Black (3204535),,6199,1,https://comfy.ua/sumka-dlja-fotokamery-so-smen-ob-ektivom-case-logic-cvbp-106-black-3204535.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
794088894,,,,,1755671,Детские товары >> Детский транспорт,go-travel,Триколісний самокат GO Travel Самокат складывающийся мятный (LS308MT),,1709,1,https://comfy.ua/catalog/product/view/id/1996963,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
794088901,,,,,1755669,Детские товары >> Игрушки,moose,Інтерактивна іграшка Moose OMG Шоу талантів щеня Хіп Хоп (26118),,359,1,https://comfy.ua/catalog/product/view/id/1996133,,06.11.2025 0:49,,"вул. Соборна, 42",Фастів,0
794119283,6671440,OUR GENERATION,Игровой набор OUR GENERATION Дом Cozy Cabin (BD37961),5946,1755701,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол Our Generation",our-generation,"""Меблі і будиночки для ляльки Our Generation з аксесуарами"""" Cozy Cabin"""" (BD37961)""",,7499,1,https://comfy.ua/mebel-i-domiki-dlja-klassicheskoj-kukly-our-generation-s-aksessuarami-cozy-cabin-bd37961.html,9999,06.11.2025 0:04,,"вул. Соборна, 42",Фастів,0
794119293,,,,,1755704,Детские товары >> Игрушки,our-generation,Лялька Our Generation Кейлін брюнетка зі зростаючим волоссям 46 см (BD31204Z),,1829,1,https://comfy.ua/kukla-klassicheskaja-our-generation-kejlin-brjunetka-s-otrostajuschimi-volosami-46-sm-bd31204z.html,,06.11.2025 0:39,,"вул. Соборна, 42",Фастів,0
794119294,,,,,1755671,Детские товары >> Детский транспорт >> Самокаты >> Самокаты GO Travel,go-travel,Триколісний самокат GO Travel Самокат складывающийся мятный (LS308MT),,1709,1,https://comfy.ua/trjohkoljosnyj-samokat-go-travel-samokat-skladyvajuschijsja-mjatnyj-ls308mt.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
794119309,,,,,1755668,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Happy People,happy-people,"""Радіокерована машинка HappyPeople Машина на РУ """"RED BULL X-raid MINI JCW Buggy"""" 1:16, 30 cм, 2.4 Ghz (ГГц) (H30045)""",,999,1,https://comfy.ua/radioupravljaemyj-avtotransport-happypeople-mashina-na-ru-red-bull-x-raid-mini-jcw-buggy-1-16-30-cm-2-4-ghz-ggc-h30045.html,1399,05.11.2025 23:57,,"вул. Соборна, 42",Фастів,0
794119310,6671439,OUR GENERATION,Кукла OUR GENERATION Хейли 46 см (BD31246),1187,1755708,Детские товары >> Игрушки >> Куклы и пупсы >> Куклы >> Куклы Our Generation,our-generation,Лялька Our Generation Хейлі блондинка з отростающімі волоссям 46 см (BD31246),,1709,1,https://comfy.ua/kukla-klassicheskaja-our-generation-hejli-blondinka-s-otrostajuschimi-volosami-46-sm-bd31246.html,,06.11.2025 1:00,,"вул. Соборна, 42",Фастів,0
794119311,6671434,OUR GENERATION,Кукла-манекен OUR GENERATION Модный парикмахер брюнетка (BD31167D),1745,1755709,Детские товары >> Игрушки >> Салоны красоты и декоративная косметика >> Салоны красоты и декоративная косметика Our Generation,our-generation,Сюжетно-рольова гра. Салон краси Our Generation Лялька-манекен Модний перукар брюнетка (BD31167D),,1495,1,https://comfy.ua/sjuzhetno-rolevaja-igra-salon-krasoty-our-generation-kukla-maneken-modnyj-parikmaher-brjunetka-bd31167d.html,2359,06.11.2025 0:30,,"вул. Соборна, 42",Фастів,0
794119314,,,,,1755669,Детские товары >> Игрушки,moose,Інтерактивна іграшка Moose OMG Шоу талантів щеня Хіп Хоп (26118),,359,1,https://comfy.ua/interaktivnaja-igrushka-plastikovaja-moose-omg-shou-talantov-schenok-hip-hop-26118.html,,06.11.2025 0:49,,"вул. Соборна, 42",Фастів,0
794119315,,,,,1756287,Comfy KIDS >> Творчество и развитие >> Мозаика >> Мозаика XOKO,xoko,Аквамозаїка XOKO Перлина 3200 (XK-PRL-32),,449,1,https://comfy.ua/akvamozaika-xoko-zhemchuzhina-3200-xk-prl-32.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
794119323,6671441,OUR GENERATION,Игровой набор OUR GENERATION Современная кухня (BD37885),2738,1756291,Детские товары >> Игрушки >> Сюжетно-ролевые игры >> Сюжетно-ролевые игры Our Generation,our-generation,Сюжетно-рольова гра. Кухня Our Generation Современная кухня (BD37885),,2899,1,https://comfy.ua/sjuzhetno-rolevaja-igra-kuhnja-our-generation-sovremennaja-kuhnja-bd37885.html,3449,05.11.2025 23:55,,"вул. Соборна, 42",Фастів,0
794119325,6671430,LI'L WOODZEEZ,Игровой набор LI'L WOODZEEZ Павильон с мороженым (WZ6627Z),880,1755811,Детские товары >> Игрушки >> Сюжетно-ролевые игры >> Сюжетно-ролевые игры Li'l Woodzeez,lil-woodzeez,Сюжетно-рольова гра. Магазин Li'l Woodzeez Павильон с мороженым маленький (WZ6627Z),,999,1,https://comfy.ua/sjuzhetno-rolevaja-igra-magazin-li-l-woodzeez-pavil-on-s-morozhenym-malen-kij-wz6627z.html,1189,06.11.2025 0:09,,"вул. Соборна, 42",Фастів,0
794119327,,,,,1746214,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Перукарня (маленька) (WZ6626),,999,1,https://comfy.ua/kollekcionnye-figurki-li-l-woodzeez-parikmaherskaja-malen-kaja-wz6626.html,1189,06.11.2025 1:40,,"вул. Соборна, 42",Фастів,0
794119351,,,,,1707224,Детские товары >> Игрушки для малышей,baby-team,Інтерактивний ключ Baby Team Ключики (8622),,245,1,https://comfy.ua/interaktivnyj-kljuch-baby-team-kljuchiki-8622.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
794119352,,,,,1707210,Детские товары >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Baby Team,baby-team,Інтерактивний музичний інструмент Baby Team Труба (8625_труба),,175,1,https://comfy.ua/interaktivnyj-muzykal-nyj-instrument-baby-team-truba-8625-truba.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
794119355,,,,,1707199,Детские товары >> Игрушки для малышей,baby-team,Інтерактивний транспорт Baby Team Автобус (8633_автобус жовтий),,339,1,https://comfy.ua/interaktivnyj-transport-baby-team-avtobus-8633-avtobus-zheltyj.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
