1038058652,column,column,column,column,1866093,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,arkade,_arkade___black_850002584080,column,199,1,httpscomfyuacatalogproductviewid3056723,column,05112025_1831,column,__42,Фастів,0
1038191049,6895026,RYOBI,Сучкорез аккумуляторный RYOBI ONE+ RY18PLA-0 (5133004575),9499,1868717,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Ryobi,ryobi,Ножиці акумуляторні для газону Ryobi ONE+ RY18PLA-0,,9499,1,https://comfy.ua/nozhnicy-akkumuljatornye-dlja-gazona-ryobi-one-ry18pla-0.html,10699,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1038191436,7134849,MERLION,Аккумуляторная батарея MERLION 12V 120Ah 1/30 (GL121200M8),10690,1865965,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Аккумуляторы для ИБП >> Аккумуляторы для ИБП Merlion",merlion,Акумулятор для ДБЖ Merlion 12V 120Ah GEL (GL121200M8),,11000,1,https://comfy.ua/akkumuljator-dlja-ibp-merlion-12v-120ah-gel-gl121200m8.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1038192200,6635791,BOSCH,Набор лобзиковых пилочек BOSCH Wood 10 шт (2.607.011.169),483,1730446,Инструменты и автотовары >> Расходные материалы >> Полотна и цепи для пил и лобзиков >> Полотна и цепи для пил и лобзиков Bosch,bosch,Полотно Bosch Wood 10 шт. (2.607.011.169),,485,1,https://comfy.ua/polotno-bosch-wood-10-sht-2-607-011-169.html,,05.11.2025 22:08,,"вул. Соборна, 42",Фастів,0
1038192902,,,,,1869083,Инструменты и автотовары >> Электроинструменты,makita,Гайковерт акумуляторний Makita DTD153Z,,6525,1,https://comfy.ua/gajkovert-akkumuljatornyj-makita-dtd153z.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1038200879,,,,,1868464,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Підсилювач бездротового сигнала TP-Link RE315,,1499,1,https://comfy.ua/usilitel-besprovodnogo-signala-tp-link-re315.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1038299141,7041758,TOLSEN,Молоток столярный TOLSEN 16 oz (25030),208,1863178,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Tolsen",tolsen,Молоток Tolsen 450 г (25030),,279,1,https://comfy.ua/molotok-tolsen-450-g-25030.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
1038561696,6789429,ARDESTO,Френч-пресс ARDESTO Gemini Fasano 350 мл (AR1935FFP),245,1865992,Посуда >> Для напитков,ardesto,Френч-прес Ardesto Gemini Fasano 350 мл (AR1935FFP),,245,1,https://comfy.ua/catalog/product/view/id/3062703,325,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1038561697,6789425,ARDESTO,Френч-пресс ARDESTO Gemini Asti 350 мл (AR1935AFP),245,1865991,Посуда >> Для напитков,ardesto,Френч-прес Ardesto Gemini Asti 350 мл (AR1935AFP),,245,1,https://comfy.ua/catalog/product/view/id/3062713,325,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1038615443,7088447,ADATA,Внешний жесткий диск ADATA 1TB HD680 Black (AHD680-1TU31-CBK),2853,1868993,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Жесткие диски и аксессуары >> Жесткие диски и аксессуары ADATA",adata,"""Жорсткий диск зовнішній ADATA 2.5"""" 1TB (AHD680-1TU31-CBK)""",,2855,1,https://comfy.ua/zhestkij-disk-vneshnij-adata-2-5-1tb-ahd680-1tu31-cbk.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1038615668,6789430,ARDESTO,Френч-пресс ARDESTO Gemini Fasano 600 мл (AR1906FFP),355,1865986,Посуда >> Для напитков,ardesto,Френч-прес Ardesto Fasano 600 мл (AR1906FFP),,355,1,https://comfy.ua/catalog/product/view/id/3062773,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1038615671,6789423,ARDESTO,Френч-пресс ARDESTO Fresh 800 мл (AR1108BFM),447,1865982,Посуда >> Для напитков,ardesto,Френч-прес Ardesto Fresh 800 мл Blue Tiffany (AR1108BFM),,519,1,https://comfy.ua/catalog/product/view/id/3062813,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1038629620,,,,,1868970,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",frime,Зарядний пристрій для ноутбука Frime Asus 19V 2.1A 40W 2.5x0.7мм + каб. (F19V2.1A40W_ASUS2507),,499,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-frime-asus-19v-2-1a-40w-2-5x0-7mm-kab-f19v2-1a40w-asus2507.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
1038629664,,,,,1868968,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",frime,Зарядний пристрій для ноутбука Frime HP 19.5V 3.33A 65W 4.8x1.7мм + каб. (F19.5V3.33A65W_HP4817),,499,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-frime-hp-19-5v-3-33a-65w-4-8x1-7mm-kab-f19-5v3-33a65w-hp4817.html,,05.11.2025 22:21,,"вул. Соборна, 42",Фастів,0
1038629665,,,,,.1868967,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",frime,Зарядний пристрій для ноутбука Frime HP 18.5V 3.5A 65W 4.8x1.7мм + каб. (F18.5V3.5A65W_HP4817),,499,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-frime-hp-18-5v-3-5a-65w-4-8x1-7mm-kab-f18-5v3-5a65w-hp4817.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1038630003,,,,,1868965,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",frime,Зарядний пристрій для ноутбука Frime Asus 19V 4.74A 90W 4.5x3.0мм + каб. (F19V4.74A90W_ASUS4530),,599,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-frime-asus-19v-4-74a-90w-4-5x3-0mm-kab-f19v4-74a90w-asus4530.html,,05.11.2025 22:21,,"вул. Соборна, 42",Фастів,0
1038630740,,,,,1868963,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",frime,Зарядний пристрій для ноутбука Frime Asus 19V 2.37A 45W 5.5x2.5 мм (FWM19V2.37A45W_AS5525),,629,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-frime-asus-19v-2-37a-45w-5-5x2-5-mm-fwm19v2-37a45w-as5525.html,699,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1038630744,,,,,1868958,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",frime,Зарядний пристрій для ноутбука Frime Lenovo 19.5V 2.31A 45W 4.5x3.0 мм (FWM19.5V2.31A45W_DE4530),,699,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-frime-lenovo-19-5v-2-31a-45w-4-5x3-0-mm-fwm19-5v2-31a45w-de4530.html,,05.11.2025 22:21,,"вул. Соборна, 42",Фастів,0
