1687812889,column,column,column,column,2946059,________trefl,trefl,_34__trefl______34647,column,295,1,httpscomfyuapazlykartonnye34godatreflznakomstvosgerojamikokomelon34647html,column,05112025_2350,column,__42,Фастів,0
1687812883,,,,,2946052,Детские товары >> Игрушки,trefl,"""Пазли (8 +) Trefl Безмежна колекція: """"Поринь у підвоний рай"""" 13500 елм. (81027)""",,3709,1,https://comfy.ua/pazly-kartonnye-8-trefl-beskrajnjaja-kollekcija-okunis-v-podvoennyj-raj-13500-jelm-81027.html,,05.11.2025 22:42,,"вул. Соборна, 42",Фастів,0
1687812889,,,,,2946059,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (3-4 роки) Trefl """"Знайомство з героями"""" / Кокомелон (34647)""",,295,1,https://comfy.ua/pazly-kartonnye-3-4-goda-trefl-znakomstvo-s-gerojami-kokomelon-34647.html,,05.11.2025 23:50,,"вул. Соборна, 42",Фастів,0
1687812922,7110023,TREFL,"""acc/child TREFL Пазли """"54 Mini"""" Mickey&friends День з друзями (54190)""",56,2870219,Comfy KIDS >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (3-4 роки) Trefl """"Міні та Мікі на самокаті"""" / Дісней: Мікі Маукс/ (54190) (54 ел. міні) (19713)""",,1199,1,https://comfy.ua/pazly-kartonnye-3-4-goda-trefl-mini-i-miki-na-samokate-disnej-miki-mauks-54190-54-jelm-mini-19713.html,,06.11.2025 0:31,,"вул. Соборна, 42",Фастів,0
1687813110,,,,,.2835619,Игровые консоли и гейминг >> Комплектующие для игровых ПК,patriot,Память DDR Patriot Viper Venom 2x16GB/6000 DDR5 (PVV532G600C36K),,8229,1,https://comfy.ua/pamjat-ddr-patriot-viper-venom-2x16gb-6000-ddr5-pvv532g600c36k.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1687813111,,,,,.2957392,Игровые консоли и гейминг >> Комплектующие для игровых ПК,corsair,Память DDR Corsair DDR5 2x16GB/6000 Vengeance RGB (CMH32GX5M2E6000Z36),,9299,1,https://comfy.ua/pamjat-ddr-corsair-ddr5-2x16gb-6000-vengeance-rgb-cmh32gx5m2e6000z36.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1687813251,,,,,2886362,"Детские товары >> Уход, купание и гигиена",babyono,Зубна щітка мануальна дитяча BabyOno з обмежувачем Блакитний 6+ (551/03),,249,1,https://comfy.ua/zubnaja-schetka-manual-naja-detskaja-babyono-s-ogranichitelem-goluboj-6-551-03.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
1687813695,,,,,2954125,"Детские товары >> Детская комната и безопасность >> Кресла, шезлонги и укачивающие центры >> Кресла, шезлонги и укачивающие центры Kinderkraft",kinderkraft,Крісло-качалка Kinderkraft Lumi 2 Light Grey (KBLUMI02LGR0000),,5190,1,https://comfy.ua/kreslo-kachalka-kinderkraft-lumi-2-light-grey-kblumi02lgr0000.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1687813696,,,,,2954124,"Детские товары >> Детская комната и безопасность >> Кресла, шезлонги и укачивающие центры >> Кресла, шезлонги и укачивающие центры Kinderkraft",kinderkraft,Крісло-качалка Kinderkraft Lumi 2 Dark Grey (KBLUMI02DGR0000),,5190,1,https://comfy.ua/kreslo-kachalka-kinderkraft-lumi-2-dark-grey-kblumi02dgr0000.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1687815844,,,,,2873447,"Аудио, фото и видео >> Аксессуары для фото, видео",liitokala,Акумулятор тип 18650 LiitoKala Lii-26A,,189,1,https://comfy.ua/akkumuljator-tip-18650-liitokala-lii-26a.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1687815854,6725976,EINHELL,Зарядное устройство EINHELL Power-X-Fastcharger 4 A 18 В (4512103),1065,2447752,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Einhell,einhell,З/П до акумуляторної батареї для електроінструментів Einhell Power X-Fastcharger 18V 4A (4512103),,1065,1,https://comfy.ua/z-u-k-akkumuljatornoj-bataree-dlja-jelektroinstrumentov-einhell-power-x-fastcharger-18v-4a-4512103.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
