1449328295,column,column,column,column,2250176,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,__asus_rog_strix_b650a_gaming_wifi,column,10299,1,httpscomfyuamaterinskajaplataasusrogstrixb650agamingwifihtml,column,05112025_1914,column,__42,Фастів,0
1449436611,6866789,ARDESTO,Нож для овощей ARDESTO Fresh 7.5 см Grey (AR2118CG),215,2253523,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Ніж для овочів Ardesto Fresh 18.5 см Gray (AR2118CG),,215,1,https://comfy.ua/nozh-dlja-ovoschej-ardesto-fresh-18-5-sm-gray-ar2118cg.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1449444346,6839039,SAMSUNG,Защитный кейс SAMSUNG для The Freestyle Темно-зеленый(VG-SCLA00G/RU),1899,2267114,Телевизоры и мультимедиа >> Проекторы и экраны >> Аксессуари для проекторов >> Аксессуари для проекторов Samsung,samsung,Чохол для проектора Samsung VG-SCLA00G/RU,,1899,1,https://comfy.ua/chehol-dlja-proektora-samsung-vg-scla00g-ru.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1449444346,6975146,SAMSUNG,DVD/surr SAMSUNG VG-SCLA00G/RU Захисний кейс,1899,2267114,Телевизоры и мультимедиа >> Проекторы и экраны >> Аксессуари для проекторов >> Аксессуари для проекторов Samsung,samsung,Чохол для проектора Samsung VG-SCLA00G/RU,,1899,1,https://comfy.ua/chehol-dlja-proektora-samsung-vg-scla00g-ru.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1449465682,6641828,ECOSOFT,Фильтр ECOSOFT NEMO 3 л Синий (4820056802696),339,2267408,Техника для кухни >> Системы и фильтры для воды >> Фильтры-кувшины >> Фильтры-кувшины Ecosoft,ecosoft,"Фільтр-глечик Ecosoft Nemo синій, 3 л",,339,1,https://comfy.ua/fil-tr-kuvshin-ecosoft-nemo-sinij-3-l-1.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1449535067,6840891,JIMMY,Набор насадок JIMMY Toothbrush Head for T6 (1N950001E) (2шт.),199,2261375,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки JIMMY,jimmy,Насадка для зубної щітки JIMMY Toothbrush Head for T6 2 шт. (1N950001E),,299,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-jimmy-toothbrush-head-for-t6-2-sht-1n950001e.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1449538058,,,,,2238516,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Super Wings,super-wings,Пластиковий конструктор Super Wings Small Blocks 2-in-1 Buildable Transforming Vehicle Donnie Донні (EU385007),,399,1,https://comfy.ua/plastikovyj-konstruktor-super-wings-small-blocks-2-in-1-buildable-transforming-vehicle-donnie-donni-eu385007.html,1329,05.11.2025 23:19,,"вул. Соборна, 42",Фастів,0
1449538059,,,,,2238515,Детские товары >> Игрушки >> Конструкторы >> Конструкторы Super Wings,super-wings,Пластиковий конструктор Super Wings Small Blocks 2-in-1 Buildable Transforming Vehicle Jett Джетт (EU385005),,399,1,https://comfy.ua/plastikovyj-konstruktor-super-wings-small-blocks-2-in-1-buildable-transforming-vehicle-jett-dzhett-eu385005.html,1329,05.11.2025 23:12,,"вул. Соборна, 42",Фастів,0
1450055911,,,,,2272014,Смартфоны и телефоны >> Аксессуары для смартфонов,ravpower,Мережевий зарядний пристрій RavPower Charger 30W PD USB-C+USB-A Black (RP-PC132),,449,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-ravpower-charger-30w-pd-usb-c-usb-a-black-rp-pc132.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1450055917,,,,,2272015,Смартфоны и телефоны >> Аксессуары для смартфонов,ravpower,Мережевий зарядний пристрій RavPower Charger 30W PD USB-C+USB-A Black (RP-PC144),,669,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-ravpower-charger-30w-pd-usb-c-usb-a-black-rp-pc144.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1450137082,6840810,ELEYUS,Плита комбинированная ELEYUS CORUS 5007 H1 EF WH,11999,2272407,Техника для кухни >> Крупная техника >> Плиты >> Плиты ELEYUS,eleyus,Плита газова ELEYUS CORUS 5007 H1 EF WH,,11999,1,https://comfy.ua/plita-gazovaja-eleyus-corus-5007-h1-ef-wh.html,15229,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1450137091,6840812,ELEYUS,Плита комбинированная ELEYUS CORUS 6007 H1 EF WH,12899,2272409,Техника для кухни >> Крупная техника >> Плиты >> Плиты ELEYUS,eleyus,Плита газова ELEYUS CORUS 6007 H1 EF WH,,12899,1,https://comfy.ua/plita-gazovaja-eleyus-corus-6007-h1-ef-wh.html,16829,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1450165095,,,,,2133312,Техника для кухни >> Крупная техника,sencor,Мікрохвильова піч (НВЧ) Sencor SMW 1718WH,,3399,1,https://comfy.ua/mikrovolnovaja-pech-svch-sencor-smw-1718wh.html,3999,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1450353531,6866955,ARDESTO,Форма для выпечки ARDESTO Gemini (AR2511G),119,2260379,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для приготування Ardesto Gemini (AR2511G),,119,1,https://comfy.ua/forma-dlja-prigotovlenija-ardesto-gemini-ar2511g.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1450353532,6866948,ARDESTO,"Форма ARDESTO Gemini 29,5 х 13 х 5,5 см (AR2510G)",116,2260378,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для приготування Ardesto Gemini (AR2510G),,116,1,https://comfy.ua/forma-dlja-prigotovlenija-ardesto-gemini-ar2510g.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1450353652,6866953,ARDESTO,Форма ARDESTO Gemini 34.5 x 24 x 4.5 см Серая (AR2508G),159,2260376,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для приготування Ardesto Gemini (AR2508G),,169,1,https://comfy.ua/forma-dlja-prigotovlenija-ardesto-gemini-ar2508g.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1450353653,6866954,ARDESTO,Форма ARDESTO Gemini 37.6 x 27 x 4.8 см (AR2509G),189,2260377,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для приготування Ardesto Gemini (AR2509G),,198,1,https://comfy.ua/forma-dlja-prigotovlenija-ardesto-gemini-ar2509g.html,245,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1450353654,6866951,ARDESTO,Форма для выпечки ARDESTO Gemini AR2505G,170,2260373,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для приготування Ardesto Gemini (AR2505G),,170,1,https://comfy.ua/forma-dlja-prigotovlenija-ardesto-gemini-ar2505g.html,255,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1450353655,6866952,ARDESTO,Форма ARDESTO Gemini 14 х 12 см (AR2506G),215,2260374,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для приготування Ardesto Gemini (AR2506G),,215,1,https://comfy.ua/forma-dlja-prigotovlenija-ardesto-gemini-ar2506g.html,289,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1450353656,6866949,ARDESTO,Форма ARDESTO Gemini 24 см Grey (AR2504G),259,2260372,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для приготування Ardesto Gemini 24 см (AR2504G),,259,1,https://comfy.ua/forma-dlja-prigotovlenija-ardesto-gemini-24-sm-ar2504g.html,325,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1450353657,6866950,ARDESTO,Форма ARDESTO Gemini 16 х 13 см (AR2507G),224,2260375,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для приготування Ardesto Gemini (AR2507G),,224,1,https://comfy.ua/forma-dlja-prigotovlenija-ardesto-gemini-ar2507g.html,335,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1450376835,7170275,PERFELLI,Вытяжка PERFELLI BI 5256 BL 700 LED,4499,2211918,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BI 5256 BL 700 LED,,4499,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bi-5256-bl-700-led.html,4999,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1450376836,7170234,PERFELLI,Вытяжка PERFELLI BI 5256 WH 700 LED,4015,2211919,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BI 5256 WH 700 LED,,4499,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bi-5256-wh-700-led.html,4999,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1450380815,7170237,PERFELLI,Вытяжка PERFELLI BI 5684 WH 1000 LED,5712,2211921,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BI 5684 WH 1000 LED,,5712,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bi-5684-wh-1000-led.html,6499,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1450380816,6995947,PERFELLI,Вытяжка PERFELLI BI 5684 BL 1000 LED,5979,2211920,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BI 5684 BL 1000 LED,,5979,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bi-5684-bl-1000-led.html,6499,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1450382369,7170241,PERFELLI,Вытяжка PERFELLI BIS 5684 BL 1000 LED,6299,2211922,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BIS 5684 BL 1000 LED,,6299,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bis-5684-bl-1000-led.html,7999,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1450382370,7170242,PERFELLI,Вытяжка PERFELLI BIS 5684 WH 1000 LED,6299,2211923,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BIS 5684 WH 1000 LED,,6299,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bis-5684-wh-1000-led.html,7999,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1450383565,6995948,PERFELLI,Вытяжка PERFELLI BIS 5884 BL 1200 LED,6699,2211924,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BIS 5884 BL 1200 LED,,6699,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bis-5884-bl-1200-led.html,8999,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
1450383566,7170243,PERFELLI,Вытяжка PERFELLI BIS 5884 WH 1200 LED,6699,2211925,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BIS 5884 WH 1200 LED,,6699,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bis-5884-wh-1200-led.html,8999,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1450383729,7170335,PERFELLI,Вытяжка PERFELLI BIS 58844 BL 1200 LED,6999,2211926,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BIS 58844 BL 1200 LED,,6999,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bis-58844-bl-1200-led.html,9999,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
