958365251,6517064,POWERPLANT,Аккумулятор POWERPLANT для MAKITA GD-MAK-12(A) 12V 2Ah NICD (1235) (DV00PT0040),1394,1834656,Инструменты и автотовары >> Электроинструменты,powerplant,Акумулятор для електроінструментів PowerPlant Makita GD-MAK-12(A) 12V 2Ah NICD (1235) (DV00PT0040),,1499,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-powerplant-makita-gd-mak-12-a-12v-2ah-nicd-1235-dv00pt0040.html,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
960766119,,,,,1840805,Техника для кухни >> Крупная техника,aeg,Варильна поверхня газова AEG HKB64420NB,,14499,1,https://comfy.ua/catalog/product/view/id/2779393,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
967326314,6735175,AEG,Варочная поверхность AEG HKB64420NB,13999,.1840805,Техника для кухни >> Крупная техника,aeg,Варильна поверхня газова AEG HKB64420NB,,14499,1,https://comfy.ua/varochnaja-panel-gazovaja-aeg-hkb64420nb.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
967332583,6709740,SAMSUNG,Встраиваемая микроволновая печь SAMSUNG MS23A7118AK/UA,10299,1792138,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Samsung,samsung,Мікрохвильова піч (НВЧ) вбудовувана Samsung MS23A7118AK/UA,,10299,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-samsung-ms23a7118ak-ua.html,11299,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
967337118,6532406,ELECTROLUX,Бойлер ELECTROLUX EWH 80 DRYver,9199,1838230,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Electrolux,electrolux,Водонагрівач Electrolux EWH 80 DRYver,,9199,1,https://comfy.ua/vodonagrevatel-electrolux-ewh-80-dryver.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
967342428,6722080,BOSCH,Микроволновая печь BOSCH BFL623MW3,13699,1838699,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Bosch,bosch,Мікрохвильова піч (НВЧ) вбудовувана Bosch BFL623MW3,,13699,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-bosch-bfl623mw3.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
967519040,,,,,1831777,Телевизоры и мультимедиа >> Аксессуары для ТВ,sonorous,Тумба для телевізора Sonorous NEO 3110-B-SLV,,10949,1,https://comfy.ua/catalog/product/view/id/2767763,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
973156206,6738697,ARDESTO,Турка ARDESTO BLACK MARS0.64 л (AR0864S),379,1838489,"Посуда >> Для напитков >> Кофеварки гейзерные, турки >> Кофеварки гейзерные, турки Ardesto",ardesto,Турка Ardesto Black Mars 0.64 л (AR0864S),,379,1,https://comfy.ua/turka-ardesto-black-mars-0-64-l-ar0864s.html,475,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
975112156,6735112,PRIME TECHNICS,Плитка PRIME TECHNICS PIC 2215 GB,1599,1835778,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Prime Technics,prime-technics,Плита електрична настільна Prime Technics PIC 2215 GB,,1599,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-prime-technics-pic-2215-gb.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
977447821,6977949,MAGIO,Машинка для стрижки MAGIO МG-584,585,1840856,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Magio,magio,Машинка для стрижки волосся Magio MG-584,,585,1,https://comfy.ua/mashinka-dlja-strizhki-volos-magio-mg-584.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
977748258,,,,,1838375,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",mercusys,Підсилювач бездротового сигнала Mercusys ME30,,899,1,https://comfy.ua/catalog/product/view/id/2768993,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
977748459,,,,,1840253,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Підсилювач бездротового сигнала TP-Link RE365,,2199,1,https://comfy.ua/catalog/product/view/id/2769003,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
978309730,,,,,1840258,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Точка доступу TP-Link CPE710,,3899,1,https://comfy.ua/catalog/product/view/id/2769053,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
978661529,,,,,1838660,Посуда >> Кухонные аксессуары,peugeot,Млинок для спецій Peugeot U-S 18 см 23393_BS,,2255,1,https://comfy.ua/catalog/product/view/id/2764383,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
978998854,,,,,1833359,Техника для дома >> Климатическая техника,roda,Радіатор опалення Roda 22 R 600х1100 (0302010119-000025464),,4399,1,https://comfy.ua/catalog/product/view/id/2769413,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
979578328,,,,,1840421,Техника для кухни >> Мелкая техника,sencor,Міксер Sencor SHM 5203-EUE3,,885,1,https://comfy.ua/catalog/product/view/id/2767373,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
981586319,,,,,1840856,Красота и здоровье >> Уход за волосами,magio,Машинка для стрижки волосся Magio MG-584,,585,1,https://comfy.ua/catalog/product/view/id/2779543,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
981659343,,,,,1838375,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа Mercusys",mercusys,Підсилювач бездротового сигнала Mercusys ME30,,899,1,https://comfy.ua/usilitel-besprovodnogo-signala-mercusys-me30.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
981659501,,,,,1840253,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Підсилювач бездротового сигнала TP-Link RE365,,2199,1,https://comfy.ua/usilitel-besprovodnogo-signala-tp-link-re365.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
981696316,,,,,1840258,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Точка доступу TP-Link CPE710,,3899,1,https://comfy.ua/tochka-dostupa-tp-link-cpe710.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
982031698,6987463,WUESTHOF,Нож поварской WUESTHOF Classic Ikon 20 см Black (1040330120),6966,1840423,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Ніж кухаря Wuesthof 20 см 1040330120,,6966,1,https://comfy.ua/nozh-povara-wuesthof-20-sm-1040330120.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
982434381,,,,,1840110,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники de Buyer,de-buyer,Сотейник de Buyer 24 см 8748.24,,5945,1,https://comfy.ua/sotejnik-de-buyer-24-sm-8748-24.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
982443257,6583790,PHILIPS AVENT,Поилка AVENT 200 мл 6+ (SCF551/03),291,1842313,Детские товары >> Кормление,philips,"Поїльник-непроливайка дитячий Philips 6 міс. Pink, 200 мл (SCF551/03)",,379,1,https://comfy.ua/catalog/product/view/id/2788953,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
982443266,,,,,1842310,Детские товары >> Кормление,philips,"Поїльник-непроливайка дитячий Philips 6+ мес. Blue, 200 мл (SCF551/05)",,379,1,https://comfy.ua/catalog/product/view/id/2788903,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
982464390,,,,,.1830235,Техника для дома >> Климатическая техника,carrier,Кондиціонер спліт Carrier 42QHG009D8S/38QHG009D8S,,22999,1,https://comfy.ua/kondicioner-split-carrier-42qhg009d8s-38qhg009d8s.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
982464393,,,,,.1830236,Техника для дома >> Климатическая техника,carrier,Кондиціонер спліт Carrier 42QHG012D8S/38QHG012D8S,,21249,1,https://comfy.ua/kondicioner-split-carrier-42qhg012d8s-38qhg012d8s.html,24999,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
982464868,,,,,.1817937,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-LN25VG2B\MUZ-LN25VG2,,74469,1,https://comfy.ua/kondicioner-split-mitsubishi-electric-msz-ln25vg2b-muz-ln25vg2.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
982465004,6726432,GRUNHELM,Холодильник GRUNHELM BRH-S176M55-W,11099,1821641,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Grunhelm,grunhelm,Холодильник Grunhelm BRH-S176M55-W,,11099,1,https://comfy.ua/holodil-nik-grunhelm-brh-s176m55-w.html,12879,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
982467046,6687052,NEO TOOLS,Отбойный молоток NEO TOOLS 10.2 мм (14-028),1999,1834029,Инструменты и автотовары >> Электроинструменты >> Отбойные молотки >> Отбойные молотки Neo Tools,neo-tools,Молоток Neo Tools 14-028,,1999,1,https://comfy.ua/molotok-neo-tools-14-028.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
982468056,,,,,1821573,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Promate,promate,Мережевий зарядний пристрій Promate Icharge-pdqc3.white,,399,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-promate-icharge-pdqc3-white.html,599,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
982472332,6725134,STARK,Перфоратор STARK RH-1600 Profi (140051600),3399,1840063,Инструменты и автотовары >> Электроинструменты >> Перфораторы >> Перфораторы Stark,stark,Перфоратор Stark RH-1600 Profi (140051600),,3399,1,https://comfy.ua/perforator-stark-rh-1600-profi-140051600.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
982472335,6725136,STARK,Перфоратор STARK RH-1400 MAX (140051400),7689,1840065,Инструменты и автотовары >> Электроинструменты >> Перфораторы >> Перфораторы Stark,stark,Перфоратор Stark RH-1400 MAX (140051400),,7689,1,https://comfy.ua/perforator-stark-rh-1400-max-140051400.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
982472624,6987425,WUESTHOF,Набор ножей WUESTHOF 10 пр. (1090170904),34876,1840106,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Wuesthof,wuesthof,Набір ножів Wuesthof 9 пр. 1090170904,,34876,1,https://comfy.ua/nabor-nozhej-wuesthof-9-pr-1090170904.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
982481322,,,,,.1554418,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Зарядний пристрій для ноутбука Merlion Samsung 60W 19V 3.16А (M00193),,409,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-samsung-60w-19v-3-16a-m00193.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
982484189,6723392,BLAUPUNKT,Электрочайник BLAUPUNKT EKP502,729,1838607,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Blaupunkt,blaupunkt,Електричний чайник Blaupunkt EKP502,,729,1,https://comfy.ua/jelektricheskij-chajnik-blaupunkt-ekp502.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
982484190,,,,,1842309,Детские товары >> Подгузники и пеленание >> Влажные и сухие детские салфетки >> Влажные и сухие детские салфетки Smile,smile,Вологі серветки для немовлят Smile Baby з рисовим молочком 56 шт.,,53,1,https://comfy.ua/vlazhnye-salfetki-dlja-grudnichkov-smile-baby-s-risovym-molochkom-56-sht.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
982484193,6583790,PHILIPS AVENT,Поилка AVENT 200 мл 6+ (SCF551/03),291,1842313,Детские товары >> Кормление >> Поильники >> Поильники Philips,philips,"Поїльник-непроливайка дитячий Philips 6 міс. Pink, 200 мл (SCF551/03)",,379,1,https://comfy.ua/poil-nik-neprolivajka-detskij-philips-6-mes-pink-200-ml-scf551-03.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
982484197,,,,,1842310,Детские товары >> Кормление >> Поильники >> Поильники Philips,philips,"Поїльник-непроливайка дитячий Philips 6+ мес. Blue, 200 мл (SCF551/05)",,379,1,https://comfy.ua/poil-nik-neprolivajka-detskij-philips-6-mes-blue-200-ml-scf551-05.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
982511548,,,,,1842465,Детские товары >> Кормление,beaba,Поїльник-непроливайка дитячий Beaba 2 в 1 210 мл Windy Blue (913477),,835,1,https://comfy.ua/catalog/product/view/id/2794283,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
