1687948246,column,column,column,column,2691298,Инструменты и автотовары >> Расходные материалы,milwaukee,_milwaukee_forstner_3090__4932363714,column,309,1,httpscomfyuasverlomilwaukeeforstner30h90mm4932363714html,column,05112025_2123,column,__42,Фастів,0
1688008631,,,,,.2899777,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xiaomi,Рюкзак для ноутбуку Xiaomi Z Bag Ultra Light Portable Mini Backpack Yellow (6971941370542),,199,1,https://comfy.ua/rjukzak-dlja-noutbuka-xiaomi-z-bag-ultra-light-portable-mini-backpack-yellow-6971941370542.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1688009089,,,,,.2874670,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",case-logic,"""Рюкзак для ноутбуку Case Logic Invigo Eco 14"""" (INVIBP-114)""",,2999,1,https://comfy.ua/rjukzak-dlja-noutbuka-case-logic-invigo-eco-14-invibp-114.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1688014885,6972710,KRAUFF,Кастрюля KRAUFF Smart Fry 4.3 л Black (25-45-160),1418,2830102,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Krauff,krauff,"Каструля Krauff 25-45-160 Smart Fry 4,3 л",,1495,1,https://comfy.ua/kastrjulja-krauff-25-45-160-smart-fry-4-3-l.html,2136,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1688016098,6977550,SONIFER,Отпариватель SONIFER SF-9106,1209,2958883,Техника для дома >> Мелкая техника >> Утюги >> Утюги Sonifer,sonifer,Вертикальний відпарювач ручний Sonifer SF-9106,,1209,1,https://comfy.ua/vertikal-nyj-otparivatel-ruchnoj-sonifer-sf-9106.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1688016159,6995696,INSPIRE,Робот-пылесос INSPIRE B8S-max White,4499,2958818,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы INSPIRE,inspire,Робот-пилосос миючий INSPIRE B8S-max White,,4499,1,https://comfy.ua/robot-pylesos-mojuschij-inspire-b8s-max-white.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1688016161,6995699,INSPIRE,Робот-пылесос INSPIRE B11PRO Black,6349,2958816,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы INSPIRE,inspire,Робот-пилосос миючий INSPIRE B11PRO,,6349,1,https://comfy.ua/robot-pylesos-mojuschij-inspire-b11pro.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1688016161,6995698,INSPIRE,Робот-пылесос INSPIRE B11PRO White,5379,2958816,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы INSPIRE,inspire,Робот-пилосос миючий INSPIRE B11PRO,,6349,1,https://comfy.ua/robot-pylesos-mojuschij-inspire-b11pro.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1688016162,,,,,.2958815,Техника для дома >> Мелкая техника,inspire,Робот-пилосос миючий INSPIRE B11PRO White,,5379,1,https://comfy.ua/robot-pylesos-mojuschij-inspire-b11pro-white.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1688017317,6977542,ONTA,Робот-пылесос ONTA D2-001 Black,4999,2958884,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы Onta,onta,Робот-пилосос миючий Onta D2-001 Black,,4999,1,https://comfy.ua/robot-pylesos-mojuschij-onta-d2-001-black.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1688018220,,,,,.2879022,"Дом, отдых и зоотовары >> Освещение",remax,Настільна лампа Remax RT-E510 Time Pro Series White (6954851226437),,799,1,https://comfy.ua/nastol-naja-lampa-remax-rt-e510-time-pro-series-white-6954851226437.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1688021790,6895099,HEINNER,Сковорода HEINNER Chef Line 32 см Silver (HR-JH-32),1309,2894249,Посуда >> Для приготовления >> Сковороды >> Сковороды Heinner,heinner,Сковорода універсальна Heinner Professional 32 см (HR-JH-32),,1309,1,https://comfy.ua/skovoroda-universal-naja-heinner-professional-32-sm-hr-jh-32.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1688021791,6982530,TEFAL,Сковорода TEFAL Unlimited 22 см Black (G2557572),1699,2932140,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода універсальна Tefal G2557572 Unlimited 22 см,,1691,1,https://comfy.ua/skovoroda-universal-naja-tefal-g2557572-unlimited-22-sm.html,2199,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1688022857,6977490,RIWA,Триммер RIWA RA-6115 Grey,1259,2959029,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Riwa,riwa,Машинка для стрижки волосся Riwa RA-6115 Grey,,1259,1,https://comfy.ua/mashinka-dlja-strizhki-volos-riwa-ra-6115-grey.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1688023155,,,,,2933561,Техника для кухни >> Крупная техника,hansa,Витяжка традиційна Hansa OSC6133SIH,,2799,1,https://comfy.ua/vytjazhka-vstraivaemaja-hansa-osc6133sih.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1688023222,6980336,HANSA,Вытяжка HANSA OMC6242BH,4599,2933560,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Hansa,hansa,Витяжка вбудована Hansa OMC6242BH,,4599,1,https://comfy.ua/vytjazhka-vstraivaemaja-hansa-omc6242bh.html,5149,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1688025446,6993833,HANSA,Вытяжка HANSA OMC6551BH,10399,2933556,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Hansa,hansa,Витяжка вбудована Hansa OMC6551BH,,10399,1,https://comfy.ua/vytjazhka-vstraivaemaja-hansa-omc6551bh.html,11699,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1688031121,6904624,IQ,Нож сантоку IQ Be Chef 17.8 см (IQ-11000-4),449,2825248,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы IQ,iq,"Ніж сантоку IQ Be Chef 17,8 см (IQ-11000-4)",,449,1,https://comfy.ua/nozh-santoku-iq-be-chef-17-8-sm-iq-11000-4.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
