801249641,column,column,column,column,1761055,Детские товары >> Игрушки,banbao,__banbao,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19
801861058,6884348,CALGON,Средство для смягчения воды CALGON Powerball Tabs15 шт (5997321701813),225,1759468,Бытовая химия >> Средства для чистки техники >> Средства для чистки стиральных машин >> Средства для чистки стиральных машин Calgon,calgon,"Засіб від накипу для пральних машин Calgon д/пом'якшення води 3-в-1, 15 таб",,179,1,https://comfy.ua/sredstvo-ot-nakipi-dlja-stiral-nyh-mashin-calgon-d-smjagchenija-vody-3-v-1-15-tab.html,234,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
802035057,6651336,HEREVIN,Бутылка для воды HEREVIN Prences 0.5 л (161415-390),119,1762448,Посуда >> Для напитков >> Бутылки и шейкеры >> Бутылки и шейкеры Herevin,herevin,Пляшка для води Herevin Princess для спорту 0.5 л (161415-390),,119,1,https://comfy.ua/butylka-dlja-vody-herevin-prences-dlja-sporta-0-5-l-161415-390.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
802515678,,,,,1763525,Техника для кухни >> Крупная техника,lg,Холодильник LG GW-B509SBUM,,26999,1,https://comfy.ua/catalog/product/view/id/2044623,30999,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
802516846,,,,,1736088,Детские товары >> Подгузники и пеленание >> Влажные и сухие детские салфетки >> Влажные и сухие детские салфетки Pampers,pampers,"Вологі серветки для немовлят Pampers Sensitive, 4x52 шт. (81687199)",,220,1,https://comfy.ua/vlazhnye-salfetki-dlja-grudnichkov-pampers-sensitive-4x52-sht-81687199.html,295,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
803074442,,,,,1679802,Посуда >> Для приготовления,electrolux,Набір для приготування піци Electrolux E9OHPS1,,2145,1,https://comfy.ua/nabor-dlja-prigotovlenija-piccy-electrolux-e9ohps1.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
803092473,,,,,1730987,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",kingston,Кардрідер Kingston Workflow Dual-Slot SDHC/SDXC UHS-II (WFS-SD),,1699,1,https://comfy.ua/catalog/product/view/id/2037133,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
803092474,,,,,1730988,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",kingston,Кардрідер Kingston Workflow Dual-Slot microSDHC/SDXC UHS-II (WFS-SDC),,1469,1,https://comfy.ua/catalog/product/view/id/2037293,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
803117621,7083304,4M,Набор для творчества 4M Единороги (00-04708),363,1754534,Детские товары >> Творчество и развитие >> Творчество и рукоделие >> Творчество и рукоделие 4М,4m,Набір для виготовлення іграшок 4М Єдиноріг (00-04708),,469,1,https://comfy.ua/lepka-iz-gipsa-4m-edinorogi-00-04708.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
803117641,6609534,SAMSUNG,Пылесос SAMSUNG VC05K41F0VR/UK,5999,1653521,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Samsung,samsung,Пилосос для сухого прибирання без мішка Samsung VC05K41F0VR/UK,,4999,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-samsung-vc05k41f0vr-uk.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
803117660,6672759,SAMSUNG,"""LCDtv>42"""" SAMSUNG QE50QN90AAUXUA""",48999,1763070,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры Samsung,samsung,Телевізор Samsung QE50QN90AAUXUA,,29999,1,https://comfy.ua/televizor-samsung-qe50qn90aauxua.html,48999,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
