1238520376,,,,,.1965274,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 8GB 164 (i512400FRTX30508GB164),,29819,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-8gb-164-i512400frtx30508gb164.html,34275,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1238520383,,,,,.1967917,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3050 8GB 1622 (Ryzen53600RTX30508GB1622),,27735,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3050-8gb-1622-ryzen53600rtx30508gb1622.html,31879,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1238535942,,,,,.1963219,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 12100F RX 6600 8GB 1611 (i312100FRX66008GB1611),,32154,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-12100f-rx-6600-8gb-1611-i312100frx66008gb1611.html,36959,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1238536041,,,,,.1965270,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 8GB 1611 (i512400FRTX30508GB1611),,31681,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-8gb-1611-i512400frtx30508gb1611.html,36415,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1238536047,,,,,1967919,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3050 8GB 1641 (Ryzen53600RTX30508GB1641),,28427,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3050-8gb-1641-ryzen53600rtx30508gb1641.html,32675,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1238536143,,,,,.1967712,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3050 8GB 1610 (Ryzen53600RTX30508GB1610),,27296,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3050-8gb-1610-ryzen53600rtx30508gb1610.html,31375,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1238610290,,,,,.1963221,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 12100F RX 6600 8GB 1621 (i312100FRX66008GB1621),,32595,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-12100f-rx-6600-8gb-1621-i312100frx66008gb1621.html,37465,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1238610302,,,,,.1963249,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F RTX 3050 8GB 3241 (i510400FRTX30508GB3241),,33291,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-rtx-3050-8gb-3241-i510400frtx30508gb3241.html,38265,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1238610312,,,,,.1967924,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3050 8GB 324 (Ryzen53600RTX30508GB324),,27992,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3050-8gb-324-ryzen53600rtx30508gb324.html,32175,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
1238610494,,,,,.1963244,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F RTX 3050 8GB 3210 (i510400FRTX30508GB3210),,32154,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-rtx-3050-8gb-3210-i510400frtx30508gb3210.html,36959,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1238610507,,,,,.1965272,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 8GB 1621 (i512400FRTX30508GB1621),,31899,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-8gb-1621-i512400frtx30508gb1621.html,36665,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1238610516,,,,,.1967920,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3050 8GB 1642 (Ryzen53600RTX30508GB1642),,28906,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3050-8gb-1642-ryzen53600rtx30508gb1642.html,33225,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1238687972,,,,,.1963223,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 12100F RX 6600 8GB 1622 (i312100FRX66008GB1622),,32850,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-12100f-rx-6600-8gb-1622-i312100frx66008gb1622.html,37759,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1238687981,,,,,.1965279,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 8GB 322 (i512400FRTX30508GB322),,31464,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-8gb-322-i512400frtx30508gb322.html,36165,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1238687990,,,,,.1965360,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RX 6600 8GB 162 (i512400FRX66008GB162),,31464,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rx-6600-8gb-162-i512400frx66008gb162.html,36165,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1238688051,,,,,.1963225,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 12100F RX 6600 8GB 1641 (i312100FRX66008GB1641),,33543,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-12100f-rx-6600-8gb-1641-i312100frx66008gb1641.html,38555,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
