719055805,column,column,column,column,1652950,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,__asus_tuf_gaming_b550mplus,column,5139,1,httpscomfyuamaterinskajaplataasustufgamingb550mplushtml,column,05112025_1827,column,__42,Фастів,0
719056551,,,,,1634310,Телевизоры и мультимедиа >> Аксессуары для ТВ,samsung,Змінна рамка для ТВ Samsung VG-SCFT32BL/RU,,698,1,https://comfy.ua/smennaja-ramka-dlja-tv-samsung-vg-scft32bl-ru.html,1499,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
719056579,,,,,1663988,Телевизоры и мультимедиа >> Проекторы и экраны,ksl,Кріплення для проектора KSL CMPR-4-100,,1195,1,https://comfy.ua/kreplenie-dlja-proektora-ksl-cmpr-4-100.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
719056774,,,,,.1654377,Посуда >> Для приготовления,berlingerhaus,Сотейник BerlingerHaus з кришкою 3.8 л (BH 1158N),,2485,1,https://comfy.ua/sotejnik-berlingerhaus-s-kryshkoj-3-8-l-bh-1158n.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
719056778,6517155,KELA,Сотейник KELA Kerros 24 см Black (11567),3189,1648622,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Kela,kela,Сотейник Kela Kerros 24 см 1.9 л (11567),,3189,1,https://comfy.ua/sotejnik-kela-kerros-24-sm-1-9-l-11567.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
719064892,,,,,1661084,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники de Buyer,de-buyer,Сотейник de Buyer 16 см (6430.16),,10165,1,https://comfy.ua/sotejnik-de-buyer-16-sm-6430-16.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
719078961,,,,,.1665370,"Аудио, фото и видео >> Фотокамеры",powerplant,Акумулятор для фотокамери PowerPlant BP-190WS 13200mAh (CB970223),,11999,1,https://comfy.ua/akkumuljator-dlja-fotokamery-powerplant-bp-190ws-13200mah-cb970223.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
719080098,6987307,BRABANTIA,Чехол для доски BRABANTIA 119668,719,1655013,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Чехлы для гладильных досок >> Чехлы для гладильных досок Brabantia",brabantia,Чохол для прасувальної дошки Brabantia 119668,,719,1,https://comfy.ua/chehol-dlja-gladil-noj-doski-brabantia-119668.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
719080107,,,,,1655025,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Чехлы для гладильных досок >> Чехлы для гладильных досок Brabantia",brabantia,Чохол для прасувальної дошки Brabantia 134869,,719,1,https://comfy.ua/chehol-dlja-gladil-noj-doski-brabantia-134869.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
719080110,7069706,BRABANTIA,Держатель для туалетной бумаги BRABANTIA (385322),879,1075173,Бытовая химия >> Для ванной комнаты >> Держатели для туалетной бумаги >> Держатели для туалетной бумаги Brabantia,brabantia,Тримач для туалетного паперу Brabantia 385322,,879,1,https://comfy.ua/dispenser-dlja-tualetnoj-bumagi-brabantia-385322.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
719080112,6987407,BRABANTIA,Держатель бумажных полотенец BRABANTIA Food Enjoyment (493546),1079,1654184,Посуда >> Кухонные аксессуары >> Органайзеры и подставки для кухни >> Органайзеры и подставки для кухни Brabantia,brabantia,Підставка для паперових рушників Brabantia 493546,,1149,1,https://comfy.ua/podstavka-dlja-bumazhnyh-polotenec-brabantia-493546.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
