719055805,column,column,column,column,1652950,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,__asus_tuf_gaming_b550mplus,column,5139,1,httpscomfyuamaterinskajaplataasustufgamingb550mplushtml,column,05112025_1827,column,__42,Фастів,0
719090453,,,,,.1662733,Инструменты и автотовары >> Расходные материалы,ryobi,Сумка для інструментів Ryobi ONE+ UTB2,,949,1,https://comfy.ua/sumka-dlja-instrumentov-ryobi-one-utb2.html,1199,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
719091446,6635749,BOSCH,Отрезной диск BOSCH алмазный ECO Universal 125-22.23 (2.608.615.028),315,1664244,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски Bosch,bosch,Диск шліфувальний по каменю Bosch ECO Universal 125-22.23 (2.608.615.028),,315,1,https://comfy.ua/disk-shlifoval-nyj-po-kamnju-bosch-eco-universal-125-22-23-2-608-615-028.html,,05.11.2025 22:08,,"вул. Соборна, 42",Фастів,0
719091447,6635750,BOSCH,Отрезной диск по бетону BOSCH ECO Universal 230-22.23 (2.608.615.031),685,1664245,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски Bosch,bosch,Диск шліфувальний по каменю Bosch ECO Universal 230-22.23 (2.608.615.031),,685,1,https://comfy.ua/disk-shlifoval-nyj-po-kamnju-bosch-eco-universal-230-22-23-2-608-615-031.html,,05.11.2025 22:07,,"вул. Соборна, 42",Фастів,0
719091492,,,,,1649590,Посуда >> Кухонные аксессуары,berghoff,Шумовка Berghoff 1301063 Essentials,,499,1,https://comfy.ua/shumovka-berghoff-1301063-essentials.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
719092155,6635751,BOSCH,Отрезной диск BOSCH алмазный Standard for Ceramic 125-22.2 (2.608.602.202),345,1664242,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски Bosch,bosch,Диск шліфувальний по каменю Bosch Standard for Ceramic 125-22.2 (2.608.602.202),,345,1,https://comfy.ua/disk-shlifoval-nyj-po-kamnju-bosch-standard-for-ceramic-125-22-2-2-608-602-202.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
719092156,6635756,BOSCH,Отрезной диск BOSCH алмазный Standard for Universal Turbo (2.608.602.394),402,1664243,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски Bosch,bosch,Диск шліфувальний по каменю Bosch Standard for Universal Turbo 125-22.23 (2.608.602.394),,405,1,https://comfy.ua/disk-shlifoval-nyj-po-kamnju-bosch-standard-for-universal-turbo-125-22-23-2-608-602-394.html,,05.11.2025 22:15,,"вул. Соборна, 42",Фастів,0
719092189,,,,,1662583,Инструменты и автотовары >> Садовые инструменты >> Садовые пылесосы >> Садовые пылесосы Ryobi,ryobi,Повітродувка акумуляторна Ryobi ONE + OBL1820S 18В без АКБ і ЗУ,,3399,1,https://comfy.ua/sadovyj-pylesos-ryobi-one-obl1820s-18v-bez-akb-i-zu.html,3699,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
719092191,,,,,1662445,Инструменты и автотовары >> Садовые инструменты >> Садовые пылесосы >> Садовые пылесосы Ryobi,ryobi,Садовий пилосос Ryobi BV3000CESV,,3599,1,https://comfy.ua/sadovyj-pylesos-ryobi-rbv3000csv.html,3999,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
719097265,6499775,SAMSUNG,Вытяжка SAMSUNG NK24M1030IB/UR,4999,1642310,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Samsung,samsung,Витяжка вбудована Samsung NK24M1030IB/UR,,4999,1,https://comfy.ua/vytjazhka-vstraivaemaja-samsung-nk24m1030ib-ur.html,6099,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
719107407,,,,,1662450,"Инструменты и автотовары >> Садовые инструменты >> Триммеры, мотокосы, электрокосы >> Триммеры, мотокосы, электрокосы Ryobi",ryobi,Тример садовий Ryobi ONE + OLT1832 без АКБ і ЗУ,,3999,1,https://comfy.ua/trimmer-sadovyj-ryobi-one-olt1832-bez-akb-i-zu.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
719165711,,,,,1665187,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Piko",piko,Кабель синхронізації даних Piko CB-UM12 Micro USB 2м Black (1283126493881),,129,1,https://comfy.ua/kabel-sinhronizacii-dannyh-piko-cb-um12-micro-usb-2m-black-1283126493881.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
719165712,,,,,1665188,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Piko",piko,"Кабель синхронізації даних Piko CB-UT10 USB Type-C 0,2 Black (1283126493843)",,119,1,https://comfy.ua/kabel-sinhronizacii-dannyh-piko-cb-ut10-usb-type-c-0-2-black-1283126493843.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
719190817,,,,,1668477,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",hp,Хаб USB HP 4xUSB 3.1 (DHC-CT100),,899,1,https://comfy.ua/hab-usb-hp-4xusb-3-0-dhc-ct101.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
719191575,,,,,1659111,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Colorway,colorway,Мережевий зарядний пристрій Colorway QC3.0 1xUSB 4A White (CW-CHS014Q-WT),,349,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-colorway-qc3-0-1xusb-4a-white-cw-chs014q-wt.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
719194722,,,,,.1662208,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",becover,Чохол для планшету BeCover Smart Case Lenovo Tab M10 Plus TB-X606F Black (704800),,449,1,https://comfy.ua/chehol-dlja-plansheta-becover-smart-case-lenovo-tab-m10-plus-tb-x606f-black-704800.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
719194744,,,,,1669143,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети TP-Link",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG1005LP,,1499,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg1005lp.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
719194745,,,,,1669142,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети TP-Link",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG105PE,,1899,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg105pe.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
719194750,,,,,1664448,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель 3.5 мм -3.5 мм Cablexpert CCAP-3535MM-1.5M,,69,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-cablexpert-ccap-3535mm-1-5m.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
719194753,,,,,1669141,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG1218MP,,9299,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg1218mp.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
