1258348535,column,column,column,column,1977429,___________huion,huion,__huion_inspiroy_rte100,column,2499,1,httpscomfyuagraficheskijplanshethuioninspiroyrte100html,column,05112025_1721,column,__42,Фастів,0
1258352226,6803823,BAMIX,Блендер BAMIX PRIME М250 White (1022.021),10275,1980228,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Bamix,bamix,Блендер заглибний Bamix Prime М250 White (1022.021),,13699,1,https://comfy.ua/blender-pogruzhnoj-bamix-prime-m250-white-1022-021.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1258352227,,,,,1977345,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,"""Колекційна фігурка FUNKO """"Гаррі Поттер"""" - ДАМБЛДОР З ГОҐВОРТСОМ (57369)""",,2335,1,https://comfy.ua/kollekcionnaja-figurka-funko-garri-potter-dambldor-s-gogvortsom-57369.html,,06.11.2025 1:16,,"вул. Соборна, 42",Фастів,0
1258352237,6803826,BAMIX,Блендер BAMIX MaXX чорный М350 (1023.023),11614,1980233,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Bamix,bamix,Блендер заглибний Bamix MaXX М350 Black (1023.023),,15485,1,https://comfy.ua/blender-pogruzhnoj-bamix-maxx-m350-black-1023-023.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1258352238,,,,,1977344,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,"""Колекційна фігурка FUNKO """"Ліло та Стіч"""" - СТІЧ, ЩО ПОСМІХАЄТЬСЯ (55617)""",,845,1,https://comfy.ua/kollekcionnaja-figurka-funko-lilo-i-stich-ulybajuschijsja-stich-55617.html,,06.11.2025 1:22,,"вул. Соборна, 42",Фастів,0
1258353940,6859381,BEURER,Фотоэпилятор BEURER IPL 8800 VELVET SKIN PRO Black,22914,1970739,Красота и здоровье >> Уход за телом >> Фотоэпиляторы >> Фотоэпиляторы Beurer,beurer,Фотоепілятор Beurer IPL 8800 Velvet Skin Pro Black,,22915,1,https://comfy.ua/fotojepiljator-beurer-ipl-8800-velvet-skin-pro-black.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1258355277,,,,,1964842,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель Cablexpert USB 2.0 Power Delivery Lightning - Type-C (CC-USB2B-CM8PM-1.5M),,349,1,https://comfy.ua/kabel-cablexpert-usb-2-0-power-delivery-lightning-type-c-cc-usb2b-cm8pm-1-5m.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,1
1258361274,,,,,.1969915,Инструменты и автотовары >> Ручные инструменты,king-tony,Ключ шестигранний KING TONY 6 мм (115006MR),,149,1,https://comfy.ua/kljuch-shestigrannyj-king-tony-6-mm-115006mr.html,,05.11.2025 22:43,,"вул. Соборна, 42",Фастів,0
1258361286,,,,,.1973749,Инструменты и автотовары >> Ручные инструменты,king-tony,Торцева голівка KING TONY 1/2'' 21 мм (463521R),,159,1,https://comfy.ua/torcevaja-golovka-king-tony-1-2-21-mm-463521r.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
1258361287,,,,,.1973733,Инструменты и автотовары >> Ручные инструменты,king-tony,Торцева голівка KING TONY Ribe М6 3/8'' (303906),,159,1,https://comfy.ua/torcevaja-golovka-king-tony-ribe-m6-3-8-303906.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
1258361288,,,,,.1970149,Инструменты и автотовары >> Ручные инструменты,king-tony,Торцева голівка KING TONY 1/2'' 20 мм (433020MR),,165,1,https://comfy.ua/torcevaja-golovka-king-tony-1-2-20-mm-433020mr.html,,05.11.2025 22:02,,"вул. Соборна, 42",Фастів,0
