755986036,column,column,column,column,1700595,Детские товары >> Игрушки,funrise,___funrise______82269,column,1999,1,httpscomfyuanazemnajastroitelnajatehnikafunrisecementovozsosvetomizvukom82269html,column,06112025_132,column,__42,Фастів,0
755986033,,,,,1700644,Детские товары >> Игрушки,funrise,Наземна будівельна техніка Funrise Екскаватор зі світлом і звуком (82399),,1369,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-funrise-jekskavator-so-svetom-i-zvukom-82399.html,,06.11.2025 0:31,,"вул. Соборна, 42",Фастів,0
755986036,,,,,1700595,Детские товары >> Игрушки,funrise,Наземна будівельна техніка Funrise Цементовоз зі світлом і звуком (82269),,1999,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-funrise-cementovoz-so-svetom-i-zvukom-82269.html,,06.11.2025 1:32,,"вул. Соборна, 42",Фастів,0
755986037,,,,,1700643,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Funrise,funrise,"Наземна будівельна техніка Funrise Future Force телескопічний навантажувач зі світлом і звуком, 28 см (82380)",,585,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-funrise-future-force-teleskopicheskij-pogruzchik-so-svetom-i-zvukom-28-sm-82380.html,840,06.11.2025 1:08,,"вул. Соборна, 42",Фастів,0
755986039,,,,,1700603,Детские товары >> Игрушки,funrise,Наземна будівельна техніка Funrise Навантажувач зі світлом і звуком (82286),,1325,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-funrise-pogruzchik-so-svetom-i-zvukom-82286.html,,06.11.2025 0:50,,"вул. Соборна, 42",Фастів,0
755986040,,,,,1700590,Детские товары >> Игрушки,funrise,Наземна будівельна техніка Funrise Колісний навантажувач зі світлом і звуком (82267),,1905,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-funrise-kolesnyj-pogruzchik-so-svetom-i-zvukom-82267.html,,06.11.2025 0:50,,"вул. Соборна, 42",Фастів,0
755986041,,,,,1700573,Детские товары >> Игрушки,funrise,Наземна будівельна техніка Funrise Навантажувач зі звуком (82262),,715,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-funrise-pogruzchik-so-zvukom-82262.html,,06.11.2025 1:09,,"вул. Соборна, 42",Фастів,0
755986043,,,,,1700596,Детские товары >> Игрушки,funrise,Наземна будівельна техніка Funrise Самоскид зі світлом і звуком (82285),,1435,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-funrise-samosval-so-svetom-i-zvukom-82285.html,,06.11.2025 1:09,,"вул. Соборна, 42",Фастів,0
755986044,,,,,1700589,Детские товары >> Игрушки,funrise,Наземна будівельна техніка Funrise Самоскид зі світлом і звуком (82266),,1905,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-funrise-samosval-so-svetom-i-zvukom-82266.html,,06.11.2025 1:09,,"вул. Соборна, 42",Фастів,0
755986045,,,,,1700572,Детские товары >> Игрушки,funrise,Наземна будівельна техніка Funrise Самоскид зі звуком (82261),,799,1,https://comfy.ua/nazemnaja-stroitel-naja-tehnika-funrise-samosval-so-zvukom-82261.html,,06.11.2025 1:32,,"вул. Соборна, 42",Фастів,0
755986119,,,,,1700551,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Funrise,funrise,Базовий ігровий транспорт для малюка Funrise CAT Бульдозер (82012F),,509,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-funrise-cat-bul-dozer-82012f.html,,06.11.2025 0:53,,"вул. Соборна, 42",Фастів,0
755986120,,,,,1700554,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Funrise,funrise,Базовий ігровий транспорт для малюка Funrise CAT Бульдозер (82022F),,809,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-funrise-cat-bul-dozer-82022f.html,,06.11.2025 0:19,,"вул. Соборна, 42",Фастів,0
755986121,,,,,1700567,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Funrise,funrise,Базовий ігровий транспорт для малюка Funrise CAT Бульдозер (82032),,1299,1,https://comfy.ua/bazovyj-igrovoj-transport-dlja-malysha-funrise-cat-bul-dozer-82032.html,,06.11.2025 0:11,,"вул. Соборна, 42",Фастів,0
755986123,,,,,1700078,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка тварина Aurora DeLuxe Сніговий барс 50 см (181221C),,1599,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-deluxe-snezhnyj-bars-50-sm-181221c.html,,06.11.2025 1:39,,"вул. Соборна, 42",Фастів,0
755986124,,,,,1700097,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora Коргі 24 см (190381A),,949,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-korgi-24-sm-190381a.html,,06.11.2025 1:01,,"вул. Соборна, 42",Фастів,0
755986130,,,,,1700082,Детские товары >> Игрушки,aurora,М'яка іграшка Aurora Полярний ведмідь 35 см (190017A),,999,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-poljarnyj-medved-35-sm-190017a.html,,06.11.2025 1:39,,"вул. Соборна, 42",Фастів,0
755986148,,,,,1700042,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora Пінгвін 35 см (180438H),,999,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-pingvin-35-sm-180438h.html,,06.11.2025 1:40,,"вул. Соборна, 42",Фастів,0
755986150,,,,,1700014,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora Пінгвін 30 см (151271A),,599,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-pingvin-30-sm-151271a.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
755986160,,,,,1700038,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora Ведмідь білий 28 см (180161A),,499,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-medved-belyj-28-sm-180161a.html,699,06.11.2025 1:13,,"вул. Соборна, 42",Фастів,0
755986164,,,,,1700039,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora Ведмідь 35 см (180438F),,999,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-medved-35-sm-180438f.html,,06.11.2025 1:26,,"вул. Соборна, 42",Фастів,0
755986167,,,,,.1700004,Детские товары >> Игрушки,aurora,М'яка іграшка Aurora Кошеня чорно-білий 25 см (150224B),,899,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-kotenok-cherno-belyj-25-sm-150224b.html,,06.11.2025 1:20,,"вул. Соборна, 42",Фастів,0
755986169,,,,,.1700001,Детские товары >> Игрушки,aurora,М'яка іграшка Aurora Кошеня рудий 25 см (150224A),,899,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-kotenok-ryzhij-25-sm-150224a.html,,06.11.2025 1:30,,"вул. Соборна, 42",Фастів,0
755986170,,,,,1700077,Детские товары >> Игрушки,aurora,М'яка іграшка Aurora DeLuxe Леопард 50 см (181221A),,1599,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-deluxe-leopard-50-sm-181221a.html,,06.11.2025 1:15,,"вул. Соборна, 42",Фастів,0
755987854,,,,,1673627,Техника для кухни >> Мелкая техника,wmf,Блендер стаціонарний WMF 0416520011 KULT X MULTI-MIXER,,5199,1,https://comfy.ua/blender-pogruzhnoj-wmf-kult-x-900vt.html,7099,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
755987900,,,,,1718960,Техника для кухни >> Мелкая техника,gorenje,Міксер Gorenje M460CBK,,949,1,https://comfy.ua/catalog/product/view/id/1769853/s/mikser-gorenje-m460cbk,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
755987910,,,,,1716935,Техника для кухни >> Мелкая техника,ecg,Гриль-барбекю електричний ECG S 2070 Panini,,1925,1,https://comfy.ua/catalog/product/view/id/1768323/s/gril-barbekju-jelektricheskij-ecg-s-2070-panini,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
755987911,,,,,1716932,Техника для кухни >> Мелкая техника,ecg,Міксер ECG RS 836,,1119,1,https://comfy.ua/catalog/product/view/id/1768283/s/mikser-ecg-rs-836,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
755987913,,,,,1716931,Техника для кухни >> Мелкая техника,ecg,Міксер ECG RS 5011,,1845,1,https://comfy.ua/catalog/product/view/id/1768093/s/mikser-ecg-rs-5011,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
755987936,,,,,1713574,Техника для кухни >> Крупная техника,gorenje,Варильна поверхня газова Gorenje GT642AXW,,13399,1,https://comfy.ua/catalog/product/view/id/1766823/s/varochnaja-panel-gazovaja-gorenje-gt642axw,13999,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
