1018295053,column,column,column,column,1857918,____________________digitus,digitus,__digitus_cat_6a_sftp_awg_267_dk1644a010,column,109,1,httpscomfyuakabelpatchkorddigituscat6asftpawg267dk1644a010html,column,05112025_1922,column,__42,Фастів,0
1018511040,6296579,EMOS,Удлинитель EMOS 3 розетки 2м 10А 3x1.0мм2 White (P1322),257,1858875,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Сетевые фильтры и удлинители >> Сетевые фильтры и удлинители EMOS",emos,"Мережевий фільтр EMOS P1322, 3 розетки, 2 м.",,289,1,https://comfy.ua/setevoj-fil-tr-emos-p1322.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1018511041,6788498,EMOS,"Удлинитель EMOS 4 розетки 2м 10А 3х1,5мм2 White (P1422)",299,1858878,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Сетевые фильтры и удлинители >> Сетевые фильтры и удлинители EMOS",emos,"Мережевий фільтр EMOS P1422, 4 розетки, 2 м.",,299,1,https://comfy.ua/setevoj-fil-tr-emos-p1422.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1018511047,6788509,EMOS,"Удлинитель EMOS 6 розеток 3м 16А 3х1,5мм2 White (P1623R)",449,1858881,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Сетевые фильтры и удлинители >> Сетевые фильтры и удлинители EMOS",emos,"Подовжувач 220В EMOS P1623R, 6 розетки, 3 м.",,465,1,https://comfy.ua/setevoj-fil-tr-emos-p1623r.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1018511802,6788496,EMOS,"Удлинитель EMOS 4 розетки 10м 16А 3x1,5мм2 Red (P14201)",1199,1858877,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Сетевые фильтры и удлинители >> Сетевые фильтры и удлинители EMOS",emos,"Подовжувач 220В EMOS P14201, 4 розетки, 10 м.",,1699,1,https://comfy.ua/setevoj-fil-tr-emos-p14201.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1018512602,,,,,1856439,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Ubiquiti",ubiquiti,PoE-адаптер Ubiquiti POE-24-24W-G,,715,1,https://comfy.ua/poe-adapter-ubiquiti-poe-24-24w-g.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1018522096,6729645,TEFAL,Нож для хлеба TEFAL Fresh Kitchen 2 20 см (K1221805),419,1853315,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tefal,tefal,Ніж для хліба Tefal K1221805 Fresh Kitchen,,419,1,https://comfy.ua/nozh-dlja-hleba-tefal-k1221805-fresh-kitchen.html,569,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1018522097,6729644,TEFAL,Нож для нарезки TEFAL Fresh Kitchen 20 см (K1221205),479,1845793,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tefal,tefal,Ніж кухонний Tefal Fresh Kitchen 20 см (K1221205),,479,1,https://comfy.ua/nozh-kuhonnyj-tefal-fresh-kitchen-20-sm-k1221205.html,659,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1018522109,6768306,TEFAL,Набор ножей TEFAL Fresh Kitchen 4 пр (K122S205),599,1848459,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tefal,tefal,Набір ножів Tefal Fresh Kitchen 2 пр. K122S205,,599,1,https://comfy.ua/nabor-nozhej-tefal-fresh-kitchen-2-pr-k122s205.html,1019,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,3
1018661763,,,,,1785663,Техника для кухни >> Крупная техника,ventolux,Варильна поверхня газова Ventolux HSF640-T2G CEST (SAND),,9069,1,https://comfy.ua/catalog/product/view/id/2938583,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1018818442,,,,,1859023,Техника для кухни >> Крупная техника,artel,Піч електрична ARTEL MD 4218 L Black-Black-Red,,5699,1,https://comfy.ua/pech-jelektricheskaja-artel-md-4218-l-red-black.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
