775911311,column,column,column,column,1733773,Детские товары >> Игрушки,sigikid,__sigikid___36__39332sk,column,1459,1,httpscomfyuamjagkajaigrushkazhivotnoesigikidsevernyjmedved36sm39332skhtml,column,06112025_138,column,__42,Фастів,0
776554701,,,,,1731171,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",voltronic,Хаб USB Voltronic 4хUSB 2.0 White (YT-HM4-W/02419),,99,1,https://comfy.ua/hab-usb-voltronic-4husb-2-0-white-yt-hm4-w-02419.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
776555029,6654078,TEFAL,Сковорода Вок TEFAL XL Intense 28 см Black (C3841953),1159,1732832,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода ВОК Tefal C3841953 XL INTENSE 28 см ВОК,,1149,1,https://comfy.ua/skovoroda-vok-tefal-c3841953-xl-intense-28-sm-vok.html,1459,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
776555073,6657071,TEFAL,Сковорода-гриль TEFAL Delicio 26 см Black (E2324074),1299,1732823,Посуда >> Для приготовления >> Сковороды >> Сковороды Tefal,tefal,Сковорода гриль Tefal E2324074 Delicio 26 см Гриль,,1299,1,https://comfy.ua/skovoroda-gril-tefal-e2324074-delicio-26-sm-gril.html,2099,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,2
776555648,,,,,1725501,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для мобільного телефону PowerPlant LG E940 Optimus G Pro (BL-48TH) (DV00DV6289),,159,1,https://comfy.ua/akkumuljator-dlja-mobil-nogo-telefona-powerplant-lg-e940-optimus-g-pro-bl-48th-dv00dv6289.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
776556532,6933862,MAXMARK,Термос MAXMARK MK-TSL500Z 500 мл,242,1734034,Посуда >> Для напитков >> Термопосуда >> Термопосуда Maxmark,maxmark,Термос Maxmark MK-TSL500Z 0.5 л,,242,1,https://comfy.ua/termos-maxmark-mk-tsl500z-0-5-l.html,539,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
776556676,6933860,MAXMARK,Термос Maxmark 1 л (MK-TSL1000Z),359,1734032,Посуда >> Для напитков >> Термопосуда >> Термопосуда Maxmark,maxmark,Термос Maxmark MK-TSL1000Z 1 л,,399,1,https://comfy.ua/termos-maxmark-mk-tsl1000z-1-l.html,799,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
776556678,6933859,MAXMARK,Термос Maxmark 1.2 л (MK-TSL1200Z),439,1734033,Посуда >> Для напитков >> Термопосуда >> Термопосуда Maxmark,maxmark,Термос Maxmark MK-TSL1200Z 1.2 л,,395,1,https://comfy.ua/termos-maxmark-mk-tsl1200z-1-2-l.html,879,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
776556845,6963285,MAXMARK,Термос MAXMARK 750 мл Black (MK-TRM8750BK),449,1734028,Посуда >> Для напитков >> Термопосуда >> Термопосуда Maxmark,maxmark,Термос Maxmark MK-TRM8750BK 0.75 л,,449,1,https://comfy.ua/termos-maxmark-mk-trm8750bk-0-75-l.html,999,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
776556848,6963284,MAXMARK,Термос MAXMARK 750 мл Red (MK-TRM8750RD),499,1734031,Посуда >> Для напитков >> Термопосуда >> Термопосуда Maxmark,maxmark,Термос Maxmark MK-TRM8750RD 0.75 л,,449,1,https://comfy.ua/termos-maxmark-mk-trm8750rd-0-75-l.html,999,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
776557758,,,,,.1730184,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Military for Samsung Galaxy A71 SM-A715 Black (705750),,275,1,https://comfy.ua/chehol-dlja-smartfona-becover-military-for-samsung-galaxy-a71-sm-a715-black-705750.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
776559762,6659952,RUSSELL HOBBS,Электрочайник RUSSELL HOBBS 26080-70 Hourglass,2299,1733764,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Russell Hobbs,russell-hobbs,Електричний чайник Russell Hobbs 26080-70 Hourglass,,2299,1,https://comfy.ua/jelektricheskij-chajnik-russell-hobbs-26080-70-hourglass.html,2899,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
776559762,6745924,RUSSELL HOBBS,Электрочайник RUSSELL HOBBS 26080-70/RH,2299,1733764,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Russell Hobbs,russell-hobbs,Електричний чайник Russell Hobbs 26080-70 Hourglass,,2299,1,https://comfy.ua/jelektricheskij-chajnik-russell-hobbs-26080-70-hourglass.html,2899,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
776560649,6996291,HOLMER,Утюг HOLMER HIC-2642,729,1734929,Техника для дома >> Мелкая техника,holmer,Праска Holmer HIC-2642,,729,1,https://comfy.ua/catalog/product/view/id/1874993,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
776560962,6655320,PHILIPS,Отпариватель PHILIPS GC801/10,4999,1730041,Техника для дома >> Мелкая техника >> Утюги >> Утюги Philips,philips,Вертикальний відпарювач ручний Philips GC801/10,,4999,1,https://comfy.ua/vertikal-nyj-otparivatel-ruchnoj-philips-gc801-10.html,5999,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
776562125,,,,,1693863,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Bollire,bollire,Ківш Bollire BR-1001 Venezia 1.2 л 16 см,,620,1,https://comfy.ua/kovsh-bollire-br-1001-venezia-1-2-l-16-sm.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
776562175,,,,,.1733949,Бытовая химия >> Для кухни и мытья посуды,lion,Засіб для ручного миття посуду Lion LION Гранат 900 г,,299,1,https://comfy.ua/chistjaschee-sredstvo-dlja-myt-ja-posudy-lion-lion-granat-900-g.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
776562326,,,,,1731045,"Аудио, фото и видео >> Наушники >> Наушники Celebrat",celebrat,Навушники вкладиші дротові Celebrat G12 Black,,79,1,https://comfy.ua/naushniki-vkladyshi-provodnye-celebrat-g12-black.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
