757605915,6702921,FUJIFILM,Объектив FUJIFILM XF 50 mm f/1.0 R WR (16664339),69990,1720860,"Аудио, фото и видео >> Фотокамеры >> Объективы >> Объективы Fujifilm",fujifilm,Об'єктив до фотокамери Fujifilm XF 50 mm f/1.0 R WR (16664339),,68249,1,https://comfy.ua/ob-ektiv-k-fotokamere-fujifilm-xf-50-mm-f-1-0-r-wr-16664339.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
757605932,6667189,SONY,Объектив SONY 12-24mm f/2.8 GM для NEX FF (SEL1224GM.SYX),149499,1720849,"Аудио, фото и видео >> Фотокамеры >> Объективы >> Объективы Sony",sony,Об'єктив до фотокамери Sony 12-24mm f/2.8 GM for NEX FF (SEL1224GM.SYX),,149499,1,https://comfy.ua/ob-ektiv-k-fotokamere-sony-12-24mm-f-2-8-gm-for-nex-ff-sel1224gm-syx.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
757610040,,,,,.1720543,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gemix,Веб-камера для комп'ютера Gemix T16 Black,,1259,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-gemix-t16-black.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
757654314,6768612,STARK,Технический фен STARK HG-2002D,963,1720229,Инструменты и автотовары >> Электроинструменты >> Фены технические >> Фены технические Stark,stark,Технічний фен Stark HG-2002D (170021045),,965,1,https://comfy.ua/tehnicheskij-fen-stark-hg-2002d-170021045.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
757654631,6470717,VIVA,Тортовница VIVA LACE 30 см (S3012/2-D001),356,1722519,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Viva,viva,Блюдо Viva LACE на крутящейся ножке 30 см (S3012/2-D001),,356,1,https://comfy.ua/bljudo-viva-lace-na-krutjaschejsja-nozhke-30-sm-s3012-2-d001.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
757655351,6670456,KELA,Фруктовница KELA Prato 20 х 18 см (11498),2199,1722385,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Kela,kela,Ємність для фруктів Kela Prato 20х18 см (11498),,2199,1,https://comfy.ua/emkost-dlja-fruktov-kela-prato-20h18-sm-11498.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
757655453,6670294,KELA,Корзина для фруктов KELA Jori 30 x 10 см (12541),3599,1722386,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Kela,kela,Ємність для фруктів Kela Jori 30x10 см (12541),,3599,1,https://comfy.ua/emkost-dlja-fruktov-kela-jori-30x10-sm-12541.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
757656016,6656058,PRIME TECHNICS,Весы напольные PRIME TECHNICS PSB 1501 S,489,1715743,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Prime Technics,prime-technics,Ваги підлогові Prime Technics PSB 1501 S,,489,1,https://comfy.ua/vesy-napol-nye-prime-technics-psb-1501-s.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
757656017,6656059,PRIME TECHNICS,Весы напольные PRIME TECHNICS PSB 1503 L,489,1715745,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Prime Technics,prime-technics,Ваги підлогові Prime Technics PSB 1503 L,,489,1,https://comfy.ua/vesy-napol-nye-prime-technics-psb-1503-l.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
757656434,,,,,1722181,Посуда >> Для сервировки >> Бокалы >> Бокалы La Rochere,la-rochere,Бокал La Rochere 0.2 л (631601),,339,1,https://comfy.ua/bokal-la-rochere-0-2-l-631601.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
757657503,6382101,PHILIPS AVENT,Поилка AVENT 210 мл. 9+ SCF796/02 Purple,421,1722562,Детские товары >> Кормление >> Поильники >> Поильники Philips,philips,Поїльник-непроливайка дитячий Philips 9 міс. 210 мл Бузковий (SCF796/02),,469,1,https://comfy.ua/butylka-dlja-vody-philips-9-mes-210-ml-sirenevyj-scf796-02.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
757657505,6382102,PHILIPS AVENT,Поилка AVENT 300 мл 12+ SCF798/01 Green,436,1722563,Детские товары >> Кормление >> Поильники >> Поильники Philips,philips,Поїльник-непроливайка дитячий Philips 12 міс. 300 мл Зелений (SCF798/01),,449,1,https://comfy.ua/butylka-dlja-vody-philips-12-mes-300-ml-zelenyj-scf798-01.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
757668911,,,,,.1710733,Техника для кухни >> Мелкая техника,maxmark,М'ясорубка Maxmark MK-MG55G,,2899,1,https://comfy.ua/mjasorubka-maxmark-mk-mg55g.html,5799,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
757676400,6439995,SAME TOY,Самолет SAME TOY (SY8016AUt-3),40,1700710,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Same Toy,same-toy,Пасажирський повітряний транспорт Same Toy Aircraft Коричневий (SY8016AUt-3),,49,1,https://comfy.ua/passazhirskij-vozdushnyj-transport-same-toy-aircraft-korichnevyj-sy8016aut-3.html,90,06.11.2025 0:18,,"вул. Соборна, 42",Фастів,0
757676402,6439989,SAME TOY,Самолёт SAME TOY (SY8016AUt-1),40,1700708,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Same Toy,same-toy,Пасажирський повітряний транспорт Same Toy Aircraft Жовтий (SY8016AUt-1),,49,1,https://comfy.ua/passazhirskij-vozdushnyj-transport-same-toy-aircraft-zheltyj-sy8016aut-1.html,90,06.11.2025 0:06,,"вул. Соборна, 42",Фастів,0
