708795057,6670439,KELA,Терка KELA Emma (19087),1239,1650204,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Kela",kela,"Терка Kela для галушок Emma, ??31,5х11 см (19087)",,1239,1,https://comfy.ua/terka-kela-dlja-galushek-emma-31-5h11-sm-19087.html,1899,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
708795059,6670438,KELA,Терка KELA Emma (19088),1239,1650205,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Kela",kela,"Терка Kela для галушок Emma, ??31,5х11 см (19088)",,1239,1,https://comfy.ua/terka-kela-dlja-galushek-emma-31-5h11-sm-19088.html,1899,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
708795082,7165784,SOLA,Ложка столовая SOLA 20.6см (11LAUS011),305,1617932,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Sola,sola,Ложка столова Sola 20.6 см 11LAUS011,,305,1,https://comfy.ua/lozhka-stolovaja-sola-20-6-sm-11laus011.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
708795086,6517188,KELA,Ложка KELA Bill 33 см (12162),129,1648406,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Kela,kela,Ложка кухарська Kela Bill 33 см з прорізами (12162),,129,1,https://comfy.ua/lozhka-povarskaja-kela-bill-33-sm-s-prorezjami-12162.html,319,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
708795127,6987291,BRABANTIA,Гладильная доска BRABANTIA 124x38 см (101083),6895,1655640,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Гладильные доски >> Гладильные доски Brabantia",brabantia,Прасувальна дошка Brabantia 124x38см 101083,,6895,1,https://comfy.ua/gladil-naja-doska-brabantia-124x38sm-101083.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
708795128,6987292,BRABANTIA,Сушилка для белья BRABANTIA 101489 20 м,7189,1655639,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Сушилки для вещей >> Сушилки для вещей Brabantia",brabantia,Сушарка для білизни Brabantia 101489,,7189,1,https://comfy.ua/sushilka-dlja-bel-ja-brabantia-101489.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
708795135,6652573,BRABANTIA,Доска гладильная Brabantia Ironing Tables A 110x30 см (117923),5608,1655641,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Гладильные доски >> Гладильные доски Brabantia",brabantia,Прасувальна дошка Brabantia 110х30 см 117923,,5609,1,https://comfy.ua/gladil-naja-doska-brabantia-110h30-sm-117923.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
708795141,6652579,BRABANTIA,Доска гладильная Brabantia Ironing Tables B 124x38 см (108860),6971,1656001,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Гладильные доски >> Гладильные доски Brabantia",brabantia,Прасувальна дошка Brabantia 124x38 см 108860,,6969,1,https://comfy.ua/gladil-naja-doska-brabantia-124x38-sm-108860.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
708795148,6652582,BRABANTIA,Доска гладильная Brabantia Ironing Tables C 124x45 см (134746),9459,1656021,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Гладильные доски >> Гладильные доски Brabantia",brabantia,Прасувальна дошка Brabantia 124x45 см 134746,,9459,1,https://comfy.ua/gladil-naja-doska-brabantia-124x45-sm-134746.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
708795155,,,,,1655088,Бытовая химия >> Средства для посудомоечных машин >> Ополаскиватели для мытья посуды >> Ополаскиватели для мытья посуды Start,start,"Ополіскувач для посудомийної машини Start 0,75 л",,95,1,https://comfy.ua/opolaskivatel-dlja-posudomoechnoj-mashiny-start-0-75-l.html,127,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
708795194,,,,,1653154,"Дом, отдых и зоотовары >> Освещение >> Настольные лампы и ночники >> Настольные лампы и ночники Videx",videx,Настільна лампа Videx VL-TF05W 7W 3000-5500K 220V,,1359,1,https://comfy.ua/nastol-naja-lampa-videx-vl-tf05w-7w-3000-5500k-220v.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
708795210,,,,,1653152,"Дом, отдых и зоотовары >> Освещение >> Настольные лампы и ночники >> Настольные лампы и ночники Videx",videx,Настільна лампа Videx VL-TF02W 7W 3000-5500K 220V,,895,1,https://comfy.ua/nastol-naja-lampa-videx-vl-tf02w-7w-3000-5500k-220v.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
708795211,,,,,1653153,"Дом, отдых и зоотовары >> Освещение >> Настольные лампы и ночники >> Настольные лампы и ночники Videx",videx,Настільна лампа Videx VL-TF03W 8W 3000-5500K 220V,,1199,1,https://comfy.ua/nastol-naja-lampa-videx-vl-tf03w-8w-3000-5500k-220v.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
708795220,,,,,2312264,Игровые консоли и гейминг >> Игры >> Игры для PlayStation >> Игры для PlayStation PlayStation,playstation,Ігровий диск PS4 Mafia Trilogy [Blu-Ray диск],,1499,1,https://comfy.ua/igrovoj-disk-ps4-sony-mafia-trilogy-blu-ray-disk.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
708795301,6670473,KELA,Щипцы для спагетти KELA Fresh (19123),729,1648643,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Kela,kela,Щипці кухонні Kela Fresh 22.5 см (19123),,729,1,https://comfy.ua/schipcy-kuhonnye-kela-fresh-22-5-sm-19123.html,1119,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
708795819,,,,,1653602,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети TP-Link",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG1210P,,3499,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg1210p.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
708796323,,,,,1653601,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети TP-Link",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG116E,,3299,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg116e.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
