1155300720,column,column,column,column,1960222,____________________samsung,samsung,___samsung_typec_to_typec_cable_black_epdx310jbrgru,column,799,1,httpscomfyuakabelsinhronizaciidannyhsamsungtypectotypeccableblackepdx310jbrgruhtml,column,05112025_1733,column,__42,Фастів,0
1161510516,,,,,.1955442,Инструменты и автотовары >> Ручные инструменты,king-tony,Викрутка KING TONY Sl 5х400 мм,,329,1,https://comfy.ua/otvertka-king-tony-sl-5h400-mm-14220516.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
1161510543,,,,,1955445,Инструменты и автотовары >> Ручные инструменты,king-tony,Викрутка KING TONY Sl 10х200 мм,,375,1,https://comfy.ua/otvertka-king-tony-sl-10h200-mm-14221008.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
1161845589,,,,,1958423,Смарт-часы и гаджеты >> Аксессуары,armorstandart,Ремінець для фітнес-браслету Armorstandart Braided Solo Loop foe Xiaomi Mi Band 4/5/6 Charcoal size M (ARM58765),,209,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-braided-solo-loop-foe-xiaomi-mi-band-4-5-6-charcoal-size-m-arm58765.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1163074911,,,,,1950533,Посуда >> Для напитков,tavialo,Термочашка Tavialo 420 мл Grey (190420110),,335,1,https://comfy.ua/termokruzhka-tavialo-420-ml-grey-190420110.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1163074918,,,,,1950532,Посуда >> Для напитков,tavialo,Термочашка Tavialo 420 мл Black (190420101),,335,1,https://comfy.ua/termokruzhka-tavialo-420-ml-black-190420101.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1163074921,,,,,1950534,Посуда >> Для напитков,tavialo,Термочашка Tavialo 420 мл Red (190420103),,339,1,https://comfy.ua/termokruzhka-tavialo-420-ml-red-190420103.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1163074927,,,,,1950535,Посуда >> Для напитков,tavialo,Термочашка Tavialo 420 мл Pink (190420111),,335,1,https://comfy.ua/termokruzhka-tavialo-420-ml-pink-190420111.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1163074933,,,,,1950536,Посуда >> Для напитков,tavialo,Термочашка Tavialo 420 мл Brown (190420112),,335,1,https://comfy.ua/termokruzhka-tavialo-420-ml-brown-190420112.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1163074938,,,,,1950537,Посуда >> Для напитков,tavialo,Термочашка Tavialo 420 мл Green (190420113),,335,1,https://comfy.ua/termokruzhka-tavialo-420-ml-green-190420113.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1163252791,,,,,.1959050,Инструменты и автотовары >> Ручные инструменты,king-tony,Ключ накидний KING TONY 25 мм (1060-25),,479,1,https://comfy.ua/kljuch-nakidnoj-king-tony-25-mm-1060-25.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
