1654744224,column,column,column,column,2830336,Красота и здоровье >> Уход за телом,beurer,_____beurer__mp_100_1514,column,2215,1,httpscomfyuasmennyenasadkidljamanikjurnogonaborabeurerdomp1001514html,column,05112025_1844,column,__42,Фастів,0
1654744223,,,,,.2830337,Красота и здоровье >> Уход за телом,beurer,Змінні насадки для манікюрного набору Beurer до MP 62 (1511),,2115,1,https://comfy.ua/smennye-nasadki-dlja-manikjurnogo-nabora-beurer-do-mp-62-1511.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1654744224,,,,,.2830336,Красота и здоровье >> Уход за телом,beurer,Змінні насадки для манікюрного набору Beurer до MP 100 (1514),,2215,1,https://comfy.ua/smennye-nasadki-dlja-manikjurnogo-nabora-beurer-do-mp-100-1514.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1654744792,,,,,.2850692,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Samsung Galaxy S24 Ultra  двостороння (DV-SM-S24ULFB),,249,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-dlja-samsung-galaxy-s24-ultra-dvuhstoronnjaja-dv-sm-s24ulfb.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1654745032,6949381,KITCHENAID,Блендер KITCHENAID 5KHBV83EBM Black Matt,11399,2855261,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры KitchenAid,kitchenaid,Блендер міні-комбайн KitchenAid 5KHBV83EBM,,10259,1,https://comfy.ua/blender-mini-kombajn-kitchenaid-5khbv83ebm.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1654748329,6977485,SHOWSEE,Триммер SHOWSEE C3,599,2771101,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Xiaomi,xiaomi,Тример для носа і вух Xiaomi ShowSee C3,,599,1,https://comfy.ua/trimmer-dlja-nosa-i-ushej-xiaomi-showsee-c3.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1654748330,6988289,BEURER,Триммер BEURER MN2X,1244,2830015,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Beurer,beurer,Тример для носа і вух Beurer MN2X,,999,1,https://comfy.ua/trimmer-dlja-nosa-i-ushej-beurer-mn2x.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1654748335,6988290,BEURER,Триммер BEURER MN4X,2977,2830016,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Beurer,beurer,Тример для вусів і бороди Beurer MN4X,,2979,1,https://comfy.ua/trimmer-dlja-usov-i-borody-beurer-mn4x.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1654749145,,,,,.2822134,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Poco X6 5G (ARM73484),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-poco-x6-5g-arm73484.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1654749146,,,,,2822120,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Xiaomi Redmi Note 13 Pro+ 5G (ARM71869),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-xiaomi-redmi-note-13-pro-5g-arm71869.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1654760002,,,,,.2699336,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",essager,Хаб USB Essager QK The Universe 8 in 1 Laptop USB C HUB Grey (EHB08-QK0G-Z),,3099,1,https://comfy.ua/hab-usb-essager-qk-the-universe-8-in-1-laptop-usb-c-hub-grey-ehb08-qk0g-z.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
