756007800,column,column,column,column,1720397,Детские товары >> Игрушки,sigikid,__sigikid_____19__39183sk,column,1095,1,httpscomfyuamjagkajaigrushkazhivotnoesigikidbozhjakorovkaledimjeri19sm39183skhtml,column,06112025_138,column,__42,Фастів,0
756038680,6705182,GEFU,Консервный ключ GEFU PRIMELINE (29237),1848,1713580,Посуда >> Кухонные аксессуары >> Штопоры и открывалки >> Штопоры и открывалки Gefu,gefu,Ніж консервний Gefu Primeline (29237),,1957,1,https://comfy.ua/nozh-konservnyj-gefu-primeline-29237.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
756187871,,,,,1704731,Дом и отдых >> Хранение и уход за одеждой >> Вешалки и чехлы для одежды >> Вешалки и чехлы для одежды Мій Дім,mij-dim,Вішалка Мой Дом RE01498 с прищепками 30х11 см (6584563),,99,1,https://comfy.ua/veshalka-moj-dom-re01498-s-prischepkami-30h11-sm-6584563.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
756187874,6584562,IDEA HOME,Вешалка IDEA HOME RE01497,55,1704730,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Вешалки и чехлы для одежды >> Вешалки и чехлы для одежды Мій Дім",mij-dim,Вішалка Мой Дом RE01497 Детская д/од. 33.5x20x1.2 см (6584562),,75,1,https://comfy.ua/veshalka-moj-dom-re01497-detskaja-d-od-33-5x20x1-2-sm-6584562.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
756187877,6584565,IDEA HOME,Вешалка IDEA HOME RE01499,65,1710573,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Вешалки и чехлы для одежды >> Вешалки и чехлы для одежды Мій Дім",mij-dim,Вішалка Мой Дом RE01499 с крючками 45х20x1.2 см (6584565),,85,1,https://comfy.ua/veshalka-moj-dom-re01499-s-krjuchkami-45h20x1-2-sm-6584565.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
756187881,6584561,IDEA HOME,Вешалка IDEA HOME RE05240,149,1704729,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Вешалки и чехлы для одежды >> Вешалки и чехлы для одежды Мій Дім",mij-dim,Вішалка Мой Дом RE05240 д/од. 45х23х5 см (6584561),,219,1,https://comfy.ua/veshalka-moj-dom-re05240-d-od-45h23h5-sm-6584561.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
756212198,,,,,1716318,Техника для дома >> Климатическая техника >> Терморегуляторы >> Терморегуляторы Terneo,terneo,Терморегулятор Terneo RTP White,,695,1,https://comfy.ua/termoreguljator-terneo-rtp-white.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
756212208,,,,,1716324,Техника для дома >> Климатическая техника,terneo,Терморегулятор Terneo SN,,1399,1,https://comfy.ua/termoreguljator-terneo-sn.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
756240482,6678040,WEILOR,Варочная поверхность WEILOR GM 304 WH,4999,1686191,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Weilor,weilor,Варильна поверхня Domino Weilor GM 304 WH,,4999,1,https://comfy.ua/varochnaja-panel-domino-weilor-gm-304-wh.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
756271108,,,,,1720179,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Stark",stark,Плоскогубці Stark 180 мм (501100180),,275,1,https://comfy.ua/ploskogubcy-stark-180-mm-501100180.html,,05.11.2025 22:36,,"вул. Соборна, 42",Фастів,0
756272261,6867281,STARK,Ножовка по дереву STARK 350 мм (507350007),161,1720187,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Stark",stark,Ножівка Stark 507350007,,169,1,https://comfy.ua/nozhovka-stark-507350007.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
