1648672839,column,column,column,column,2806088,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,_ugreen_us132_usb_20_male_to_mini_usb_5pin_male_cable_1m_black_10355,column,119,1,httpscomfyuakabelugreenus132usba20maletominiusb5pinmalecable1mblack10355html,column,05112025_1743,column,__42,Фастів,0
1648675287,,,,,2810543,Красота и здоровье >> Уход за лицом >> Расходные материалы для электробритв >> Расходные материалы для электробритв Zelmer,zelmer,Змінні леза для бритви Zelmer ZSHA7500,,799,1,https://comfy.ua/smennye-lezvija-dlja-britvy-zelmer-zsha7500.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1648675309,,,,,2807475,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Перехідник UGREEN US241 USB-C 2.0 to USB-B 2.0 Print Cable 2m Black (50446),,299,1,https://comfy.ua/perehodnik-ugreen-us241-usb-c-2-0-to-usb-b-2-0-print-cable-2m-black-50446.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1648675975,,,,,2806089,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель UGREEN VG101 VGA Male to Male Cable 1m Black (11673),,279,1,https://comfy.ua/kabel-ugreen-vg101-vga-male-to-male-cable-1m-black-11673.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1648678201,7165787,SOLA,Нож десертный SOLA 19.9см (11LAUS114),241,2704756,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Sola,sola,"Ніж десертний Sola 19,9 см 11LAUS114",,241,1,https://comfy.ua/nozh-desertnyj-sola-19-9-sm-11laus114.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1648678439,7037808,MINIKOIOI,Пустышка MINIKOIO Sleep Buddy Moi (101010008),948,2811738,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели MinikOiOi,minikoioi,Анатомічна пустушка MinikOiOi Sleep Buddy - Moi (101010008),,949,1,https://comfy.ua/anatomicheskaja-pustyshka-minikoioi-sleep-buddy-moi-101010008.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1648682799,,,,,2754912,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Beaba,beaba,Набір дитячий Beaba Green/White NEW (913574),,780,1,https://comfy.ua/nabor-detskij-beaba-green-white-new-913574.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1648683256,,,,,2754909,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Beaba,beaba,Набір тарілок для малюка Beaba Pink (913568),,1560,1,https://comfy.ua/nabor-tarelok-dlja-malysha-beaba-pink-913568.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
1648683518,,,,,2767886,Бытовая химия >> Средства для стирки,frosch,"Гель для прання Frosch Baby 1,5л",,464,1,https://comfy.ua/gel-dlja-stirki-frosch-baby-1-5l.html,663,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1648686371,,,,,.2811743,Детские товары >> Прогулки и поездки,osann,Дзеркало для контролю за дитиною Osann Black,,539,1,https://comfy.ua/zerkalo-dlja-kontrolja-za-rebenkom-osann-black.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1648686372,7037340,CARSEATS,Органайзер на кресло CARSEATS (CS-0003),720,2811732,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Carseats,carseats,Органайзер для автокрісла Carseats CS-0003,,720,1,https://comfy.ua/organajzer-dlja-avtokresla-carseats-cs-0003.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1648686373,7038203,BEBE CONFORT,Защитный коврик для автокресла BEBE CONFORT Black (3203201200),840,2811730,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Bebe Confort,bebe-confort,Захисний килимок під автокрісло Bebe Confort 3203201200 Black,,840,1,https://comfy.ua/zaschitnyj-kovrik-pod-avtokreslo-bebe-confort-3203201200-black.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1648686374,,,,,2811731,Comfy KIDS >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Bebe Confort,bebe-confort,Дзеркало для контролю за дитиною Bebe Confort 3203205000 Black,,750,1,https://comfy.ua/zerkalo-dlja-kontrolja-za-rebenkom-bebe-confort-3203205000-black.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1648686377,7037335,OKIDAY,Вкладыш OKIDAY Basic (21906),1560,2811742,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок OkiDay,okiday,Вкладиш в автокрісло OkiDay 21906,,1560,1,https://comfy.ua/vkladysh-v-avtokreslo-okiday-21906.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1648690353,,,,,2809928,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Maxi-Cosi,maxi-cosi,Автокрісло Maxi-Cosi RodiFix M i-Size Basic Black,,6780,1,https://comfy.ua/avtokreslo-maxi-cosi-rodifix-m-i-size-basic-black.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
